[RHHBY] valuation=60.5 | quality=67.7 | overall=64.1 | coverage=67% | missing=ROIC, FCF Margin, FCF Conversion
.[RNO] valuation=63.6 | quality=35.5 | overall=49.5 | coverage=67% | missing=ROIC, FCF Margin, FCF Conversion
.[MCD] valuation=39.5 | quality=52.9 | overall=46.2 | coverage=89% | missing=ROE
.[KO] valuation=46.5 | quality=51.0 | overall=48.8 | coverage=100% | missing=none
.[DPZ] valuation=51.8 | quality=56.4 | overall=54.1 | coverage=78% | missing=ROIC, ROE
.[MO] valuation=79.5 | quality=78.8 | overall=79.2 | coverage=100% | missing=none
.[OXY] valuation=47.6 | quality=74.6 | overall=61.1 | coverage=78% | missing=ROIC, EPS CAGR
.[JNJ] valuation=39.5 | quality=59.7 | overall=49.6 | coverage=89% | missing=ROIC
.[V] valuation=38.6 | quality=92.5 | overall=65.5 | coverage=100% | missing=none
.[MA] valuation=46.7 | quality=91.8 | overall=69.2 | coverage=67% | missing=ROIC, FCF Margin, FCF Conversion
.[MSFT] valuation=52.4 | quality=92.0 | overall=72.2 | coverage=100% | missing=none
.[GOOGL] valuation=69.3 | quality=84.3 | overall=76.8 | coverage=100% | missing=none
.[ASML] valuation=18.6 | quality=89.7 | overall=54.2 | coverage=78% | missing=FCF Margin, FCF Conversion
.[COST] valuation=51.6 | quality=85.0 | overall=68.3 | coverage=78% | missing=FCF Margin, FCF Conversion
.[META] valuation=77.6 | quality=94.0 | overall=85.8 | coverage=89% | missing=ROIC
.[AMZN] valuation=58.6 | quality=85.5 | overall=72.0 | coverage=100% | missing=none
.[ADBE] valuation=56.6 | quality=94.0 | overall=75.3 | coverage=89% | missing=ROIC
.[CRM] valuation=58.5 | quality=64.8 | overall=61.6 | coverage=100% | missing=none
.[INTU] valuation=46.7 | quality=94.8 | overall=70.8 | coverage=100% | missing=none
.[LRCX] valuation=53.1 | quality=95.3 | overall=74.2 | coverage=78% | missing=FCF Margin, FCF Conversion
.[KLAC] valuation=22.6 | quality=90.0 | overall=56.3 | coverage=89% | missing=ROIC
.[TXN] valuation=40.1 | quality=89.0 | overall=64.5 | coverage=100% | missing=none
.[PFE] valuation=63.1 | quality=64.0 | overall=63.5 | coverage=89% | missing=ROIC
.[MDT] valuation=53.7 | quality=40.5 | overall=47.1 | coverage=100% | missing=none
.[SBUX] valuation=38.1 | quality=80.3 | overall=59.2 | coverage=100% | missing=none
.[NKE] valuation=39.9 | quality=60.0 | overall=50.0 | coverage=89% | missing=ROIC
.[LOW] valuation=28.7 | quality=65.0 | overall=46.9 | coverage=89% | missing=ROIC
.[UNH] valuation=32.1 | quality=74.3 | overall=53.2 | coverage=100% | missing=none
.[LIN] valuation=12.6 | quality=43.4 | overall=28.0 | coverage=78% | missing=FCF Margin, FCF Conversion
.[NVDA] valuation=14.3 | quality=96.3 | overall=55.3 | coverage=78% | missing=FCF Margin, FCF Conversion
.[2015] RHHBY: valuation=38.4 | quality=38.6 | overall=38.5 | coverage=67% | missing=ROIC, FCF Margin, FCF Conversion
[2015] RNO: valuation=29.3 | quality=13.6 | overall=21.4 | coverage=67% | missing=ROIC, FCF Margin, FCF Conversion
[2015] MCD: valuation=29.2 | quality=39.0 | overall=34.1 | coverage=100% | missing=none
[2015] KO: valuation=32.9 | quality=55.0 | overall=44.0 | coverage=100% | missing=none
[2015] DPZ: valuation=35.5 | quality=46.0 | overall=40.8 | coverage=56% | missing=ROIC, ROE, FCF Margin, FCF Conversion
[2015] MO: valuation=30.6 | quality=75.0 | overall=52.8 | coverage=78% | missing=FCF Margin, FCF Conversion
