formation_year,buy_date,sell_date,selected_count,portfolio_return,benchmark_return,excess_return
2015,2015-04-01,2016-04-01,10,0.1659,0.0274,0.1385
2016,2016-04-01,2017-04-03,10,0.1524,0.1608,-0.0084
2017,2017-04-03,2018-04-02,10,0.2518,0.115,0.1368
2018,2018-04-02,2019-04-01,10,0.1201,0.1317,-0.0116
2019,2019-04-01,2020-04-01,10,0.0231,-0.1212,0.1444
2020,2020-04-01,2021-04-01,10,0.6653,0.6536,0.0117
2021,2021-04-01,2022-04-01,10,0.0133,0.1455,-0.1321
2022,2022-04-01,2023-04-03,10,-0.0596,-0.0773,0.0177
2023,2023-04-03,2024-04-01,10,0.3966,0.289,0.1076
2024,2024-04-01,2025-04-01,10,0.0446,0.088,-0.0434
2025,2025-04-01,2026-04-01,10,0.0764,0.1814,-0.105
