Formation Year,Revenue CAGR (3Y),EPS CAGR (3Y),ROE,Operating Margin,Net Debt,Debt / Equity,Share Count CAGR
2012,96.7,6.7,93.3,100.0,93.3,90.0,50.0
2013,96.7,16.7,93.3,100.0,93.3,90.0,50.0
2014,100.0,30.0,93.3,100.0,96.7,93.3,56.7
2015,100.0,73.3,93.3,100.0,96.7,93.3,60.0
2016,100.0,90.0,90.0,100.0,96.7,90.0,63.3
2017,100.0,83.3,93.3,100.0,100.0,93.3,66.7
2018,100.0,86.7,93.3,100.0,100.0,93.3,76.7
2019,100.0,83.3,90.0,100.0,100.0,90.0,80.0
2020,100.0,86.7,83.3,100.0,100.0,90.0,80.0
2021,100.0,90.0,86.7,100.0,100.0,86.7,80.0
2022,100.0,80.0,80.0,100.0,100.0,83.3,80.0
2023,100.0,86.7,83.3,100.0,100.0,83.3,83.3
2024,100.0,90.0,83.3,100.0,100.0,83.3,83.3
2025,100.0,83.3,80.0,100.0,100.0,83.3,90.0
