formation_year,contribution_date,contribution_value,portfolio_value_before,portfolio_value_after_contribution,portfolio_value_end,benchmark_value_before,benchmark_value_after_contribution,benchmark_value_end
2015,2015-04-01,1.0,0.0,1.0,1.0213,0.0,1.0,1.0285
2015,2015-06-01,1.0,1.0213,2.0213,2.0012,1.0285,2.0285,2.0213
2015,2015-08-01,1.0,2.0012,3.0012,2.7102,2.0213,3.0213,2.7813
2015,2015-10-01,1.0,2.7102,3.7102,4.2221,2.7813,3.7813,4.1464
2015,2015-12-01,1.0,4.2221,5.2221,4.7136,4.1464,5.1464,4.7585
2015,2016-02-01,1.0,4.7136,5.7136,6.4396,4.7585,5.7585,6.1849
2016,2016-04-01,1.0,6.4396,7.4396,7.7159,6.1849,7.1849,7.3012
2016,2016-06-01,1.0,7.7159,8.7159,8.9837,7.3012,8.3012,8.6091
2016,2016-08-01,1.0,8.9837,9.9837,9.921,8.6091,9.6091,9.606
2016,2016-10-01,1.0,9.921,10.921,10.598,9.606,10.606,10.7923
2016,2016-12-01,1.0,10.598,11.598,12.5561,10.7923,11.7923,12.2967
2016,2017-02-01,1.0,12.5561,13.5561,14.7866,12.2967,13.2967,13.8068
2017,2017-04-01,1.0,14.7866,15.7866,17.2295,13.8068,14.8068,15.3121
2017,2017-06-01,1.0,17.2295,18.2295,17.7175,15.3121,16.3121,16.6584
2017,2017-08-01,1.0,17.7175,18.7175,20.0308,16.6584,17.6584,18.1048
2017,2017-10-01,1.0,20.0308,21.0308,22.5003,18.1048,19.1048,20.024
2017,2017-12-01,1.0,22.5003,23.5003,24.8727,20.024,21.024,22.4994
2017,2018-02-01,1.0,24.8727,25.8727,25.2284,22.4994,23.4994,21.5733
2018,2018-04-01,1.0,25.2284,26.2284,28.4161,21.5733,22.5733,23.9875
2018,2018-06-01,1.0,28.4161,29.4161,29.2331,23.9875,24.9875,25.7657
2018,2018-08-01,1.0,29.2331,30.2331,29.2252,25.7657,26.7657,27.9275
2018,2018-10-01,1.0,29.2252,30.2252,27.9544,27.9275,28.9275,27.6949
2018,2018-12-01,1.0,27.9544,28.9544,29.6407,27.6949,28.6949,27.9077
2018,2019-02-01,1.0,29.6407,30.6407,34.4212,27.9077,28.9077,30.7305
2019,2019-04-01,1.0,34.4212,35.4212,31.1631,30.7305,31.7305,30.4805
2019,2019-06-01,1.0,31.1631,32.1631,35.5822,30.4805,31.4805,33.9689
2019,2019-08-01,1.0,35.5822,36.5822,34.1468,33.9689,34.9689,34.9398
2019,2019-10-01,1.0,34.1468,35.1468,39.1993,34.9398,35.9398,38.1949
2019,2019-12-01,1.0,39.1993,40.1993,42.1162,38.1949,39.1949,40.9649
2019,2020-02-01,1.0,42.1162,43.1162,37.2275,40.9649,41.9649,32.0573
2020,2020-04-01,1.0,37.2275,38.2275,48.9482,32.0573,33.0573,41.0345
