formation_year,period_start,period_end,selected_count,contribution_events,total_contributions,portfolio_return,benchmark_return,excess_return,portfolio_end_value,benchmark_end_value,portfolio_mwrr,benchmark_mwrr
2015,2015-04-01,2016-04-01,10,6,6.0,0.0571,0.0274,0.0297,6.4396,6.1849,0.1276,0.0531
2016,2016-04-01,2017-04-01,10,6,6.0,0.2173,0.1608,0.0565,14.7866,13.8068,3.1104,2.7212
2017,2017-04-01,2018-04-01,10,6,6.0,0.2534,0.115,0.1384,25.2284,21.5733,7.6384,5.9869
2018,2018-04-01,2019-04-01,10,6,6.0,0.107,0.1317,-0.0247,34.4212,30.7305,12.0182,10.2259
2019,2019-04-01,2020-04-01,10,6,6.0,-0.0834,-0.1212,0.0378,37.2275,32.0573,13.2724,10.7612
2020,2020-04-01,2021-04-01,8,6,6.0,0.5781,0.6536,-0.0755,66.1578,60.597,28.6666,25.6266
2021,2021-04-01,2022-04-01,4,6,6.0,0.1316,0.1455,-0.0138,80.9144,75.7601,36.9161,34.007
2022,2022-04-01,2023-04-01,10,6,6.0,-0.0514,-0.0773,0.0259,83.287,76.0123,38.2642,34.1487
2023,2023-04-01,2024-04-01,10,6,6.0,0.3981,0.289,0.1091,123.9815,105.1291,61.2767,50.249
2024,2024-04-01,2025-04-01,8,6,6.0,-0.0204,0.088,-0.1084,127.073,120.4569,63.9716,60.0013
2025,2025-04-01,2026-04-01,10,6,6.0,-0.1362,0.1814,-0.3177,114.8266,148.5742,56.6439,77.0433
