formation_year,rank,ticker,overall_score,valuation_score,quality_score,quality_coverage,missing_metrics,historical_pe_observations_used,valuation_percentile,buy_date,buy_price,sell_date,sell_price,annual_return
2015,1,BKNG,81.2,66.2,96.3,0.7778,"FCF Margin, FCF Conversion",3,0.5,2015-04-01,45.0275,2016-04-01,50.9066,0.1306
2015,2,EW,69.3,46.2,92.5,0.7778,"FCF Margin, FCF Conversion",5,0.75,2015-04-01,23.45,2016-04-01,29.9733,0.2782
2015,3,MA,70.9,51.5,90.3,1.0,,5,0.75,2015-04-01,80.8566,2016-04-01,90.0162,0.1133
2015,4,MSFT,52.7,15.7,89.7,0.7778,"FCF Margin, FCF Conversion",4,1.0,2015-04-01,34.802,2016-04-01,48.7898,0.4019
2015,5,ANET,92.2,95.9,88.5,0.8889,EPS CAGR,2,0.0,2015-04-01,4.3513,2016-04-01,3.8837,-0.1074
2015,6,META,77.6,66.9,88.3,0.7778,"ROIC, EPS CAGR",3,0.5,2015-04-01,80.959,2016-04-01,115.0497,0.4211
2015,7,JNJ,61.2,35.6,86.8,1.0,,4,1.0,2015-04-01,72.7059,2016-04-01,82.4614,0.1342
2015,8,LRCX,84.8,84.3,85.3,0.7778,"FCF Margin, FCF Conversion",4,0.0,2015-04-01,6.0187,2016-04-01,7.2165,0.199
2015,9,TXN,79.9,75.8,84.1,0.7778,"FCF Margin, FCF Conversion",4,0.3333,2015-04-01,41.3862,2016-04-01,43.5718,0.0528
2015,10,MCO,59.4,34.7,84.0,1.0,,4,1.0,2015-04-01,93.0699,2016-04-01,88.1687,-0.0527
2016,1,ANET,93.8,93.5,94.0,0.8889,ROIC,3,0.0,2016-04-01,3.8837,2017-04-01,8.2312,1.1194
2016,2,GOOGL,81.2,69.0,93.3,1.0,,8,0.4286,2016-04-01,38.1453,2017-04-01,42.461,0.1131
2016,3,META,88.7,84.7,92.7,0.8889,ROIC,4,0.0,2016-04-01,115.0497,2017-04-01,141.0414,0.2259
2016,4,AAPL,74.6,56.7,92.5,0.7778,"FCF Margin, FCF Conversion",7,0.6667,2016-04-01,24.8662,2017-04-01,33.1741,0.3341
2016,5,LRCX,80.8,72.8,88.8,0.7778,"FCF Margin, FCF Conversion",5,0.25,2016-04-01,7.2165,2017-04-01,11.3444,0.572
2016,6,SBUX,66.8,47.9,85.8,1.0,,5,0.5,2016-04-01,48.8464,2017-04-01,47.5398,-0.0267
2016,7,REGN,79.2,73.2,85.3,0.8889,ROIC,5,0.25,2016-04-01,401.4615,2017-04-01,379.6077,-0.0544
2016,8,EW,64.4,43.8,85.0,0.7778,"FCF Margin, FCF Conversion",6,0.8,2016-04-01,29.9733,2017-04-01,31.4833,0.0504
2016,9,TXN,60.0,35.1,85.0,0.7778,"FCF Margin, FCF Conversion",5,1.0,2016-04-01,43.5718,2017-04-01,61.9821,0.4225
2016,10,CDNS,55.5,26.6,84.3,0.8889,ROIC,5,1.0,2016-04-01,23.64,2017-04-01,31.15,0.3177
2017,1,GOOGL,60.5,26.3,94.8,1.0,,9,0.875,2017-04-01,42.461,2018-04-01,50.1865,0.1819
2017,2,ADBE,76.8,61.5,92.0,0.8889,ROIC,7,0.5,2017-04-01,129.59,2018-04-01,212.28,0.6381
2017,3,REGN,81.8,73.7,90.0,0.8889,ROIC,6,0.2,2017-04-01,379.6077,2018-04-01,327.4698,-0.1373
2017,4,CRM,92.9,97.0,88.8,0.7778,"ROIC, EPS CAGR",1,0.0,2017-04-01,80.9102,2018-04-01,113.3392,0.4008
2017,5,AMAT,77.4,67.3,87.5,1.0,,6,0.2,2017-04-01,35.2042,2018-04-01,48.2653,0.371
2017,6,NVDA,60.0,36.2,83.8,0.7778,"FCF Margin, FCF Conversion",6,0.8,2017-04-01,2.6692,2018-04-01,5.4618,1.0462
2017,7,SPGI,63.8,44.6,82.9,0.8889,EPS CAGR,5,0.75,2017-04-01,112.6249,2018-04-01,164.2715,0.4586
2017,8,INTU,47.4,12.0,82.8,1.0,,3,1.0,2017-04-01,107.9754,2018-04-01,159.5814,0.4779
2017,9,ANET,79.5,76.2,82.7,0.8889,ROIC,4,0.3333,2017-04-01,8.2312,2018-04-01,15.8444,0.9249
2017,10,CPRT,54.0,26.5,81.6,0.7778,"FCF Margin, FCF Conversion",7,1.0,2017-04-01,7.6,2018-04-01,12.45,0.6382
2018,1,ANET,92.1,88.2,96.0,0.8889,ROIC,5,0.0,2018-04-01,15.8444,2019-04-01,19.8975,0.2558
