formation_year,contribution_date,contribution_value,portfolio_value_before,portfolio_value_after_contribution,portfolio_value_end,benchmark_value_before,benchmark_value_after_contribution,benchmark_value_end
2015,2015-04-01,1.0,0.0,1.0,1.0413,0.0,1.0,1.0285
2015,2015-06-01,1.0,1.0413,2.0413,2.1379,1.0285,2.0285,2.0213
2015,2015-08-01,1.0,2.1379,3.1379,2.8909,2.0213,3.0213,2.7813
2015,2015-10-01,1.0,2.8909,3.8909,4.4652,2.7813,3.7813,4.1464
2015,2015-12-01,1.0,4.4652,5.4652,5.067,4.1464,5.1464,4.7585
2015,2016-02-01,1.0,5.067,6.067,6.6195,4.7585,5.7585,6.1849
2016,2016-04-01,1.0,6.6195,7.6195,7.7779,6.1849,7.1849,7.3012
2016,2016-06-01,1.0,7.7779,8.7779,9.3562,7.3012,8.3012,8.6091
2016,2016-08-01,1.0,9.3562,10.3562,10.6557,8.6091,9.6091,9.606
2016,2016-10-01,1.0,10.6557,11.6557,11.2825,9.606,10.606,10.7923
2016,2016-12-01,1.0,11.2825,12.2825,13.2892,10.7923,11.7923,12.2967
2016,2017-02-01,1.0,13.2892,14.2892,15.856,12.2967,13.2967,13.8068
2017,2017-04-01,1.0,15.856,16.856,19.5216,13.8068,14.8068,15.3121
2017,2017-06-01,1.0,19.5216,20.5216,20.8618,15.3121,16.3121,16.6584
2017,2017-08-01,1.0,20.8618,21.8618,23.4815,16.6584,17.6584,18.1048
2017,2017-10-01,1.0,23.4815,24.4815,26.684,18.1048,19.1048,20.024
2017,2017-12-01,1.0,26.684,27.684,30.1523,20.024,21.024,22.4994
2017,2018-02-01,1.0,30.1523,31.1523,30.9398,22.4994,23.4994,21.5733
2018,2018-04-01,1.0,30.9398,31.9398,35.0404,21.5733,22.5733,23.9875
2018,2018-06-01,1.0,35.0404,36.0404,35.9754,23.9875,24.9875,25.7657
2018,2018-08-01,1.0,35.9754,36.9754,36.294,25.7657,26.7657,27.9275
2018,2018-10-01,1.0,36.294,37.294,34.3442,27.9275,28.9275,27.6949
2018,2018-12-01,1.0,34.3442,35.3442,35.8504,27.6949,28.6949,27.9077
2018,2019-02-01,1.0,35.8504,36.8504,42.1663,27.9077,28.9077,30.7305
2019,2019-04-01,1.0,42.1663,43.1663,38.9774,30.7305,31.7305,30.4805
2019,2019-06-01,1.0,38.9774,39.9774,46.819,30.4805,31.4805,33.9689
2019,2019-08-01,1.0,46.819,47.819,48.0011,33.9689,34.9689,34.9398
2019,2019-10-01,1.0,48.0011,49.0011,53.912,34.9398,35.9398,38.1949
2019,2019-12-01,1.0,53.912,54.912,59.6867,38.1949,39.1949,40.9649
2019,2020-02-01,1.0,59.6867,60.6867,52.7893,40.9649,41.9649,32.0573
2020,2020-04-01,1.0,52.7893,53.7893,68.602,32.0573,33.0573,41.0345
2020,2020-06-01,1.0,68.602,69.602,74.3948,41.0345,42.0345,45.4307
2020,2020-08-01,1.0,74.3948,75.3948,75.9875,45.4307,46.4307,47.7863
2020,2020-10-01,1.0,75.9875,76.9875,82.7851,47.7863,48.7863,52.9811
2020,2020-12-01,1.0,82.7851,83.7851,85.2481,52.9811,53.9811,55.7234
2020,2021-02-01,1.0,85.2481,86.2481,91.2424,55.7234,56.7234,60.597
2021,2021-04-01,1.0,91.2424,92.2424,95.3595,60.597,61.597,64.5276
2021,2021-06-01,1.0,95.3595,96.3595,112.3465,64.5276,65.5276,68.5492
2021,2021-08-01,1.0,112.3465,113.3465,113.5612,68.5492,69.5492,69.2378
2021,2021-10-01,1.0,113.5612,114.5612,125.2417,69.2378,70.2378,72.8679
2021,2021-12-01,1.0,125.2417,126.2417,114.0037,72.8679,73.8679,74.5305
2021,2022-02-01,1.0,114.0037,115.0037,112.6803,74.5305,75.5305,75.7601
2022,2022-04-01,1.0,112.6803,113.6803,102.4488,75.7601,76.7601,69.4167
2022,2022-06-01,1.0,102.4488,103.4488,102.7279,69.4167,70.4167,70.9246
2022,2022-08-01,1.0,102.7279,103.7279,88.7916,70.9246,71.9246,64.456
2022,2022-10-01,1.0,88.7916,89.7916,100.7322,64.456,65.456,72.7352
2022,2022-12-01,1.0,100.7322,101.7322,109.1393,72.7352,73.7352,74.6957
2022,2023-02-01,1.0,109.1393,110.1393,118.5614,74.6957,75.6957,76.0123
2023,2023-04-01,1.0,118.5614,119.5614,132.209,76.0123,77.0123,79.0493
2023,2023-06-01,1.0,132.209,133.209,140.5518,79.0493,80.0493,86.9486
2023,2023-08-01,1.0,140.5518,141.5518,135.7799,86.9486,87.9486,82.6189
2023,2023-10-01,1.0,135.7799,136.7799,149.4315,82.6189,83.6189,89.8398
2023,2023-12-01,1.0,149.4315,150.4315,164.8539,89.8398,90.8398,97.188
2023,2024-02-01,1.0,164.8539,165.8539,184.3549,97.188,98.188,105.1291
2024,2024-04-01,1.0,184.3549,185.3549,176.4411,105.1291,106.1291,107.2754
2024,2024-06-01,1.0,176.4411,177.4411,185.7715,107.2754,108.2754,111.755
2024,2024-08-01,1.0,185.7715,186.7715,196.7786,111.755,112.755,118.435
2024,2024-10-01,1.0,196.7786,197.7786,208.6771,118.435,119.435,126.7887
2024,2024-12-01,1.0,208.6771,209.6771,214.6039,126.7887,127.7887,126.974
2024,2025-02-01,1.0,214.6039,215.6039,202.0391,126.974,127.974,120.4569
2025,2025-04-01,1.0,202.0391,203.0391,227.2232,120.4569,121.4569,128.329
2025,2025-06-01,1.0,227.2232,228.2232,247.0469,128.329,129.329,136.06
2025,2025-08-01,1.0,247.0469,248.0469,267.3055,136.06,137.06,147.7704
2025,2025-10-01,1.0,267.3055,268.3055,266.0368,147.7704,148.7704,151.401
2025,2025-12-01,1.0,266.0368,267.0368,285.0331,151.401,152.401,156.2532
2025,2026-02-01,1.0,285.0331,286.0331,253.9724,156.2532,157.2532,148.5742
