formation_year,universe_n,selected_n,universe_val_median,selected_val_median,val_median_spread,selected_val_median_pct_in_universe,universe_expensive_share,selected_expensive_share,expensive_share_spread,universe_cheap_share,selected_cheap_share,cheap_share_spread,universe_quality_median,selected_quality_median,quality_median_spread,universe_coverage_median,selected_coverage_median,coverage_median_spread
2015,82,10,63.9,58.85,-5.05,0.4878,0.4878,0.5,0.0122,0.3659,0.3,-0.0659,66.1,88.4,22.3,0.8889,0.7778,-0.1111
2016,91,10,46.8,62.85,16.05,0.6923,0.6703,0.4,-0.2703,0.2418,0.4,0.1582,64.5,87.3,22.8,0.8889,0.8889,0.0
2017,92,10,32.9,53.05,20.15,0.7283,0.7935,0.5,-0.2935,0.1957,0.4,0.2043,64.85,85.65,20.8,0.8889,0.8889,0.0
2018,98,10,60.75,77.5,16.75,0.7347,0.5,0.2,-0.3,0.3571,0.8,0.4429,64.0,93.65,29.65,1.0,0.8889,-0.1111
2019,103,10,40.1,52.75,12.65,0.7184,0.7961,0.7,-0.0961,0.1262,0.3,0.1738,71.0,93.25,22.25,1.0,0.9444,-0.0556
2020,108,10,31.05,51.4,20.35,0.7963,0.8241,0.6,-0.2241,0.1204,0.3,0.1796,68.4,90.75,22.35,1.0,1.0,0.0
2021,108,10,37.45,37.7,0.25,0.5185,0.8056,0.7,-0.1056,0.1019,0.3,0.1981,63.5,90.5,27.0,1.0,1.0,0.0
2022,109,10,51.5,70.45,18.95,0.7798,0.6514,0.2,-0.4514,0.2385,0.6,0.3615,70.0,94.5,24.5,1.0,1.0,0.0
2023,110,10,50.4,45.15,-5.25,0.4182,0.6273,0.8,0.1727,0.1636,0.1,-0.0636,72.05,93.15,21.1,1.0,1.0,0.0
2024,111,10,46.9,41.35,-5.55,0.3784,0.6937,0.7,0.0063,0.1892,0.2,0.0108,69.0,88.65,19.65,1.0,1.0,0.0
2025,109,10,46.6,57.8,11.2,0.6972,0.6881,0.5,-0.1881,0.1651,0.1,-0.0651,66.5,90.4,23.9,1.0,1.0,0.0
