experiment,scoring_mode,formation_month,formation_day,top_n,years,cagr,sharpe,max_drawdown,turnover,win_rate_vs_spy,spy_cagr,excess_cagr
Q baseline,quality,4,1,10,11,0.2387,0.9862,-0.047,0.31,0.8182,0.1298,0.1089
Q window 2015-2018,quality,4,1,10,4,0.2539,2.3376,0.0,0.3667,1.0,0.1076,0.1463
Q window 2019-2022,quality,4,1,10,4,0.2368,0.6578,-0.047,0.3333,1.0,0.1132,0.1235
Q window 2023-2025,quality,4,1,10,3,0.2213,1.0452,0.0,0.25,0.3333,0.1833,0.038
Q rebalance month 01,quality,1,1,10,11,0.2283,0.9219,-0.3253,0.31,0.8182,0.1344,0.0938
Q rebalance month 04,quality,4,1,10,11,0.2387,0.9862,-0.047,0.31,0.8182,0.1298,0.1089
Q rebalance month 07,quality,7,1,10,11,0.2641,1.235,-0.1952,0.31,0.7273,0.1421,0.1221
Q rebalance month 10,quality,10,1,10,11,0.2807,1.1747,-0.2737,0.31,0.7273,0.1537,0.127
Q top 5,quality,4,1,5,11,0.237,0.9651,-0.0894,0.44,0.6364,0.1298,0.1071
Q top 10,quality,4,1,10,11,0.2387,0.9862,-0.047,0.31,0.8182,0.1298,0.1089
Q top 15,quality,4,1,15,11,0.2309,1.0527,-0.0415,0.2067,0.9091,0.1298,0.1011
Q top 20,quality,4,1,20,11,0.2215,1.0634,-0.0483,0.14,0.9091,0.1298,0.0917
