formation_year,buy_date,sell_date,selected_count,portfolio_return,benchmark_return,excess_return
2015,2015-01-02,2016-01-04,10,0.1656,-0.0013,0.1669
2016,2016-01-04,2017-01-03,10,0.1042,0.1445,-0.0404
2017,2017-01-03,2018-01-02,10,0.5,0.2165,0.2835
2018,2018-01-02,2019-01-02,10,-0.0325,-0.0515,0.019
2019,2019-01-02,2020-01-02,10,0.7076,0.3231,0.3845
2020,2020-01-02,2021-01-04,10,0.3489,0.1564,0.1925
2021,2021-01-04,2022-01-03,10,0.381,0.3126,0.0684
2022,2022-01-03,2023-01-03,10,-0.3253,-0.1899,-0.1355
2023,2023-01-03,2024-01-02,10,0.478,0.26,0.218
2024,2024-01-02,2025-01-02,10,0.3672,0.2528,0.1144
2025,2025-01-02,2026-01-02,10,0.1852,0.1823,0.0029
