formation_year,rank,ticker,overall_score,valuation_score,quality_score,quality_coverage,missing_metrics,historical_pe_observations_used,valuation_percentile,buy_date,buy_price,sell_date,sell_price,annual_return
2015,1,MA,70.9,51.5,90.3,1.0,,5,0.75,2015-07-01,88.2519,2016-07-01,83.5932,-0.0528
2015,2,MSFT,52.7,15.7,89.7,0.7778,"FCF Margin, FCF Conversion",4,1.0,2015-07-01,38.2368,2016-07-01,45.232,0.1829
2015,3,META,77.6,66.9,88.3,0.7778,"ROIC, EPS CAGR",3,0.5,2015-07-01,86.1535,2016-07-01,113.196,0.3139
2015,4,JNJ,61.2,35.6,86.8,1.0,,4,1.0,2015-07-01,72.7338,2016-07-01,92.2534,0.2684
2015,5,LRCX,84.8,84.3,85.3,0.7778,"FCF Margin, FCF Conversion",4,0.0,2015-07-01,7.0729,2016-07-01,7.247,0.0246
2015,6,TXN,79.9,75.8,84.1,0.7778,"FCF Margin, FCF Conversion",4,0.3333,2015-07-01,38.231,2016-07-01,47.0058,0.2295
2015,7,NKE,76.2,75.2,77.3,0.8889,ROIC,4,0.3333,2015-07-01,47.1826,2016-07-01,48.4579,0.027
2015,8,GOOGL,61.0,45.1,76.8,0.6667,"ROIC, FCF Margin, FCF Conversion",7,0.8333,2015-07-01,26.9262,2016-07-01,35.2004,0.3073
2015,9,INTU,86.7,97.0,76.3,0.8889,ROIC,1,0.0,2015-07-01,92.5454,2016-07-01,103.1163,0.1142
2015,10,MO,52.8,30.6,75.0,0.7778,"FCF Margin, FCF Conversion",4,1.0,2015-07-01,23.9075,2016-07-01,34.9133,0.4603
2016,1,GOOGL,81.2,69.0,93.3,1.0,,8,0.4286,2016-07-01,35.2004,2017-07-03,45.5689,0.2946
2016,2,META,88.7,84.7,92.7,0.8889,ROIC,4,0.0,2016-07-01,113.196,2017-07-03,147.1379,0.2999
2016,3,LRCX,80.8,72.8,88.8,0.7778,"FCF Margin, FCF Conversion",5,0.25,2016-07-01,7.247,2017-07-03,12.3396,0.7027
2016,4,SBUX,66.8,47.9,85.8,1.0,,5,0.5,2016-07-01,45.7801,2017-07-03,47.5804,0.0393
2016,5,MA,73.2,60.8,85.5,0.6667,"ROIC, FCF Margin, FCF Conversion",6,0.6,2016-07-01,83.5932,2017-07-03,114.5547,0.3704
2016,6,TXN,60.0,35.1,85.0,0.7778,"FCF Margin, FCF Conversion",5,1.0,2016-07-01,47.0058,2017-07-03,59.301,0.2616
2016,7,CRM,89.8,97.0,82.5,0.7778,"ROIC, EPS CAGR",1,0.0,2016-07-01,78.4724,2017-07-03,84.6358,0.0785
2016,8,NKE,81.2,80.4,82.0,0.8889,ROIC,5,0.25,2016-07-01,48.4579,2017-07-03,51.7702,0.0684
2016,9,V,56.6,31.7,81.4,0.6667,"ROIC, Net Debt/EBITDA, Leverage",6,1.0,2016-07-01,69.2843,2017-07-03,87.4926,0.2628
2016,10,ADBE,71.3,64.2,78.5,1.0,,6,0.4,2016-07-01,95.32,2017-07-03,138.41,0.4521
2017,1,META,90.5,85.1,95.9,0.6667,"ROIC, Net Debt/EBITDA, Leverage",5,0.0,2017-07-03,147.1379,2018-07-02,195.642,0.3297
2017,2,GOOGL,60.5,26.3,94.8,1.0,,9,0.875,2017-07-03,45.5689,2018-07-02,56.6036,0.2422
