formation_year,buy_date,sell_date,selected_count,portfolio_return,benchmark_return,excess_return
2015,2015-04-01,2016-04-01,10,0.2362,0.0274,0.2088
2016,2016-04-01,2017-04-03,10,0.201,0.1608,0.0402
2017,2017-04-03,2018-04-02,10,0.418,0.115,0.303
2018,2018-04-02,2019-04-01,10,0.1741,0.1317,0.0425
2019,2019-04-01,2020-04-01,10,0.1105,-0.1212,0.2317
2020,2020-04-01,2021-04-01,10,0.9166,0.6536,0.263
2021,2021-04-01,2022-04-01,10,0.1535,0.1455,0.0081
2022,2022-04-01,2023-04-03,10,-0.047,-0.0773,0.0303
2023,2023-04-03,2024-04-01,10,0.4847,0.289,0.1957
2024,2024-04-01,2025-04-01,10,0.0519,0.088,-0.0361
2025,2025-04-01,2026-04-01,10,0.1665,0.1814,-0.015
