Variant,formation_year,ticker,baseline_rank,variant_rank,rank_change
Without roic,2015,AMZN,-,10,999
Without roic,2015,JNJ,4,5,1
Without roic,2015,LRCX,5,3,-2
Without roic,2015,MA,1,2,1
Without roic,2015,META,3,1,-2
Without roic,2015,MO,10,-,999
Without roic,2015,MSFT,2,4,2
Without roic,2015,NKE,7,6,-1
Without roic,2015,TXN,6,7,1
Without roic,2016,ADBE,10,8,-2
Without roic,2016,CRM,7,5,-2
Without roic,2016,GOOGL,1,2,1
Without roic,2016,LRCX,3,4,1
Without roic,2016,MA,5,3,-2
Without roic,2016,META,2,1,-1
Without roic,2016,NKE,8,6,-2
Without roic,2016,SBUX,4,9,5
Without roic,2016,TXN,6,10,4
Without roic,2016,V,9,7,-2
Without roic,2017,AMZN,8,9,1
Without roic,2017,CRM,4,5,1
Without roic,2017,KLAC,-,8,999
Without roic,2017,NKE,-,10,999
Without roic,2017,NVDA,5,4,-1
Without roic,2017,SBUX,10,-,999
Without roic,2017,TXN,9,-,999
Without roic,2018,ADBE,4,2,-2
Without roic,2018,ASML,6,5,-1
Without roic,2018,INTU,5,6,1
Without roic,2018,KLAC,8,7,-1
Without roic,2018,LRCX,1,3,2
Without roic,2018,META,3,1,-2
Without roic,2018,NVDA,2,4,2
Without roic,2018,SBUX,9,10,1
Without roic,2018,TXN,7,8,1
Without roic,2018,V,10,9,-1
Without roic,2019,ADBE,5,3,-2
Without roic,2019,ASML,10,7,-3
Without roic,2019,INTU,3,5,2
Without roic,2019,LRCX,2,4,2
Without roic,2019,MA,8,6,-2
Without roic,2019,META,4,2,-2
Without roic,2019,MSFT,7,10,3
Without roic,2019,V,6,8,2
Without roic,2020,ASML,7,-,999
Without roic,2020,CRM,-,10,999
Without roic,2020,GOOGL,6,3,-3
Without roic,2020,KLAC,10,8,-2
Without roic,2020,MA,4,5,1
Without roic,2020,META,9,7,-2
Without roic,2020,MSFT,5,6,1
Without roic,2020,RHHBY,-,9,999
Without roic,2020,TXN,8,-,999
Without roic,2020,V,3,4,1
Without roic,2021,AMZN,8,9,1
Without roic,2021,ASML,4,5,1
Without roic,2021,COST,9,10,1
Without roic,2021,CRM,-,8,999
Without roic,2021,GOOGL,6,4,-2
Without roic,2021,INTU,5,7,2
Without roic,2021,MA,10,-,999
Without roic,2021,RHHBY,7,6,-1
Without roic,2022,INTU,-,10,999
Without roic,2022,KLAC,9,7,-2
Without roic,2022,LRCX,5,6,1
Without roic,2022,MSFT,6,8,2
Without roic,2022,NVDA,8,5,-3
Without roic,2022,PFE,10,-,999
Without roic,2022,TXN,7,9,2
Without roic,2023,KLAC,-,10,999
Without roic,2023,LRCX,10,9,-1
Without roic,2023,MSFT,7,8,1
Without roic,2023,OXY,9,-,999
Without roic,2023,PFE,8,6,-2
Without roic,2023,TXN,6,7,1
Without roic,2024,ASML,5,8,3
Without roic,2024,COST,8,-,999
Without roic,2024,GOOGL,6,9,3
Without roic,2024,INTU,-,6,999
Without roic,2024,JNJ,10,7,-3
Without roic,2024,META,7,10,3
Without roic,2024,MSFT,4,5,1
Without roic,2024,NVDA,9,4,-5
Without roic,2025,COST,10,-,999
Without roic,2025,CRM,-,10,999
Without roic,2025,INTU,9,8,-1
Without roic,2025,MA,8,9,1
Without roe,2015,GOOGL,8,7,-1
Without roe,2015,JNJ,4,5,1
Without roe,2015,LRCX,5,4,-1
Without roe,2015,MA,1,2,1
Without roe,2015,META,3,1,-2
Without roe,2015,MSFT,2,3,1
Without roe,2015,NKE,7,8,1
Without roe,2016,ADBE,10,9,-1
Without roe,2016,CRM,7,4,-3
Without roe,2016,GOOGL,1,2,1
Without roe,2016,MA,5,6,1
Without roe,2016,META,2,1,-1
Without roe,2016,SBUX,4,5,1
Without roe,2016,TXN,6,7,1
Without roe,2016,V,9,10,1
Without roe,2017,ADBE,3,4,1
Without roe,2017,CRM,4,3,-1
Without roe,2018,LRCX,1,2,1
Without roe,2018,META,3,1,-2
Without roe,2018,NVDA,2,3,1
Without roe,2019,ASML,10,9,-1
Without roe,2019,KLAC,9,10,1
Without roe,2020,KLAC,10,-,999
Without roe,2020,LRCX,-,10,999
Without roe,2020,META,9,8,-1
Without roe,2020,TXN,8,9,1
Without roe,2021,GOOGL,6,5,-1
Without roe,2021,INTU,5,6,1
Without roe,2022,INTU,-,10,999
Without roe,2022,PFE,10,-,999
Without roe,2023,ASML,2,3,1
Without roe,2023,GOOGL,1,2,1
Without roe,2023,NVDA,3,1,-2
Without roe,2024,JNJ,10,9,-1
Without roe,2024,NVDA,9,10,1
Without operating_margin,2016,CRM,7,4,-3
Without operating_margin,2016,MA,5,7,2
Without operating_margin,2016,NKE,8,6,-2
Without operating_margin,2016,SBUX,4,5,1
Without operating_margin,2016,TXN,6,8,2
Without operating_margin,2017,AMZN,8,6,-2
Without operating_margin,2017,INTU,6,7,1
Without operating_margin,2017,MA,7,8,1
Without operating_margin,2018,KLAC,8,9,1
Without operating_margin,2018,SBUX,9,8,-1
Without operating_margin,2018,UNH,-,10,999
Without operating_margin,2018,V,10,-,999
Without operating_margin,2019,ASML,10,9,-1
Without operating_margin,2019,KLAC,9,10,1
Without operating_margin,2019,LRCX,2,1,-1
Without operating_margin,2019,NVDA,1,2,1
Without operating_margin,2021,AMZN,8,7,-1
Without operating_margin,2021,COST,9,8,-1
Without operating_margin,2021,RHHBY,7,9,2
Without operating_margin,2022,NVDA,8,7,-1
Without operating_margin,2022,TXN,7,8,1
