formation_year,rank,ticker,overall_score,valuation_score,quality_score,quality_coverage,missing_metrics,historical_pe_observations_used,valuation_percentile,buy_date,buy_price,sell_date,sell_price,annual_return
2015,1,INTU,86.7,97.0,76.3,0.8889,ROIC,1,0.0,2015-01-02,82.6164,2016-01-04,86.4455,0.0463
2015,2,LRCX,84.8,84.3,85.3,0.7778,"FCF Margin, FCF Conversion",4,0.0,2015-01-02,6.7907,2016-01-04,6.7367,-0.0079
2015,3,TXN,79.9,75.8,84.1,0.7778,"FCF Margin, FCF Conversion",4,0.3333,2015-01-02,38.9036,2016-01-04,40.5581,0.0425
2015,4,META,77.6,66.9,88.3,0.7778,"ROIC, EPS CAGR",3,0.5,2015-01-02,77.7671,2016-01-04,101.3302,0.303
2015,5,NKE,76.2,75.2,77.3,0.8889,ROIC,4,0.3333,2015-01-02,40.7441,2016-01-04,53.3142,0.3085
2015,6,OXY,71.3,96.9,45.8,1.0,,2,0.0,2015-01-02,57.373,2016-01-04,49.9397,-0.1296
2015,7,MA,70.9,51.5,90.3,1.0,,5,0.75,2015-01-02,79.7147,2016-01-04,88.8429,0.1145
2015,8,LOW,66.2,66.5,65.9,0.6667,"ROIC, FCF Margin, FCF Conversion",3,0.5,2015-01-02,54.6434,2016-01-04,61.6586,0.1284
2015,9,JNJ,61.2,35.6,86.8,1.0,,4,1.0,2015-01-02,76.1109,2016-01-04,75.3376,-0.0102
2015,10,GOOGL,61.0,45.1,76.8,0.6667,"ROIC, FCF Margin, FCF Conversion",7,0.8333,2015-01-02,26.2448,2016-01-04,37.6383,0.4341
2016,1,CRM,89.8,97.0,82.5,0.7778,"ROIC, EPS CAGR",1,0.0,2016-01-04,75.4055,2017-01-03,69.3404,-0.0804
2016,2,META,88.7,84.7,92.7,0.8889,ROIC,4,0.0,2016-01-04,101.3302,2017-01-03,115.8427,0.1432
2016,3,GOOGL,81.2,69.0,93.3,1.0,,8,0.4286,2016-01-04,37.6383,2017-01-03,40.0454,0.064
