formation_year,buy_date,sell_date,selected_count,portfolio_return,benchmark_return,excess_return
2015,2015-01-02,2016-01-04,10,0.123,-0.0013,0.1242
2016,2016-01-04,2017-01-03,10,0.0942,0.1445,-0.0503
2017,2017-01-03,2018-01-02,10,0.4021,0.2165,0.1857
2018,2018-01-02,2019-01-02,10,-0.0813,-0.0515,-0.0298
2019,2019-01-02,2020-01-02,10,0.4869,0.3231,0.1638
2020,2020-01-02,2021-01-04,10,0.3397,0.1564,0.1833
2021,2021-01-04,2022-01-03,10,0.324,0.3126,0.0114
2022,2022-01-03,2023-01-03,10,-0.301,-0.1899,-0.1111
2023,2023-01-03,2024-01-02,10,0.4125,0.26,0.1525
2024,2024-01-02,2025-01-02,10,0.2532,0.2528,0.0004
2025,2025-01-02,2026-01-02,10,0.1067,0.1823,-0.0756
