formation_year,buy_date,sell_date,selected_count,portfolio_return,benchmark_return,excess_return
2015,2015-04-01,2016-04-01,10,0.137,0.0274,0.1096
2016,2016-04-01,2017-04-03,10,0.1649,0.1608,0.0041
2017,2017-04-03,2018-04-02,10,0.2213,0.115,0.1063
2018,2018-04-02,2019-04-01,10,0.1201,0.1317,-0.0116
2019,2019-04-01,2020-04-01,10,-0.1215,-0.1212,-0.0002
2020,2020-04-01,2021-04-01,10,0.689,0.6536,0.0354
2021,2021-04-01,2022-04-01,10,0.0442,0.1455,-0.1012
2022,2022-04-01,2023-04-03,10,-0.0693,-0.0773,0.008
2023,2023-04-03,2024-04-01,10,0.4275,0.289,0.1385
2024,2024-04-01,2025-04-01,10,0.0081,0.088,-0.0799
2025,2025-04-01,2026-04-01,10,-0.0027,0.1814,-0.1841
