formation_year,buy_date,sell_date,selected_count,portfolio_return,benchmark_return,excess_return
2015,2015-04-01,2016-04-01,10,0.0479,0.0274,0.0205
2016,2016-04-01,2017-04-03,10,0.2424,0.1608,0.0816
2017,2017-04-03,2018-04-02,10,0.2719,0.115,0.1569
2018,2018-04-02,2019-04-01,10,0.0813,0.1317,-0.0504
2019,2019-04-01,2020-04-01,10,-0.1044,-0.1212,0.0168
2020,2020-04-01,2021-04-01,8,0.5632,0.6536,-0.0904
2021,2021-04-01,2022-04-01,4,0.1417,0.1455,-0.0037
2022,2022-04-01,2023-04-03,10,-0.0708,-0.0773,0.0065
2023,2023-04-03,2024-04-01,10,0.4073,0.289,0.1183
2024,2024-04-01,2025-04-01,8,-0.0384,0.088,-0.1264
2025,2025-04-01,2026-04-01,10,-0.1186,0.1814,-0.3001
