formation_year,rank,ticker,overall_score,valuation_score,quality_score,quality_coverage,missing_metrics,historical_pe_observations_used,valuation_percentile,buy_date,buy_price,sell_date,sell_price,annual_return
2015,1,BKNG,81.2,66.2,96.3,0.7778,"FCF Margin, FCF Conversion",3,0.5,2015-04-01,45.0275,2016-04-01,50.9066,0.1306
2015,3,LRCX,84.8,84.3,85.3,0.7778,"FCF Margin, FCF Conversion",4,0.0,2015-04-01,6.0187,2016-04-01,7.2165,0.199
2015,4,AMAT,80.2,77.5,83.0,1.0,,4,0.0,2015-04-01,19.5561,2016-04-01,19.1231,-0.0221
2015,5,HON,81.6,81.2,81.9,0.7778,"FCF Margin, FCF Conversion",5,0.25,2015-04-01,76.7796,2016-04-01,86.015,0.1203
2015,6,AAPL,80.2,80.0,80.3,0.7778,"FCF Margin, FCF Conversion",6,0.2,2015-04-01,27.5788,2016-04-01,24.8662,-0.0984
2015,7,INTU,86.7,97.0,76.3,0.8889,ROIC,1,0.0,2015-04-01,88.7288,2016-04-01,96.1884,0.0841
2015,8,VRSK,85.8,97.0,74.7,0.8889,EPS CAGR,1,0.0,2015-04-01,68.0066,2016-04-01,76.24,0.1211
2015,9,ODFL,82.7,92.4,73.0,1.0,,4,0.0,2015-04-01,24.1504,2016-04-01,22.2007,-0.0807
2015,10,GWW,81.0,93.7,68.3,1.0,,4,0.0,2015-04-01,193.6257,2016-04-01,199.9544,0.0327
2016,2,GOOGL,81.2,69.0,93.3,1.0,,8,0.4286,2016-04-01,38.1453,2017-04-03,42.461,0.1131
2016,3,META,88.7,84.7,92.7,0.8889,ROIC,4,0.0,2016-04-01,115.0497,2017-04-03,141.0414,0.2259
2016,4,LRCX,80.8,72.8,88.8,0.7778,"FCF Margin, FCF Conversion",5,0.25,2016-04-01,7.2165,2017-04-03,11.3444,0.572
2016,5,CRM,89.8,97.0,82.5,0.7778,"ROIC, EPS CAGR",1,0.0,2016-04-01,74.4421,2017-04-03,80.9102,0.0869
2016,6,NKE,81.2,80.4,82.0,0.8889,ROIC,5,0.25,2016-04-01,53.5125,2017-04-03,48.8761,-0.0866
2016,7,CPRT,80.2,91.0,69.4,0.7778,"FCF Margin, FCF Conversion",6,0.0,2016-04-01,5.1487,2017-04-03,7.6,0.4761
2016,8,INTU,80.5,93.8,67.3,0.8889,ROIC,2,0.0,2016-04-01,96.1884,2017-04-03,107.9754,0.1225
2016,9,VRSK,81.2,95.9,66.5,0.8889,EPS CAGR,2,0.0,2016-04-01,76.24,2017-04-03,75.9072,-0.0044
2017,1,REGN,81.8,73.7,90.0,0.8889,ROIC,6,0.2,2017-04-03,380.051,2018-04-02,327.8521,-0.1373
2017,2,CRM,92.9,97.0,88.8,0.7778,"ROIC, EPS CAGR",1,0.0,2017-04-03,80.9102,2018-04-02,113.3392,0.4008
2017,3,ORLY,80.0,82.7,77.3,1.0,,7,0.1667,2017-04-03,17.246,2018-04-02,15.7387,-0.0874
2017,4,CME,82.2,87.5,77.0,0.8889,ROIC,6,0.0,2017-04-03,83.4314,2018-04-02,116.9038,0.4012
2017,5,CL,84.8,97.0,72.6,0.8889,EPS CAGR,1,0.0,2017-04-03,58.5973,2018-04-02,57.2492,-0.023
2018,2,LRCX,87.8,80.4,95.3,0.7778,"FCF Margin, FCF Conversion",7,0.0,2018-04-02,17.3118,2019-04-01,16.9154,-0.0229
2018,3,NVDA,86.5,77.8,95.3,0.7778,"FCF Margin, FCF Conversion",7,0.1667,2018-04-02,5.4618,2019-04-01,4.5182,-0.1728
2018,4,META,87.5,79.9,95.0,0.8889,ROIC,6,0.0,2018-04-02,154.0373,2019-04-01,167.2314,0.0857
