formation_year,universe_n,selected_n,universe_val_median,selected_val_median,val_median_spread,selected_val_median_pct_in_universe,universe_expensive_share,selected_expensive_share,expensive_share_spread,universe_cheap_share,selected_cheap_share,cheap_share_spread,universe_quality_median,selected_quality_median,quality_median_spread,universe_coverage_median,selected_coverage_median,coverage_median_spread
2015,83,10,65.5,88.35,22.85,0.8313,0.4819,0.0,-0.4819,0.3735,0.9,0.5265,66.3,81.1,14.8,0.8889,0.8889,0.0
2016,92,9,47.2,91.0,43.8,0.9457,0.6739,0.0,-0.6739,0.2391,0.8889,0.6498,64.9,82.5,17.6,0.8889,0.8889,0.0
2017,93,5,32.7,87.5,54.8,0.957,0.7957,0.0,-0.7957,0.1935,1.0,0.8065,65.3,77.3,12.0,0.8889,0.8889,0.0
2018,99,10,60.6,79.75,19.15,0.7879,0.5051,0.0,-0.5051,0.3535,1.0,0.6465,63.8,93.65,29.85,1.0,0.8889,-0.1111
2019,104,8,40.0,82.85,42.85,0.9519,0.7981,0.0,-0.7981,0.125,1.0,0.875,70.9,90.05,19.15,1.0,0.8889,-0.1111
2020,109,5,31.6,77.4,45.8,0.9541,0.8257,0.0,-0.8257,0.1193,0.8,0.6807,68.3,87.5,19.2,1.0,1.0,0.0
2021,109,2,37.5,77.35,39.85,0.9633,0.8073,0.0,-0.8073,0.1009,1.0,0.8991,63.5,91.75,28.25,1.0,1.0,0.0
2022,110,10,51.15,75.3,24.15,0.8545,0.6545,0.0,-0.6545,0.2364,0.8,0.5636,70.3,93.4,23.1,1.0,1.0,0.0
2023,111,4,50.7,85.55,34.85,0.982,0.6216,0.0,-0.6216,0.1622,1.0,0.8378,71.8,81.25,9.45,1.0,1.0,0.0
2024,112,3,46.95,78.8,31.85,0.9464,0.6964,0.0,-0.6964,0.1875,1.0,0.8125,69.0,86.5,17.5,1.0,0.8889,-0.1111
2025,110,1,46.7,77.6,30.9,0.9364,0.6818,0.0,-0.6818,0.1636,1.0,0.8364,66.5,89.5,23.0,1.0,1.0,0.0
