experiment,scoring_mode,selection_policy,formation_month,formation_day,top_n,years,cagr,sharpe,max_drawdown,turnover,win_rate_vs_spy,spy_cagr,excess_cagr
Valuation Only Apr-01,valuation,score,4,1,10,11,0.1165,0.5956,-0.1722,0.66,0.4545,0.1298,-0.0133
Quality Only Apr-01,quality,score,4,1,10,11,0.2338,1.1841,-0.0352,0.5,0.7273,0.1298,0.104
QV Baseline Apr-01,qv,score,4,1,10,11,0.1055,0.5336,-0.137,0.62,0.4545,0.1298,-0.0244
QV Jan Rebalance,qv,score,1,2,10,11,0.0866,0.4834,-0.3311,0.62,0.2727,0.1344,-0.0478
Quality Only Jan Rebalance,quality,score,1,2,10,11,0.22,0.8888,-0.3079,0.5,0.7273,0.1344,0.0856
Quality + Soft Valuation Guard (>=20),quality,quality_soft_valuation_guard,4,1,10,11,0.2283,1.0634,-0.0352,0.52,0.8182,0.1298,0.0985
Quality + Soft Valuation Guard (>=30),quality,quality_soft_valuation_guard,4,1,10,11,0.2227,1.0018,-0.0352,0.5,0.8182,0.1298,0.0929
Quality + Soft Valuation Guard (>=40),quality,quality_soft_valuation_guard,4,1,10,11,0.1699,0.8413,-0.0668,0.51,0.7273,0.1298,0.0401
Quality -> Cheapest Half,quality,quality_cheapest_half,4,1,10,11,0.131,0.6576,-0.0897,0.61,0.4545,0.1298,0.0012
Quality + Buy/Hold Signals,quality,portfolio_signal,4,1,10,11,0.0,0.0,0.0,0.0,0.1818,0.1298,-0.1298
