formation_year,buy_date,sell_date,selected_count,portfolio_return,benchmark_return,excess_return
2015,2015-04-01,2016-04-01,10,0.0261,0.0274,-0.0013
2016,2016-04-01,2017-04-03,10,0.2027,0.1608,0.0419
2017,2017-04-03,2018-04-02,10,0.349,0.115,0.234
2018,2018-04-02,2019-04-01,10,0.0706,0.1317,-0.0611
2019,2019-04-01,2020-04-01,10,-0.0061,-0.1212,0.1152
2020,2020-04-01,2021-04-01,10,0.6662,0.6536,0.0126
2021,2021-04-01,2022-04-01,10,0.1208,0.1455,-0.0246
2022,2022-04-01,2023-04-03,10,-0.0864,-0.0773,-0.0091
2023,2023-04-03,2024-04-01,10,0.3443,0.289,0.0553
2024,2024-04-01,2025-04-01,10,-0.0897,0.088,-0.1777
2025,2025-04-01,2026-04-01,10,0.0476,0.1814,-0.1338
