formation_year,rank,ticker,overall_score,valuation_score,quality_score,quality_coverage,missing_metrics,historical_pe_observations_used,valuation_percentile,buy_date,buy_price,sell_date,sell_price,annual_return
2015,1,BKNG,81.2,66.2,96.3,0.7778,"FCF Margin, FCF Conversion",3,0.5,2015-01-02,44.7322,2016-01-04,48.7786,0.0905
2015,2,EW,69.3,46.2,92.5,0.7778,"FCF Margin, FCF Conversion",5,0.75,2015-01-02,21.2867,2016-01-04,26.28,0.2346
2015,3,MA,70.9,51.5,90.3,1.0,,5,0.75,2015-01-02,79.7147,2016-01-04,88.8429,0.1145
2015,4,MSFT,52.7,15.7,89.7,0.7778,"FCF Margin, FCF Conversion",4,1.0,2015-01-02,39.6817,2016-01-04,47.7707,0.2038
2015,5,ANET,92.2,95.9,88.5,0.8889,EPS CAGR,2,0.0,2015-01-02,3.9175,2016-01-04,4.8375,0.2348
2015,6,META,77.6,66.9,88.3,0.7778,"ROIC, EPS CAGR",3,0.5,2015-01-02,77.7671,2016-01-04,101.3302,0.303
2015,7,JNJ,61.2,35.6,86.8,1.0,,4,1.0,2015-01-02,76.1109,2016-01-04,75.3376,-0.0102
2015,8,LRCX,84.8,84.3,85.3,0.7778,"FCF Margin, FCF Conversion",4,0.0,2015-01-02,6.7907,2016-01-04,6.7367,-0.0079
2015,9,TXN,79.9,75.8,84.1,0.7778,"FCF Margin, FCF Conversion",4,0.3333,2015-01-02,38.9036,2016-01-04,40.5581,0.0425
2015,10,MCO,59.4,34.7,84.0,1.0,,4,1.0,2015-01-02,85.1626,2016-01-04,87.4731,0.0271
2016,1,ANET,93.8,93.5,94.0,0.8889,ROIC,3,0.0,2016-01-04,4.8375,2017-01-03,6.0662,0.254
2016,2,GOOGL,81.2,69.0,93.3,1.0,,8,0.4286,2016-01-04,37.6383,2017-01-03,40.0454,0.064
2016,3,META,88.7,84.7,92.7,0.8889,ROIC,4,0.0,2016-01-04,101.3302,2017-01-03,115.8427,0.1432
2016,4,AAPL,74.6,56.7,92.5,0.7778,"FCF Margin, FCF Conversion",7,0.6667,2016-01-04,23.6887,2017-01-03,26.6982,0.127
2016,5,LRCX,80.8,72.8,88.8,0.7778,"FCF Margin, FCF Conversion",5,0.25,2016-01-04,6.7367,2017-01-03,9.4392,0.4012
2016,6,SBUX,66.8,47.9,85.8,1.0,,5,0.5,2016-01-04,46.4852,2017-01-03,44.8242,-0.0357
