formation_year,buy_date,sell_date,selected_count,portfolio_return,benchmark_return,excess_return
2015,2015-01-02,2016-01-04,10,0.1233,-0.0013,0.1246
2016,2016-01-04,2017-01-03,10,0.1525,0.1445,0.008
2017,2017-01-03,2018-01-02,10,0.6084,0.2165,0.3919
2018,2018-01-02,2019-01-02,10,-0.0813,-0.0515,-0.0299
2019,2019-01-02,2020-01-02,10,0.5707,0.3231,0.2476
2020,2020-01-02,2021-01-04,10,0.2667,0.1564,0.1103
2021,2021-01-04,2022-01-03,10,0.4443,0.3126,0.1317
2022,2022-01-03,2023-01-03,10,-0.3079,-0.1899,-0.118
2023,2023-01-03,2024-01-02,10,0.5588,0.26,0.2988
2024,2024-01-02,2025-01-02,10,0.2049,0.2528,-0.0479
2025,2025-01-02,2026-01-02,10,0.2474,0.1823,0.0652
