formation_year,rank,ticker,overall_score,valuation_score,quality_score,quality_coverage,missing_metrics,historical_pe_observations_used,valuation_percentile,buy_date,buy_price,sell_date,sell_price,annual_return
2015,1,ANET,92.2,95.9,88.5,0.8889,EPS CAGR,2,0.0,2015-04-01,4.3513,2016-04-01,3.8837,-0.1074
2015,2,INTU,86.7,97.0,76.3,0.8889,ROIC,1,0.0,2015-04-01,88.7288,2016-04-01,96.1884,0.0841
2015,3,VRSK,85.8,97.0,74.7,0.8889,EPS CAGR,1,0.0,2015-04-01,68.0066,2016-04-01,76.24,0.1211
2015,4,LRCX,84.8,84.3,85.3,0.7778,"FCF Margin, FCF Conversion",4,0.0,2015-04-01,6.0187,2016-04-01,7.2165,0.199
2015,5,ODFL,82.7,92.4,73.0,1.0,,4,0.0,2015-04-01,24.1504,2016-04-01,22.2007,-0.0807
2015,6,HON,81.6,81.2,81.9,0.7778,"FCF Margin, FCF Conversion",5,0.25,2015-04-01,76.7795,2016-04-01,86.015,0.1203
2015,7,BKNG,81.2,66.2,96.3,0.7778,"FCF Margin, FCF Conversion",3,0.5,2015-04-01,45.0275,2016-04-01,50.9066,0.1306
2015,8,GWW,81.0,93.7,68.3,1.0,,4,0.0,2015-04-01,193.6257,2016-04-01,199.9545,0.0327
2015,9,AMAT,80.2,77.5,83.0,1.0,,4,0.0,2015-04-01,19.5561,2016-04-01,19.1231,-0.0221
2015,10,AAPL,80.2,80.0,80.3,0.7778,"FCF Margin, FCF Conversion",6,0.2,2015-04-01,27.5788,2016-04-01,24.8662,-0.0984
2016,1,ANET,93.8,93.5,94.0,0.8889,ROIC,3,0.0,2016-04-01,3.8837,2017-04-03,8.2312,1.1194
2016,2,CRM,89.8,97.0,82.5,0.7778,"ROIC, EPS CAGR",1,0.0,2016-04-01,74.4421,2017-04-03,80.9102,0.0869
2016,3,META,88.7,84.7,92.7,0.8889,ROIC,4,0.0,2016-04-01,115.0497,2017-04-03,141.0414,0.2259
2016,4,GOOGL,81.2,69.0,93.3,1.0,,8,0.4286,2016-04-01,38.1453,2017-04-03,42.461,0.1131
2016,5,NKE,81.2,80.4,82.0,0.8889,ROIC,5,0.25,2016-04-01,53.5125,2017-04-03,48.8761,-0.0866
2016,6,VRSK,81.2,95.9,66.5,0.8889,EPS CAGR,2,0.0,2016-04-01,76.24,2017-04-03,75.9072,-0.0044
2016,7,LRCX,80.8,72.8,88.8,0.7778,"FCF Margin, FCF Conversion",5,0.25,2016-04-01,7.2165,2017-04-03,11.3444,0.572
2016,8,INTU,80.5,93.8,67.3,0.8889,ROIC,2,0.0,2016-04-01,96.1884,2017-04-03,107.9754,0.1225
2016,9,CPRT,80.2,91.0,69.4,0.7778,"FCF Margin, FCF Conversion",6,0.0,2016-04-01,5.1487,2017-04-03,7.6,0.4761
2016,10,REGN,79.2,73.2,85.3,0.8889,ROIC,5,0.25,2016-04-01,401.9303,2017-04-03,380.051,-0.0544
2017,1,CRM,92.9,97.0,88.8,0.7778,"ROIC, EPS CAGR",1,0.0,2017-04-03,80.9102,2018-04-02,113.3392,0.4008
2017,2,CL,84.8,97.0,72.6,0.8889,EPS CAGR,1,0.0,2017-04-03,58.5973,2018-04-02,57.2492,-0.023
2017,3,CME,82.2,87.5,77.0,0.8889,ROIC,6,0.0,2017-04-03,83.4314,2018-04-02,116.9038,0.4012
2017,4,REGN,81.8,73.7,90.0,0.8889,ROIC,6,0.2,2017-04-03,380.051,2018-04-02,327.8521,-0.1373
2017,5,ORLY,80.0,82.7,77.3,1.0,,7,0.1667,2017-04-03,17.246,2018-04-02,15.7387,-0.0874
2017,6,SHW,79.7,85.6,73.8,1.0,,7,0.1667,2017-04-03,94.6622,2018-04-02,118.2488,0.2492
2017,7,ANET,79.5,76.2,82.7,0.8889,ROIC,4,0.3333,2017-04-03,8.2312,2018-04-02,15.8444,0.9249
2017,8,CHD,78.2,90.9,65.6,0.7778,"FCF Margin, FCF Conversion",6,0.0,2017-04-03,44.1872,2018-04-02,44.0477,-0.0032
2017,9,AMAT,77.4,67.3,87.5,1.0,,6,0.2,2017-04-03,35.2042,2018-04-02,48.2653,0.371
2017,10,SBUX,77.1,76.7,77.5,1.0,,6,0.0,2017-04-03,47.5398,2018-04-02,46.6421,-0.0189
2018,1,ANET,92.1,88.2,96.0,0.8889,ROIC,5,0.0,2018-04-02,15.8444,2019-04-01,19.8975,0.2558
2018,2,TXN,88.7,93.0,84.4,0.7778,"FCF Margin, FCF Conversion",7,0.0,2018-04-02,79.5302,2019-04-01,88.257,0.1097
2018,3,LRCX,87.8,80.4,95.3,0.7778,"FCF Margin, FCF Conversion",7,0.0,2018-04-02,17.3118,2019-04-01,16.9154,-0.0229
2018,4,META,87.5,79.9,95.0,0.8889,ROIC,6,0.0,2018-04-02,154.0373,2019-04-01,167.2315,0.0857
2018,5,NVDA,86.5,77.8,95.3,0.7778,"FCF Margin, FCF Conversion",7,0.1667,2018-04-02,5.4618,2019-04-01,4.5182,-0.1728
2018,6,AMAT,85.2,77.2,93.3,1.0,,7,0.0,2018-04-02,48.2653,2019-04-01,38.2642,-0.2072
2018,7,CL,84.8,97.0,72.6,0.8889,EPS CAGR,1,0.0,2018-04-02,57.2492,2019-04-01,57.1861,-0.0011
2018,8,ZTS,84.3,90.3,78.3,1.0,,6,0.0,2018-04-02,75.2024,2019-04-01,94.6201,0.2582
2018,9,REGN,83.4,79.6,87.3,0.8889,ROIC,7,0.0,2018-04-02,327.8521,2019-04-01,406.691,0.2405
2018,10,ADBE,83.0,72.0,94.0,0.8889,ROIC,8,0.2857,2018-04-02,212.28,2019-04-01,272.17,0.2821
2019,1,BKNG,90.4,88.8,92.0,1.0,,7,0.0,2019-04-01,68.9055,2020-04-01,49.8072,-0.2772
2019,2,ANET,87.3,84.9,89.8,1.0,,6,0.0,2019-04-01,19.8975,2020-04-01,12.0481,-0.3945
2019,3,ADI,86.2,97.0,75.3,0.8889,EPS CAGR,1,0.0,2019-04-01,95.1881,2020-04-01,75.4671,-0.2072
2019,4,META,85.8,77.6,94.0,0.8889,ROIC,7,0.1667,2019-04-01,167.2315,2020-04-01,158.2106,-0.0539
2019,5,SCHW,85.5,80.8,90.3,0.8889,ROIC,8,0.1429,2019-04-01,39.705,2020-04-01,30.1378,-0.241
2019,6,CL,83.7,94.2,73.2,0.8889,EPS CAGR,2,0.0,2019-04-01,57.1861,2020-04-01,56.2394,-0.0166
2019,7,CDNS,83.5,79.8,87.3,0.8889,ROIC,8,0.1429,2019-04-01,64.8,2020-04-01,65.24,0.0068
2019,8,REGN,82.0,73.1,91.0,0.8889,ROIC,8,0.1429,2019-04-01,406.691,2020-04-01,492.5816,0.2112
2019,9,MO,79.2,79.5,78.8,1.0,,5,0.25,2019-04-01,32.9394,2020-04-01,23.2064,-0.2955
2019,10,GOOGL,76.8,69.3,84.3,1.0,,11,0.4,2019-04-01,59.4221,2020-04-01,54.6207,-0.0808
2020,1,BKNG,88.2,88.8,87.5,1.0,,7,0.0,2020-04-01,49.8072,2021-04-01,93.3162,0.8735
2020,2,ANET,87.3,76.9,97.8,1.0,,7,0.3333,2020-04-01,12.0481,2021-04-01,19.2525,0.598
2020,3,REGN,83.8,80.0,87.5,1.0,,9,0.0,2020-04-01,492.5816,2021-04-01,471.0395,-0.0437
2020,4,META,80.5,77.4,83.5,1.0,,8,0.1429,2020-04-01,158.2106,2021-04-01,296.0602,0.8713
2020,5,ADBE,80.3,64.4,96.3,1.0,,10,0.4444,2020-04-01,301.21,2021-04-01,483.34,0.6047
2020,6,INTC,79.2,77.1,81.3,0.8889,ROIC,9,0.25,2020-04-01,45.9883,2021-04-01,58.709,0.2766
2020,7,AZO,77.2,86.0,68.3,1.0,,8,0.1429,2020-04-01,776.86,2021-04-01,1418.84,0.8264
2020,8,ORCL,76.9,75.6,78.3,1.0,,5,0.25,2020-04-01,44.4188,2021-04-01,66.5944,0.4992
2020,9,ORLY,74.2,80.1,68.3,1.0,,10,0.2222,2020-04-01,19.15,2021-04-01,33.8547,0.7679
2020,10,SCHW,73.5,74.4,72.5,1.0,,9,0.375,2020-04-01,30.1378,2021-04-01,61.8321,1.0516
2021,1,META,85.2,77.8,92.5,1.0,,9,0.125,2021-04-01,296.0602,2022-04-01,222.8927,-0.2471
2021,2,REGN,84.0,76.9,91.0,1.0,,10,0.0,2021-04-01,471.0395,2022-04-01,689.1381,0.463
2021,3,GOOGL,79.5,72.5,86.5,1.0,,13,0.3333,2021-04-01,105.553,2022-04-01,138.9187,0.3161
2021,4,AMZN,79.0,78.7,79.3,1.0,,11,0.0,2021-04-01,158.05,2022-04-01,163.56,0.0349
2021,5,ADBE,74.5,53.6,95.5,1.0,,11,0.7,2021-04-01,483.34,2022-04-01,458.19,-0.052
2021,6,QCOM,74.3,66.9,81.8,1.0,,7,0.5,2021-04-01,123.0632,2022-04-01,133.6205,0.0858
2021,7,ORLY,72.3,60.7,84.0,1.0,,11,0.6,2021-04-01,33.8547,2022-04-01,44.4953,0.3143
2021,8,INTC,70.5,74.0,67.0,0.8889,ROIC,10,0.3333,2021-04-01,58.709,2022-04-01,44.9603,-0.2342
2021,9,ABT,68.6,66.7,70.5,1.0,,9,0.375,2021-04-01,107.1155,2022-04-01,108.3878,0.0119
2021,10,ICE,68.0,79.1,57.0,0.8889,ROIC,9,0.25,2021-04-01,106.6723,2022-04-01,125.329,0.1749
2022,1,GOOGL,91.8,88.0,95.5,1.0,,14,0.0,2022-04-01,138.9187,2023-04-03,103.4428,-0.2554
2022,2,META,88.7,80.3,97.0,1.0,,10,0.0,2022-04-01,222.8927,2023-04-03,211.2152,-0.0524
2022,3,LRCX,86.7,80.0,93.3,1.0,,11,0.1,2022-04-01,50.273,2023-04-03,50.6283,0.0071
2022,4,EW,86.2,81.1,91.3,1.0,,12,0.1818,2022-04-01,123.07,2023-04-03,82.17,-0.3323
2022,5,ADBE,85.5,75.6,95.5,1.0,,12,0.1818,2022-04-01,458.19,2023-04-03,380.08,-0.1705
2022,6,FTNT,83.3,73.2,93.5,1.0,,10,0.1111,2022-04-01,67.802,2023-04-03,66.31,-0.022
