formation_year,buy_date,sell_date,selected_count,portfolio_return,benchmark_return,excess_return
2015,2015-04-01,2016-04-01,10,0.0379,0.0274,0.0105
2016,2016-04-01,2017-04-03,10,0.2571,0.1608,0.0963
2017,2017-04-03,2018-04-02,10,0.2077,0.115,0.0928
2018,2018-04-02,2019-04-01,10,0.0828,0.1317,-0.0489
2019,2019-04-01,2020-04-01,10,-0.1349,-0.1212,-0.0136
2020,2020-04-01,2021-04-01,10,0.6325,0.6536,-0.0211
2021,2021-04-01,2022-04-01,10,0.0867,0.1455,-0.0587
2022,2022-04-01,2023-04-03,10,-0.0667,-0.0773,0.0106
2023,2023-04-03,2024-04-01,10,0.4114,0.289,0.1224
2024,2024-04-01,2025-04-01,10,0.0119,0.088,-0.0761
2025,2025-04-01,2026-04-01,10,-0.137,0.1814,-0.3185
