formation_year,buy_date,sell_date,selected_count,portfolio_return,benchmark_return,excess_return
2015,2015-01-02,2016-01-04,10,-0.0118,-0.0013,-0.0105
2016,2016-01-04,2017-01-03,10,0.1161,0.1445,-0.0284
2017,2017-01-03,2018-01-02,10,0.3642,0.2165,0.1477
2018,2018-01-02,2019-01-02,10,-0.1121,-0.0515,-0.0606
2019,2019-01-02,2020-01-02,10,0.253,0.3231,-0.0701
2020,2020-01-02,2021-01-04,10,0.1636,0.1564,0.0072
2021,2021-01-04,2022-01-03,10,0.2868,0.3126,-0.0258
2022,2022-01-03,2023-01-03,10,-0.3311,-0.1899,-0.1412
2023,2023-01-03,2024-01-02,10,0.4295,0.26,0.1695
2024,2024-01-02,2025-01-02,10,0.1327,0.2528,-0.1201
2025,2025-01-02,2026-01-02,10,-0.0816,0.1823,-0.2639
