formation_year,rank,ticker,overall_score,valuation_score,quality_score,quality_coverage,missing_metrics,historical_pe_observations_used,valuation_percentile,buy_date,buy_price,sell_date,sell_price,annual_return
2015,1,INTU,86.7,97.0,76.3,0.8889,ROIC,1,0.0,2015-04-01,88.7288,2016-04-01,96.1884,0.0841
2015,2,VRSK,85.8,97.0,74.7,0.8889,EPS CAGR,1,0.0,2015-04-01,68.0066,2016-04-01,76.24,0.1211
2015,3,BSX,71.0,97.0,45.0,0.8889,EPS CAGR,1,0.0,2015-04-01,17.65,2016-04-01,18.94,0.0731
2015,4,OXY,71.3,96.9,45.8,1.0,,2,0.0,2015-04-01,53.3084,2016-04-01,51.1564,-0.0404
2015,5,ANET,92.2,95.9,88.5,0.8889,EPS CAGR,2,0.0,2015-04-01,4.3513,2016-04-01,3.8837,-0.1074
2015,6,GWW,81.0,93.7,68.3,1.0,,4,0.0,2015-04-01,193.6257,2016-04-01,199.9545,0.0327
2015,7,FAST,78.3,93.0,63.7,0.8889,ROIC,4,0.0,2015-04-01,7.615,2016-04-01,9.2995,0.2212
2015,8,ODFL,82.7,92.4,73.0,1.0,,4,0.0,2015-04-01,24.1504,2016-04-01,22.2007,-0.0807
2015,9,CTAS,80.2,92.3,68.1,0.7778,"FCF Margin, FCF Conversion",3,0.0,2015-04-01,18.1165,2016-04-01,20.1994,0.115
2015,10,MAR,79.4,92.3,66.5,1.0,,4,0.0,2015-04-01,72.0103,2016-04-01,61.006,-0.1528
2016,1,CRM,89.8,97.0,82.5,0.7778,"ROIC, EPS CAGR",1,0.0,2016-04-01,74.4421,2017-04-03,80.9102,0.0869
2016,2,OXY,66.8,96.9,36.8,0.8889,EPS CAGR,2,0.0,2016-04-01,51.1564,2017-04-03,49.875,-0.025
2016,3,VRSK,81.2,95.9,66.5,0.8889,EPS CAGR,2,0.0,2016-04-01,76.24,2017-04-03,75.9072,-0.0044
2016,4,INTU,80.5,93.8,67.3,0.8889,ROIC,2,0.0,2016-04-01,96.1884,2017-04-03,107.9754,0.1225
2016,5,ANET,93.8,93.5,94.0,0.8889,ROIC,3,0.0,2016-04-01,3.8837,2017-04-03,8.2312,1.1194
2016,6,CPRT,80.2,91.0,69.4,0.7778,"FCF Margin, FCF Conversion",6,0.0,2016-04-01,5.1487,2017-04-03,7.6,0.4761
2016,7,SPGI,71.2,87.9,54.5,1.0,,4,0.0,2016-04-01,85.394,2017-04-03,112.6249,0.3189
2016,8,ABBV,77.0,87.7,66.2,0.7778,"FCF Margin, FCF Conversion",4,0.0,2016-04-01,37.3992,2017-04-03,43.9752,0.1758
2016,9,NXPI,75.1,84.9,65.3,0.7778,"FCF Margin, FCF Conversion",3,0.0,2016-04-01,72.2922,2017-04-03,91.8697,0.2708
2016,10,META,88.7,84.7,92.7,0.8889,ROIC,4,0.0,2016-04-01,115.0497,2017-04-03,141.0414,0.2259
2017,1,CRM,92.9,97.0,88.8,0.7778,"ROIC, EPS CAGR",1,0.0,2017-04-03,80.9102,2018-04-02,113.3392,0.4008
2017,2,CL,84.8,97.0,72.6,0.8889,EPS CAGR,1,0.0,2017-04-03,58.5973,2018-04-02,57.2492,-0.023
2017,3,CHD,78.2,90.9,65.6,0.7778,"FCF Margin, FCF Conversion",6,0.0,2017-04-03,44.1872,2018-04-02,44.0477,-0.0032
