formation_year,buy_date,sell_date,selected_count,portfolio_return,benchmark_return,excess_return
2015,2015-04-01,2016-04-01,10,0.0266,0.0274,-0.0008
2016,2016-04-01,2017-04-03,10,0.2767,0.1608,0.1159
2017,2017-04-03,2018-04-02,10,0.1555,0.115,0.0406
2018,2018-04-02,2019-04-01,10,0.1135,0.1317,-0.0182
2019,2019-04-01,2020-04-01,10,-0.1722,-0.1212,-0.051
2020,2020-04-01,2021-04-01,10,0.6201,0.6536,-0.0335
2021,2021-04-01,2022-04-01,10,0.177,0.1455,0.0316
2022,2022-04-01,2023-04-03,10,-0.0126,-0.0773,0.0647
2023,2023-04-03,2024-04-01,10,0.3977,0.289,0.1087
2024,2024-04-01,2025-04-01,10,0.009,0.088,-0.079
2025,2025-04-01,2026-04-01,10,-0.0932,0.1814,-0.2746
