ticker,count,coverage_mean,coverage_min,coverage_max
AAPL,11,0.9394,0.7778,1.0000
ABBNY,11,0.7475,0.4444,0.7778
ABBV,11,0.8990,0.7778,1.0000
ABT,11,1.0000,1.0000,1.0000
ADBE,11,0.9697,0.8889,1.0000
ADI,7,0.9206,0.7778,1.0000
ADP,11,0.7475,0.6667,0.7778
AMAT,11,1.0000,1.0000,1.0000
AME,11,0.9192,0.7778,1.0000
AMZN,11,0.9394,0.7778,1.0000
ANET,11,0.8687,0.6667,1.0000
AON,11,1.0000,1.0000,1.0000
ASML,11,0.8990,0.7778,1.0000
AVGO,11,0.8485,0.4444,1.0000
AZO,11,0.9192,0.7778,1.0000
BAESY,11,0.4444,0.4444,0.4444
BKNG,11,0.9192,0.7778,1.0000
BR,11,0.9091,0.6667,1.0000
BSX,11,0.9495,0.8889,1.0000
CAT,11,0.8081,0.5556,1.0000
CDNS,11,0.8889,0.8889,0.8889
CHD,11,0.9192,0.7778,1.0000
CL,9,0.9630,0.8889,1.0000
CME,11,0.9091,0.8889,1.0000
CMG,11,0.7677,0.4444,1.0000
COST,11,0.8889,0.6667,1.0000
CPRT,11,0.8485,0.7778,1.0000
CRM,10,0.9333,0.7778,1.0000
CSCO,11,0.9192,0.7778,1.0000
CSL,11,0.9192,0.7778,1.0000
CTAS,11,0.9192,0.7778,1.0000
DE,11,0.9293,0.6667,1.0000
DHR,11,0.9495,0.8889,1.0000
DPZ,11,0.8788,0.5556,1.0000
DSY,11,0.6869,0.6667,0.8889
EADSY,11,0.6162,0.4444,0.6667
EL,11,0.8788,0.7778,1.0000
EMR,11,0.8889,0.8889,0.8889
EQIX,11,0.9394,0.7778,1.0000
ETN,11,0.9697,0.8889,1.0000
EW,11,0.9394,0.7778,1.0000
FAST,11,0.9899,0.8889,1.0000
FICO,11,0.8687,0.6667,1.0000
FTNT,11,0.7879,0.6667,1.0000
GOOGL,11,0.9697,0.6667,1.0000
GWW,11,1.0000,1.0000,1.0000
HCA,11,0.9394,0.7778,1.0000
HLT,11,0.9798,0.8889,1.0000
HON,11,0.9091,0.6667,1.0000
HWM,8,0.9445,0.8889,1.0000
ICE,11,0.9495,0.8889,1.0000
IDXX,11,0.9394,0.7778,1.0000
IFX,11,0.6667,0.6667,0.6667
INTC,11,0.8283,0.7778,0.8889
INTU,11,0.9798,0.8889,1.0000
IQV,11,0.9091,0.6667,1.0000
IR,8,0.8195,0.6667,0.8889
ISRG,11,0.6869,0.6667,0.8889
ITW,11,1.0000,1.0000,1.0000
JNJ,11,0.9899,0.8889,1.0000
KLAC,11,0.9697,0.8889,1.0000
KMB,11,0.9394,0.7778,1.0000
KO,11,1.0000,1.0000,1.0000
LIN,11,0.7980,0.6667,1.0000
LOW,11,0.9192,0.6667,1.0000
LRCX,11,0.8990,0.7778,1.0000
MA,11,0.9091,0.6667,1.0000
MAR,11,0.9798,0.8889,1.0000
MCD,11,1.0000,1.0000,1.0000
MCHP,11,0.8485,0.6667,1.0000
MCO,11,1.0000,1.0000,1.0000
MDT,11,0.9495,0.6667,1.0000
META,11,0.9192,0.6667,1.0000
MMC,11,1.0000,1.0000,1.0000
MO,11,0.9394,0.7778,1.0000
MPWR,11,0.7071,0.4444,0.8889
MSCI,11,1.0000,1.0000,1.0000
MSFT,11,0.9192,0.7778,1.0000
MSI,11,0.9798,0.8889,1.0000
NKE,11,0.8889,0.8889,0.8889
NOC,11,0.9899,0.8889,1.0000
NVDA,11,0.8283,0.6667,1.0000
NXPI,11,0.8889,0.6667,1.0000
ODFL,11,1.0000,1.0000,1.0000
ORCL,11,0.8990,0.6667,1.0000
ORLY,11,1.0000,1.0000,1.0000
OTIS,6,0.8889,0.4444,1.0000
OXY,11,0.9192,0.8889,1.0000
PANW,3,0.8519,0.7778,0.8889
PAYX,11,0.7879,0.4444,1.0000
PEP,11,1.0000,1.0000,1.0000
PFE,11,1.0000,1.0000,1.0000
PG,11,0.9495,0.8889,1.0000
PH,11,1.0000,1.0000,1.0000
PRYMY,11,0.6667,0.6667,0.6667
QCOM,11,0.9394,0.5556,1.0000
REGN,11,0.9495,0.8889,1.0000
RHHBY,11,0.6667,0.6667,0.6667
RNO,11,0.6061,0.4444,0.6667
ROK,11,0.8889,0.7778,1.0000
ROL,11,0.7071,0.4444,0.8889
ROP,11,0.8182,0.7778,1.0000
RSG,11,0.9697,0.6667,1.0000
RTX,11,0.7879,0.6667,1.0000
SBGSY,11,0.6667,0.6667,0.6667
SBUX,11,1.0000,1.0000,1.0000
SCHW,11,0.8384,0.6667,1.0000
SHW,11,1.0000,1.0000,1.0000
SIEGY,11,0.6667,0.6667,0.6667
SNPS,11,0.9192,0.7778,1.0000
SPGI,11,0.9495,0.6667,1.0000
SYK,11,1.0000,1.0000,1.0000
TMO,11,1.0000,1.0000,1.0000
TT,11,1.0000,1.0000,1.0000
TXN,11,0.9192,0.7778,1.0000
UNH,11,1.0000,1.0000,1.0000
UNP,11,0.8990,0.7778,1.0000
V,11,0.9394,0.6667,1.0000
VRSK,11,0.9798,0.8889,1.0000
WKL,11,0.5556,0.5556,0.5556
WM,11,0.9293,0.6667,1.0000
XYL,11,1.0000,1.0000,1.0000
YUM,11,0.9192,0.6667,1.0000
ZTS,11,0.9192,0.6667,1.0000
