year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,451440000000.0,8.29,147360000000.0,,,,,,,,14670000000.0,0.31,8.25,
2025,435610000000.0,7.92,141070000000.0,31.89,54690000000.0,98650000000.0,359240000000.0,73730000000.0,34.3,285500000000.0,14740000000.0,0.38,9.18,45.3
2024,395760000000.0,6.31,125670000000.0,31.58,65170000000.0,106620000000.0,364980000000.0,56950000000.0,39.5,308030000000.0,15080000000.0,0.4,9.52,56.4
2023,385700000000.0,6.46,119680000000.0,29.67,61550000000.0,111080000000.0,352580000000.0,62140000000.0,29.6,290430000000.0,15500000000.0,0.5,7.76,40.4
2022,387530000000.0,5.92,116110000000.0,30.2,48300000000.0,132479999999.99998,352750000000.0,50670000000.0,21.6,302080000000.0,15890000000.0,0.71,5.33,36.4
2021,378320000000.0,6.08,119570000000.0,29.85,62630000000.0,136520000000.00002,351000000000.0,63090000000.0,28.6,287910000000.0,16390000000.0,0.5,7.67,40.3
2020,294130000000.0,3.74,77470000000.0,24.44,90940000000.0,122270000000.0,323880000000.0,65330000000.0,34.6,258540000000.00003,16930000000.0,0.62,7.67,34.1
2019,267680000000.0,3.19,71220000000.0,25.27,100550000000.0,108040000000.0,338510000000.0,90480000000.0,22.2,248020000000.0,,1.07,4.81,14.4
2018,261610000000.0,3.07,73170000000.0,27.45,66300000000.0,114480000000.0,365720000000.0,107140000000.0,12.2,258570000000.0,,1.88,2.85,6.33
2017,239170000000.0,2.45,69470000000.0,27.96,74180000000.0,115680000000.0,375310000000.0,134039999999.99998,16.2,241270000000.0,,1.55,3.6,6.14
2016,218110000000.0,2.1,62680000000.0,28.46,67150000000.00001,87030000000.0,321680000000.0,128240000000.00002,12.7,193430000000.0,,2.09,2.79,4.6
2015,234980000000.0,2.37,73550000000.0,31.03,41600000000.0,64319999999.99999,290340000000.0,119350000000.0,10.0,170990000000.0,,2.14,2.48,4.55
2014,199800000000.0,1.87,60620000000.0,29.26,25070000000.0,35290000000.0,231830000000.0,111540000000.0,13.1,120290000000.0,,1.88,3.22,5.21
2013,173990000000.0,1.45,50410000000.0,29.35,40540000000.0,16960000000.0,207000000000.0,123540000000.0,12.0,83450000000.0,,2.42,2.88,3.86
2012,164680000000.0,1.59,55860000000.0,35.63,29120000000.0,,176060000000.0,118210000000.0,10.1,57850000000.0,,1.17,3.03,3.92
2011,127840000000.0,1.27,43300000000.0,31.6,25950000000.0,,116370000000.0,76610000000.0,9.58,39750000000.0,,0.0,2.95,4.19
2010,76280000000.0,,21480000000.0,28.42,25620000000.0,,75180000000.0,47790000000.0,,27390000000.0,,0.0,3.89,5.43
2009,44370000000.0,0.31,11870000000.0,28.12,23460000000.0,,47500000000.0,31640000000.0,20.2,15860000000.0,,0.0,4.3,5.34
2008,34750000000.0,,7250000000.0,23.86,22110000000.0,,36170000000.0,22290000000.0,,13870000000.0,,0.0,2.19,3.32
2007,26490000000.0,,5210000000.0,20.37,15380000000.0,,25340000000.0,14530000000.0,,10810000000.0,,0.0,6.57,10.4
2006,20680000000.0,,3390000000.0,14.59,10110000000.0,,17200000000.0,9980000000.0,,7220000000.0,,0.0,3.53,6.5
2005,16190000000.000002,,1990000000.0,12.98,8260000000.0,,11510000000.0,7420000000.0,,4080000000.0,,0.0,3.75,7.25
2004,9760000000.0,,690000000.0,4.47,5460000000.0,,8050000000.000001,5070000000.0,,2970000000.0,,0.0,2.67,4.5
2003,6740000000.0,,190000000.0,1.48,4560000000.0,300000000.0,6810000000.0,4219999999.9999995,,2590000000.0,,0.0,1.17,1.82
2002,5830000000.0,,35000000.0,1.52,4330000000.0,310000000.0,6290000000.0,4090000000.0,,2200000000.0,,0.0,0.8841,1.25
2001,5730000000.0,,310000000.0,-0.97,4330000000.0,310000000.0,6020000000.0,3920000000.0,,2100000000.0,,0.0,1.35,
2000,6640000000.0,,390000000.0,,4019999999.9999995,300000000.0,,,,,,0.0,,
1999,6760000000.0,,600000000.0,,3220000000.0,300000000.0,,,,,,0.0,,
1998,6070000000.0,,530000000.0,,2300000000.0,950000000.0,,,,,,0.0,,
1997,6530000000.0,,,,1450000000.0,970000000.0,,,,,,0.0,,
1996,8810000000.0,,,,1740000000.0,1130000000.0,,,,,,0.0,,
1995,,,,,,,,,,,,1.79,,
1994,,,,,,,,,,,,1.48,,
1993,,,,,,,,,,,,2.0,,
1992,,,,,,,,,,,,0.99,,
1991,,,,,,,,,,,,1.06,,
1990,,,,,,,,,,,,1.32,,
1989,,,,,,,,,,,,1.48,,
1988,,,,,,,,,,,,1.09,,
1987,,,,,,,,,,,,0.62,,
1986,,,,,,,,,,,,0.0,,
1985,,,,,,,,,,,,0.0,,
1984,,,,,,,,,,,,0.0,,
1983,,,,,,,,,,,,0.0,,
1982,,,,,,,,,,,,0.0,,
1981,,,,,,,,,,,,0.0,,
1980,,,,,,,,,,,,0.0,,
