Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,451440000000.0,147360000000.0,,,,
2025,435610000000.0,141070000000.0,34.3,54690000000.0,359240000000.0,
2024,395760000000.0,125670000000.0,39.5,65170000000.0,364980000000.0,
2023,385700000000.0,119680000000.0,29.6,61550000000.0,352580000000.0,
2022,387530000000.0,116110000000.0,21.6,48300000000.0,352750000000.0,
2021,378320000000.0,119570000000.0,28.6,62630000000.0,351000000000.0,
2020,294130000000.0,77470000000.0,34.6,90940000000.0,323880000000.0,
2019,267680000000.0,71220000000.0,22.2,100550000000.0,338510000000.0,
2018,261610000000.0,73170000000.0,12.2,66300000000.0,365720000000.0,
2017,239170000000.0,69470000000.0,16.2,74180000000.0,375310000000.0,
2016,218110000000.0,62680000000.0,12.7,67150000000.00001,321680000000.0,
2015,234980000000.0,73550000000.0,10.0,41600000000.0,290340000000.0,
2014,199800000000.0,60620000000.0,13.1,25070000000.0,231830000000.0,
2013,173990000000.0,50410000000.0,12.0,40540000000.0,207000000000.0,
2012,164680000000.0,55860000000.0,10.1,29120000000.0,176060000000.0,
2011,127840000000.0,43300000000.0,9.58,25950000000.0,116370000000.0,
2010,76280000000.0,21480000000.0,,25620000000.0,75180000000.0,
2009,44370000000.0,11870000000.0,20.2,23460000000.0,47500000000.0,
2008,34750000000.0,7250000000.0,,22110000000.0,36170000000.0,
2007,26490000000.0,5210000000.0,,15380000000.0,25340000000.0,
2006,20680000000.0,3390000000.0,,10110000000.0,17200000000.0,
2005,16190000000.000002,1990000000.0,,8260000000.0,11510000000.0,
2004,9760000000.0,690000000.0,,5460000000.0,8050000000.000001,
2003,6740000000.0,190000000.0,,4560000000.0,6810000000.0,
2002,5830000000.0,35000000.0,,4330000000.0,6290000000.0,
2001,5730000000.0,310000000.0,,4330000000.0,6020000000.0,
2000,6640000000.0,390000000.0,,4019999999.9999995,,
1999,6760000000.0,600000000.0,,3220000000.0,,
1998,6070000000.0,530000000.0,,2300000000.0,,
1997,6530000000.0,,,1450000000.0,,
1996,8810000000.0,,,1740000000.0,,
