year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,416161000000.0,Revenues,0000320193-25-000079,USD,True,112010000000.0,NetIncomeLoss,0000320193-25-000079,USD,True,111482000000.0,NetCashProvidedByUsedInOperatingActivities,0000320193-25-000079,USD,True,12715000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000320193-25-000079,USD,True,133050000000.0,OperatingIncomeLoss,0000320193-25-000079,USD,True,,,,,False,20719000000.0,IncomeTaxExpenseBenefit,0000320193-25-000079,USD,True,0.156,EffectiveIncomeTaxRateContinuingOperations,0000320193-25-000079,pure,True,132729000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000320193-25-000079,USD,True,35934000000.0,CashAndCashEquivalentsAtCarryingValue,0000320193-25-000079,USD,True,,,,,False,90678000000.0,LongTermDebt,0000320193-25-000079,USD,True,538000000.0,FinanceLeaseLiabilityCurrent,0000320193-25-000079,USD,True,692000000.0,FinanceLeaseLiabilityNoncurrent,0000320193-25-000079,USD,True,73733000000.0,StockholdersEquity,0000320193-25-000079,USD,True,35934000000.0,90678000000.0,98767000000.0,0.15610002335586043,128477000000.0,112280891892.50276,0.8739376845077544,133050000000.0,False,0.23732882225869315,0.8817694848674226,True,True,AAPL,0000320193,ticker:AAPL,24
2024,391035000000.0,Revenues,0000320193-24-000123,USD,True,93736000000.0,NetIncomeLoss,0000320193-24-000123,USD,True,118254000000.0,NetCashProvidedByUsedInOperatingActivities,0000320193-24-000123,USD,True,9447000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000320193-24-000123,USD,True,123216000000.0,OperatingIncomeLoss,0000320193-24-000123,USD,True,,,,,False,29749000000.0,IncomeTaxExpenseBenefit,0000320193-24-000123,USD,True,0.241,EffectiveIncomeTaxRateContinuingOperations,0000320193-24-000123,pure,True,123485000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000320193-24-000123,USD,True,29943000000.0,CashAndCashEquivalentsAtCarryingValue,0000320193-24-000123,USD,True,,,,,False,96662000000.0,LongTermDebt,0000320193-24-000123,USD,True,144000000.0,FinanceLeaseLiabilityCurrent,0000320193-24-000123,USD,True,752000000.0,FinanceLeaseLiabilityNoncurrent,0000320193-24-000123,USD,True,56950000000.0,StockholdersEquity,0000320193-24-000123,USD,True,29943000000.0,96662000000.0,108807000000.0,0.24091185164189982,123669000000.0,93531805288.09167,0.7563076056901218,123216000000.0,False,0.27825386474356517,1.1607813433472731,True,True,AAPL,0000320193,ticker:AAPL,24
2023,383285000000.0,Revenues,0000320193-23-000106,USD,True,96995000000.0,NetIncomeLoss,0000320193-23-000106,USD,True,110543000000.0,NetCashProvidedByUsedInOperatingActivities,0000320193-23-000106,USD,True,10959000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000320193-23-000106,USD,True,114301000000.0,OperatingIncomeLoss,0000320193-23-000106,USD,True,3933000000.0,InterestExpense,0000320193-23-000106,USD,True,16741000000.0,IncomeTaxExpenseBenefit,0000320193-23-000106,USD,True,0.147,EffectiveIncomeTaxRateContinuingOperations,0000320193-23-000106,pure,True,113736000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000320193-23-000106,USD,True,29965000000.0,CashAndCashEquivalentsAtCarryingValue,0000320193-23-000106,USD,True,,,,,False,105103000000.0,LongTermDebt,0000320193-23-000106,USD,True,165000000.0,FinanceLeaseLiabilityCurrent,0000320193-23-000106,USD,True,859000000.0,FinanceLeaseLiabilityNoncurrent,0000320193-23-000106,USD,True,62146000000.0,StockholdersEquity,0000320193-23-000106,USD,True,29965000000.0,105103000000.0,99584000000.0,0.14719174228036858,137284000000.0,97476836665.61159,0.7100378533959645,114301000000.0,False,0.25981710737440805,1.0266920975308005,True,True,AAPL,0000320193,ticker:AAPL,24
2022,394328000000.0,Revenues,0000320193-22-000108,USD,True,99803000000.0,NetIncomeLoss,0000320193-22-000108,USD,True,122151000000.0,NetCashProvidedByUsedInOperatingActivities,0000320193-22-000108,USD,True,10708000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000320193-22-000108,USD,True,119437000000.0,OperatingIncomeLoss,0000320193-22-000108,USD,True,2931000000.0,InterestExpense,0000320193-22-000108,USD,True,19300000000.0,IncomeTaxExpenseBenefit,0000320193-22-000108,USD,True,0.162,EffectiveIncomeTaxRateContinuingOperations,0000320193-22-000108,pure,True,119103000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000320193-22-000108,USD,True,23646000000.0,CashAndCashEquivalentsAtCarryingValue,0000320193-22-000108,USD,True,,,,,False,,,,,False,129000000.0,FinanceLeaseLiabilityCurrent,0000320193-22-000108,USD,True,812000000.0,FinanceLeaseLiabilityNoncurrent,0000320193-22-000108,USD,True,50672000000.0,StockholdersEquity,0000320193-22-000108,USD,True,23646000000.0,941000000.0,111443000000.0,0.16204461684424407,27967000000.0,100082877097.97401,3.5786061107009695,119437000000.0,False,0.2826149804223895,1.116629760628438,True,True,AAPL,0000320193,ticker:AAPL,24
2021,365817000000.0,Revenues,0000320193-21-000105,USD,True,94680000000.0,NetIncomeLoss,0000320193-21-000105,USD,True,104038000000.0,NetCashProvidedByUsedInOperatingActivities,0000320193-21-000105,USD,True,11085000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000320193-21-000105,USD,True,108949000000.0,OperatingIncomeLoss,0000320193-21-000105,USD,True,2645000000.0,InterestExpense,0000320193-21-000105,USD,True,14527000000.0,IncomeTaxExpenseBenefit,0000320193-21-000105,USD,True,0.133,EffectiveIncomeTaxRateContinuingOperations,0000320193-21-000105,pure,True,109207000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000320193-21-000105,USD,True,34940000000.0,CashAndCashEquivalentsAtCarryingValue,0000320193-21-000105,USD,True,,,,,False,,,,,False,79000000.0,FinanceLeaseLiabilityCurrent,0000320193-21-000105,USD,True,769000000.0,FinanceLeaseLiabilityNoncurrent,0000320193-21-000105,USD,True,63090000000.0,StockholdersEquity,0000320193-21-000105,USD,True,34940000000.0,848000000.0,92953000000.0,0.13302260844085087,28998000000.0,94456319832.97774,3.257339121076548,108949000000.0,False,0.2540969938521173,0.981759611322349,True,True,AAPL,0000320193,ticker:AAPL,24
2020,274515000000.0,Revenues,0000320193-20-000096,USD,True,57411000000.0,NetIncomeLoss,0000320193-20-000096,USD,True,80674000000.0,NetCashProvidedByUsedInOperatingActivities,0000320193-20-000096,USD,True,7309000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000320193-20-000096,USD,True,66288000000.0,OperatingIncomeLoss,0000320193-20-000096,USD,True,2873000000.0,InterestExpense,0000320193-20-000096,USD,True,9680000000.0,IncomeTaxExpenseBenefit,0000320193-20-000096,USD,True,0.144,EffectiveIncomeTaxRateContinuingOperations,0000320193-20-000096,pure,True,67091000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000320193-20-000096,USD,True,38016000000.0,CashAndCashEquivalentsAtCarryingValue,0000320193-20-000096,USD,True,,,,,False,,,,,False,24000000.0,FinanceLeaseLiabilityCurrent,0000320193-20-000096,USD,True,637000000.0,FinanceLeaseLiabilityNoncurrent,0000320193-20-000096,USD,True,65339000000.0,StockholdersEquity,0000320193-20-000096,USD,True,38016000000.0,661000000.0,73365000000.0,0.14428164731484103,27984000000.0,56723858162.79382,2.0270103688819976,66288000000.0,False,0.2672531555652697,1.2778909964989287,True,True,AAPL,0000320193,ticker:AAPL,24
2019,260174000000.0,Revenues,0000320193-19-000119,USD,True,55256000000.0,NetIncomeLoss,0000320193-19-000119,USD,True,69391000000.0,NetCashProvidedByUsedInOperatingActivities,0000320193-19-000119,USD,True,10495000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000320193-19-000119,USD,True,63930000000.0,OperatingIncomeLoss,0000320193-19-000119,USD,True,3576000000.0,InterestExpense,0000320193-19-000119,USD,True,10481000000.0,IncomeTaxExpenseBenefit,0000320193-19-000119,USD,True,0.159,EffectiveIncomeTaxRateContinuingOperations,0000320193-19-000119,pure,True,65737000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000320193-19-000119,USD,True,48844000000.0,CashAndCashEquivalentsAtCarryingValue,0000320193-19-000119,USD,True,,,,,False,,,,,False,10260000000.0,FinanceLeaseLiabilityCurrent,0000320193-19-000119,USD,True,91807000000.0,FinanceLeaseLiabilityNoncurrent,0000320193-19-000119,USD,True,90488000000.0,StockholdersEquity,0000320193-19-000119,USD,True,48844000000.0,102067000000.0,58896000000.0,0.1594383680423506,143711000000.0,53737105131.05253,0.37392478746270313,63930000000.0,False,0.22637158209505945,1.065875199073404,True,True,AAPL,0000320193,ticker:AAPL,24
2018,265595000000.0,Revenues,0000320193-18-000145,USD,True,59531000000.0,NetIncomeLoss,0000320193-18-000145,USD,True,77434000000.0,NetCashProvidedByUsedInOperatingActivities,0000320193-18-000145,USD,True,13313000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000320193-18-000145,USD,True,70898000000.0,OperatingIncomeLoss,0000320193-18-000145,USD,True,3240000000.0,InterestExpense,0000320193-18-000145,USD,True,13372000000.0,IncomeTaxExpenseBenefit,0000320193-18-000145,USD,True,0.183,EffectiveIncomeTaxRateContinuingOperations,0000320193-18-000145,pure,True,72903000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000320193-18-000145,USD,True,25913000000.0,CashAndCashEquivalentsAtCarryingValue,0000320193-18-000145,USD,True,40388000000.0,AvailableForSaleSecuritiesCurrent,0000320193-18-000145,USD,True,,,,,False,8784000000.0,FinanceLeaseLiabilityCurrent,0000320193-18-000145,USD,True,93735000000.0,FinanceLeaseLiabilityNoncurrent,0000320193-18-000145,USD,True,107147000000.0,StockholdersEquity,0000320193-18-000145,USD,True,66301000000.0,102519000000.0,64121000000.0,0.18342180705869443,143365000000.0,57893760723.15269,0.40382074232311016,70898000000.0,False,0.24142397258984544,1.0771026859955317,True,True,AAPL,0000320193,ticker:AAPL,24
2017,229234000000.0,Revenues,0000320193-17-000070,USD,True,48351000000.0,NetIncomeLoss,0000320193-17-000070,USD,True,63598000000.0,NetCashProvidedByUsedInOperatingActivities,0000320193-17-000070,USD,True,12451000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000320193-17-000070,USD,True,61344000000.0,OperatingIncomeLoss,0000320193-17-000070,USD,True,2323000000.0,InterestExpense,0000320193-17-000070,USD,True,15738000000.0,IncomeTaxExpenseBenefit,0000320193-17-000070,USD,True,0.246,EffectiveIncomeTaxRateContinuingOperations,0000320193-17-000070,pure,True,64089000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000320193-17-000070,USD,True,20289000000.0,CashAndCashEquivalentsAtCarryingValue,0000320193-17-000070,USD,True,53892000000.0,AvailableForSaleSecuritiesCurrent,0000320193-17-000070,USD,True,,,,,False,6496000000.0,FinanceLeaseLiabilityCurrent,0000320193-17-000070,USD,True,97207000000.0,FinanceLeaseLiabilityNoncurrent,0000320193-17-000070,USD,True,134047000000.0,StockholdersEquity,0000320193-17-000070,USD,True,74181000000.0,103703000000.0,51147000000.0,0.24556476150353415,163569000000.0,46280075270.3272,0.2829391588279393,61344000000.0,False,0.22312135198094524,1.0578271390457281,True,True,AAPL,0000320193,ticker:AAPL,24
2016,215639000000.0,Revenues,0001628280-16-020309,USD,True,45687000000.0,NetIncomeLoss,0001628280-16-020309,USD,True,,,,,False,12734000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001628280-16-020309,USD,True,60024000000.0,OperatingIncomeLoss,0001628280-16-020309,USD,True,1456000000.0,InterestExpense,0001628280-16-020309,USD,True,15685000000.0,IncomeTaxExpenseBenefit,0001628280-16-020309,USD,True,0.256,EffectiveIncomeTaxRateContinuingOperations,0001628280-16-020309,pure,True,61372000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001628280-16-020309,USD,True,20484000000.0,CashAndCashEquivalentsAtCarryingValue,0001628280-16-020309,USD,True,46671000000.0,AvailableForSaleSecuritiesCurrent,0001628280-16-020309,USD,True,,,,,False,3500000000.0,FinanceLeaseLiabilityCurrent,0001628280-16-020309,USD,True,75427000000.0,FinanceLeaseLiabilityNoncurrent,0001628280-16-020309,USD,True,128249000000.0,StockholdersEquity,0001628280-16-020309,USD,True,67155000000.0,78927000000.0,,0.2555725738121619,140021000000.0,44683511829.498795,0.31912007362823286,60024000000.0,False,,,True,False,AAPL,0000320193,ticker:AAPL,24
