year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,35550000000.0,2.74,6530000000.0,,,,,,,,1810000000.0,,5.33,
2025,,,,,6620000000.0,9090000000.0,44880000000.0,16640000000.0,,28230000000.0,1820000000.0,,4.15,8.16
2024,32250000000.0,2.13,5160000000.0,,5660000000.0,7700000000.0,40280000000.0,14990000000.0,25.0,25290000000.0,1840000000.0,,3.13,6.73
2023,32229999999.999996,2.03,4770000000.0,,5810000000.0,8740000000.0,40940000000.0,14140000000.0,21.0,26790000000.0,1840000000.0,2.26,2.53,5.77
2022,29440000000.0,1.31,3390000000.0,,4880000000.0,8539999999.999999,39140000000.0,13270000000.0,21.7,25870000000.0,1870000000.0,2.69,1.93,4.28
2021,28940000000.0,2.29,5780000000.0,,5320000000.0,6480000000.0,40260000000.0,15950000000.0,14.5,24300000000.0,1970000000.0,2.1,2.58,4.69
2020,26130000000.0,2.43,840000000.0,,5380000000.0,7120000000.0,41080000000.0,15990000000.0,9.77,25080000000.0,2049999999.9999998,2.86,2.18,3.56
2019,27970000000.0,0.67,1860000000.0,,4070000000.0000005,10080000000.0,46100000000.0,13980000000.0,29.1,32119999999.999996,2130000000.0,3.32,1.84,3.68
2018,21150000000.0,1.02,1340000000.0,,4150000000.0000005,8610000000.0,44440000000.0,14530000000.0,14.4,29900000000.0,2130000000.0,4.1,1.95,2.83
2017,34310000000.000004,1.04,3230000000.0,,5600000000.0,7400000000.0,43450000000.0,15340000000.0,19.2,28100000000.0,2130000000.0,2.83,1.66,3.71
2016,33820000000.0,0.92,2790000000.0,,5590000000.0,6800000000.0,39200000000.0,13890000000.0,16.5,25300000000.0,2130000000.0,3.51,1.31,3.19
2015,35480000000.0,,2840000000.0,,6190000000.0,7430000000.0,41350000000.0,14980000000.0,,26360000000.0,2210000000.0,3.1,1.14,2.69
2014,39830000000.0,1.14,3890000000.0,,6760000000.0,7660000000.0,44850000000.0,16809999999.999998,12.6,28030000000.0,2260000000.0,3.31,1.23,2.91
2013,41840000000.0,1.21,4059999999.9999995,,6480000000.0,8020000000.0,48060000000.0,19200000000.0,14.2,28850000000.0,2290000000.0,2.56,1.45,3.17
2012,39330000000.0,1.18,3830000000.0,,8480000000.0,10070000000.0,49070000000.0,17440000000.0,10.9,31620000000.0,2290000000.0,3.13,1.2,2.7
2011,37990000000.0,,4550000000.0,,5760000000.0,3990000000.0,39640000000.0,16329999999.999998,,23310000000.0,2290000000.0,3.19,1.13,2.64
2010,31580000000.0,,3740000000.0,,8610000000.0,2180000000.0,36290000000.0,15450000000.0,,20830000000.0,2280000000.0,2.27,1.72,3.52
2009,31790000000.0,,4120000000.0,,9550000000.0,2330000000.0,34720000000.0,14470000000.0,,20250000000.0,2280000000.0,2.51,1.36,2.99
2008,34910000000.0,,4510000000.0,,7750000000.0,2360000000.0,33009999999.999996,11770000000.0,,21240000000.0,2280000000.0,3.2,0.9939,2.95
2007,29230000000.0,,4010000000.0,,8109999999.999999,2670000000.0,31000000000.0,11540000000.0,,19450000000.0,2270000000.0,0.83,2.02,5.1
2006,23480000000.0,,2390000000.0,,4720000000.0,3280000000.0,25140000000.0,6480000000.0,,18650000000.0,2170000000.0,0.67,1.67,6.04
2005,22380000000.0,,1490000000.0,,3580000000.0,4099999999.9999995,22270000000.0,3820000000.0,,18450000000.0,2020000000.0,0.0,0.8988,5.26
2004,21390000000.0,,890000000.0,,4200000000.0,5340000000.0,24670000000.0,3110000000.0,,21550000000.0,2020000000.0,0.0,0.4802,3.3
2003,18380000000.0,,140000000.0,,5250000000.0,7930000000.0,30400000000.0,3200000000.0,,27190000000.0,1190000000.0,0.0,0.5711,3.28
2002,16469999999.999998,,260000000.0,,4610000000.0,7950000000.0,29530000000.0,1270000000.0,,28260000000.0,1110000000.0,0.0,0.2773,3.59
2001,23550000000.0,,,,5360000000.0,9700000000.0,32299999999.999996,2190000000.0,,30110000000.0,1110000000.0,25.29,,
2000,,,,,5600000000.0,7360000000.0,,,,,,9.43,,
1999,,,,,6380000000.0,6950000000.0,,,,,,0.0,,
