Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,35550000000.0,6530000000.0,,,,
2025,,,,6620000000.0,44880000000.0,
2024,32250000000.0,5160000000.0,25.0,5660000000.0,40280000000.0,
2023,32229999999.999996,4770000000.0,21.0,5810000000.0,40940000000.0,
2022,29440000000.0,3390000000.0,21.7,4880000000.0,39140000000.0,
2021,28940000000.0,5780000000.0,14.5,5320000000.0,40260000000.0,
2020,26130000000.0,840000000.0,9.77,5380000000.0,41080000000.0,
2019,27970000000.0,1860000000.0,29.1,4070000000.0000005,46100000000.0,
2018,21150000000.0,1340000000.0,14.4,4150000000.0000005,44440000000.0,
2017,34310000000.000004,3230000000.0,19.2,5600000000.0,43450000000.0,
2016,33820000000.0,2790000000.0,16.5,5590000000.0,39200000000.0,
2015,35480000000.0,2840000000.0,,6190000000.0,41350000000.0,
2014,39830000000.0,3890000000.0,12.6,6760000000.0,44850000000.0,
2013,41840000000.0,4059999999.9999995,14.2,6480000000.0,48060000000.0,
2012,39330000000.0,3830000000.0,10.9,8480000000.0,49070000000.0,
2011,37990000000.0,4550000000.0,,5760000000.0,39640000000.0,
2010,31580000000.0,3740000000.0,,8610000000.0,36290000000.0,
2009,31790000000.0,4120000000.0,,9550000000.0,34720000000.0,
2008,34910000000.0,4510000000.0,,7750000000.0,33009999999.999996,
2007,29230000000.0,4010000000.0,,8109999999.999999,31000000000.0,
2006,23480000000.0,2390000000.0,,4720000000.0,25140000000.0,
2005,22380000000.0,1490000000.0,,3580000000.0,22270000000.0,
2004,21390000000.0,890000000.0,,4200000000.0,24670000000.0,
2003,18380000000.0,140000000.0,,5250000000.0,30400000000.0,
2002,16469999999.999998,260000000.0,,4610000000.0,29530000000.0,
2001,23550000000.0,,,5360000000.0,32299999999.999996,
2000,,,,5600000000.0,,
1999,,,,6380000000.0,,
