year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2023,32235000000.0,Revenues,0001104659-24-026633,USD,False,3824000000.0,NetIncomeLoss,0001104659-24-026633,USD,False,4290000000.0,NetCashProvidedByUsedInOperatingActivities,0001104659-24-026633,USD,False,770000000.0,PaymentsToAcquireProductiveAssets,0001104659-24-026633,USD,False,4871000000.0,OperatingIncomeLoss,0001104659-24-026633,USD,False,,,,,False,930000000.0,IncomeTaxExpenseBenefit,0001104659-24-026633,USD,False,0.195,EffectiveIncomeTaxRateContinuingOperations,0001104659-24-026633,pure,False,4778000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001104659-24-026633,USD,False,3891000000.0,CashAndCashEquivalentsAtCarryingValue,0001104659-24-026633,USD,False,1928000000.0,ShortTermInvestments,0001104659-24-026633,USD,False,7828000000.0,DebtAndCapitalLeaseObligations,0001104659-24-026633,USD,False,2607000000.0,DebtCurrent,0001104659-24-026633,USD,False,161000000.0,FinanceLeaseLiabilityNoncurrent,0001104659-24-026633,USD,False,13410000000.0,StockholdersEquity,0001104659-24-026633,USD,False,5819000000.0,7828000000.0,3520000000.0,0.19464210966931772,15419000000.0,3922898283.8007536,0.2544197602828169,4871000000.0,False,0.10919807662478673,0.9205020920502092,True,True,ABBNY,0001091587,ticker:ABBNY,0
2022,29446000000.0,Revenues,0001104659-23-024840,USD,False,2594000000.0,NetIncomeLoss,0001104659-23-024840,USD,False,1287000000.0,NetCashProvidedByUsedInOperatingActivities,0001104659-23-024840,USD,False,762000000.0,PaymentsToAcquireProductiveAssets,0001104659-23-024840,USD,False,3337000000.0,OperatingIncomeLoss,0001104659-23-024840,USD,False,,,,,False,757000000.0,IncomeTaxExpenseBenefit,0001104659-23-024840,USD,False,0.223,EffectiveIncomeTaxRateContinuingOperations,0001104659-23-024840,pure,False,3394000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001104659-23-024840,USD,False,4156000000.0,CashAndCashEquivalentsAtCarryingValue,0001104659-23-024840,USD,False,725000000.0,ShortTermInvestments,0001104659-23-024840,USD,False,7678000000.0,DebtAndCapitalLeaseObligations,0001104659-23-024840,USD,False,2535000000.0,DebtCurrent,0001104659-23-024840,USD,False,167000000.0,FinanceLeaseLiabilityNoncurrent,0001104659-23-024840,USD,False,12777000000.0,StockholdersEquity,0001104659-23-024840,USD,False,4881000000.0,7678000000.0,525000000.0,0.22304065998821448,15574000000.0,2592713317.6193285,0.16647703336453887,3337000000.0,False,0.017829246756775115,0.20239013107170392,True,True,ABBNY,0001091587,ticker:ABBNY,0
2021,28945000000.0,Revenues,0001104659-22-026793,USD,False,4650000000.0,NetIncomeLoss,0001104659-22-026793,USD,False,3330000000.0,NetCashProvidedByUsedInOperatingActivities,0001104659-22-026793,USD,False,820000000.0,PaymentsToAcquireProductiveAssets,0001104659-22-026793,USD,False,5718000000.0,OperatingIncomeLoss,0001104659-22-026793,USD,False,,,,,False,1057000000.0,IncomeTaxExpenseBenefit,0001104659-22-026793,USD,False,0.183,EffectiveIncomeTaxRateContinuingOperations,0001104659-22-026793,pure,False,5787000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001104659-22-026793,USD,False,4159000000.0,CashAndCashEquivalentsAtCarryingValue,0001104659-22-026793,USD,False,1170000000.0,ShortTermInvestments,0001104659-22-026793,USD,False,5561000000.0,DebtAndCapitalLeaseObligations,0001104659-22-026793,USD,False,1384000000.0,DebtCurrent,0001104659-22-026793,USD,False,134000000.0,FinanceLeaseLiabilityNoncurrent,0001104659-22-026793,USD,False,15579000000.0,StockholdersEquity,0001104659-22-026793,USD,False,5329000000.0,5561000000.0,2510000000.0,0.18265076896492138,15811000000.0,4673602903.058579,0.29559186029084683,5718000000.0,False,0.08671618586975298,0.5397849462365591,True,True,ABBNY,0001091587,ticker:ABBNY,0
2020,26134000000.0,Revenues,0001104659-21-028374,USD,False,5205000000.0,NetIncomeLoss,0001104659-21-028374,USD,False,1693000000.0,NetCashProvidedByUsedInOperatingActivities,0001104659-21-028374,USD,False,694000000.0,PaymentsToAcquireProductiveAssets,0001104659-21-028374,USD,False,1593000000.0,OperatingIncomeLoss,0001104659-21-028374,USD,False,,,,,False,496000000.0,IncomeTaxExpenseBenefit,0001104659-21-028374,USD,False,0.59,EffectiveIncomeTaxRateContinuingOperations,0001104659-21-028374,pure,False,841000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001104659-21-028374,USD,False,3278000000.0,CashAndCashEquivalentsAtCarryingValue,0001104659-21-028374,USD,False,2108000000.0,ShortTermInvestments,0001104659-21-028374,USD,False,6121000000.0,DebtAndCapitalLeaseObligations,0001104659-21-028374,USD,False,1293000000.0,DebtCurrent,0001104659-21-028374,USD,False,160000000.0,FinanceLeaseLiabilityNoncurrent,0001104659-21-028374,USD,False,15685000000.0,StockholdersEquity,0001104659-21-028374,USD,False,5386000000.0,6121000000.0,999000000.0,0.5897740784780023,16420000000.0,653489892.9845423,0.039798410047779675,1593000000.0,False,0.038226065661590265,0.19193083573487033,True,True,ABBNY,0001091587,ticker:ABBNY,0
2019,27978000000.0,Revenues,0001104659-20-024879,USD,False,1528000000.0,NetIncomeLoss,0001104659-20-024879,USD,False,2325000000.0,NetCashProvidedByUsedInOperatingActivities,0001104659-20-024879,USD,False,762000000.0,PaymentsToAcquireProductiveAssets,0001104659-20-024879,USD,False,1938000000.0,OperatingIncomeLoss,0001104659-20-024879,USD,False,,,,,False,772000000.0,IncomeTaxExpenseBenefit,0001104659-20-024879,USD,False,0.415,EffectiveIncomeTaxRateContinuingOperations,0001104659-20-024879,pure,False,1862000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001104659-20-024879,USD,False,3544000000.0,CashAndCashEquivalentsAtCarryingValue,0001104659-20-024879,USD,False,566000000.0,ShortTermInvestments,0001104659-20-024879,USD,False,9059000000.0,DebtAndCapitalLeaseObligations,0001104659-20-024879,USD,False,2287000000.0,DebtCurrent,0001104659-20-024879,USD,False,154000000.0,FinanceLeaseLiabilityNoncurrent,0001104659-20-024879,USD,False,13526000000.0,StockholdersEquity,0001104659-20-024879,USD,False,4110000000.0,9059000000.0,1563000000.0,0.4146079484425349,18475000000.0,1134489795.9183674,0.06140675485349756,1938000000.0,False,0.05586532275359211,1.0229057591623036,True,True,ABBNY,0001091587,ticker:ABBNY,0
2018,27662000000.0,Revenues,0001410578-19-000158,USD,False,2298000000.0,NetIncomeLoss,0001410578-19-000158,USD,False,2924000000.0,NetCashProvidedByUsedInOperatingActivities,0001410578-19-000158,USD,False,772000000.0,PaymentsToAcquireProductiveAssets,0001410578-19-000158,USD,False,2226000000.0,OperatingIncomeLoss,0001410578-19-000158,USD,False,,,,,False,544000000.0,IncomeTaxExpenseBenefit,0001410578-19-000158,USD,False,0.257,EffectiveIncomeTaxRateContinuingOperations,0001410578-19-000158,pure,False,2119000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001410578-19-000158,USD,False,3445000000.0,CashAndCashEquivalentsAtCarryingValue,0001410578-19-000158,USD,False,712000000.0,ShortTermInvestments,0001410578-19-000158,USD,False,8618000000.0,DebtAndCapitalLeaseObligations,0001410578-19-000158,USD,False,2031000000.0,DebtCurrent,0001410578-19-000158,USD,False,6587000000.0,FinanceLeaseLiabilityNoncurrent,0001410578-19-000158,USD,False,13952000000.0,StockholdersEquity,0001410578-19-000158,USD,False,4157000000.0,8618000000.0,2152000000.0,0.25672487022180274,18413000000.0,1654530438.886267,0.08985664687374502,2226000000.0,False,0.07779625478996458,0.9364664926022629,True,True,ABBNY,0001091587,ticker:ABBNY,0
2017,34312000000.0,Revenues,0001104659-18-011480,USD,False,2365000000.0,NetIncomeLoss,0001104659-18-011480,USD,False,3799000000.0,NetCashProvidedByUsedInOperatingActivities,0001104659-18-011480,USD,False,949000000.0,PaymentsToAcquireProductiveAssets,0001104659-18-011480,USD,False,3434000000.0,OperatingIncomeLoss,0001104659-18-011480,USD,False,,,,,False,860000000.0,IncomeTaxExpenseBenefit,0001104659-18-011480,USD,False,0.266,EffectiveIncomeTaxRateContinuingOperations,0001104659-18-011480,pure,False,3231000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001104659-18-011480,USD,False,4526000000.0,CashAndCashEquivalentsAtCarryingValue,0001104659-18-011480,USD,False,1102000000.0,ShortTermInvestments,0001104659-18-011480,USD,False,7447000000.0,DebtAndCapitalLeaseObligations,0001104659-18-011480,USD,False,738000000.0,DebtCurrent,0001104659-18-011480,USD,False,6709000000.0,FinanceLeaseLiabilityNoncurrent,0001104659-18-011480,USD,False,14819000000.0,StockholdersEquity,0001104659-18-011480,USD,False,5628000000.0,7447000000.0,2850000000.0,0.2661714639430517,16638000000.0,2519967192.8195605,0.15145854025841812,3434000000.0,False,0.08306131965493121,1.2050739957716703,True,True,ABBNY,0001091587,ticker:ABBNY,0
2016,33828000000.0,Revenues,0001104659-17-015892,USD,False,2034000000.0,NetIncomeLoss,0001104659-17-015892,USD,False,3843000000.0,NetCashProvidedByUsedInOperatingActivities,0001104659-17-015892,USD,False,831000000.0,PaymentsToAcquireProductiveAssets,0001104659-17-015892,USD,False,2987000000.0,OperatingIncomeLoss,0001104659-17-015892,USD,False,,,,,False,781000000.0,IncomeTaxExpenseBenefit,0001104659-17-015892,USD,False,0.279,EffectiveIncomeTaxRateContinuingOperations,0001104659-17-015892,pure,False,2799000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001104659-17-015892,USD,False,3644000000.0,CashAndCashEquivalentsAtCarryingValue,0001104659-17-015892,USD,False,1953000000.0,ShortTermInvestments,0001104659-17-015892,USD,False,6803000000.0,DebtAndCapitalLeaseObligations,0001104659-17-015892,USD,False,1003000000.0,DebtCurrent,0001104659-17-015892,USD,False,5800000000.0,FinanceLeaseLiabilityNoncurrent,0001104659-17-015892,USD,False,13395000000.0,StockholdersEquity,0001104659-17-015892,USD,False,5597000000.0,6803000000.0,3012000000.0,0.27902822436584496,14601000000.0,2153542693.819221,0.147492821986112,2987000000.0,False,0.08903866619368571,1.480825958702065,True,True,ABBNY,0001091587,ticker:ABBNY,0
2015,35481000000.0,Revenues,0001047469-16-010413,USD,False,2055000000.0,NetIncomeLoss,0001047469-16-010413,USD,False,3818000000.0,NetCashProvidedByUsedInOperatingActivities,0001047469-16-010413,USD,False,876000000.0,PaymentsToAcquireProductiveAssets,0001047469-16-010413,USD,False,3049000000.0,OperatingIncomeLoss,0001047469-16-010413,USD,False,,,,,False,788000000.0,IncomeTaxExpenseBenefit,0001047469-16-010413,USD,False,0.277,EffectiveIncomeTaxRateContinuingOperations,0001047469-16-010413,pure,False,2840000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001047469-16-010413,USD,False,4565000000.0,CashAndCashEquivalentsAtCarryingValue,0001047469-16-010413,USD,False,1633000000.0,ShortTermInvestments,0001047469-16-010413,USD,False,7439000000.0,DebtAndCapitalLeaseObligations,0001047469-16-010413,USD,False,1454000000.0,DebtCurrent,0001047469-16-010413,USD,False,5985000000.0,FinanceLeaseLiabilityNoncurrent,0001047469-16-010413,USD,False,14481000000.0,StockholdersEquity,0001047469-16-010413,USD,False,6198000000.0,7439000000.0,2942000000.0,0.2774647887323944,15722000000.0,2203009859.154929,0.1401227489603695,3049000000.0,False,0.0829176178799921,1.4316301703163017,True,True,ABBNY,0001091587,ticker:ABBNY,0
2014,39830000000.0,Revenues,0001047469-15-001710,USD,False,2718000000.0,NetIncomeLoss,0001047469-15-001710,USD,False,3845000000.0,NetCashProvidedByUsedInOperatingActivities,0001047469-15-001710,USD,False,1026000000.0,PaymentsToAcquireProductiveAssets,0001047469-15-001710,USD,False,4178000000.0,OperatingIncomeLoss,0001047469-15-001710,USD,False,,,,,False,1202000000.0,IncomeTaxExpenseBenefit,0001047469-15-001710,USD,False,0.309,EffectiveIncomeTaxRateContinuingOperations,0001047469-15-001710,pure,False,3896000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001047469-15-001710,USD,False,5443000000.0,CashAndCashEquivalentsAtCarryingValue,0001047469-15-001710,USD,False,1325000000.0,ShortTermInvestments,0001047469-15-001710,USD,False,7691000000.0,DebtAndCapitalLeaseObligations,0001047469-15-001710,USD,False,353000000.0,DebtCurrent,0001047469-15-001710,USD,False,7338000000.0,FinanceLeaseLiabilityNoncurrent,0001047469-15-001710,USD,False,16269000000.0,StockholdersEquity,0001047469-15-001710,USD,False,6768000000.0,7691000000.0,2819000000.0,0.3085215605749487,17192000000.0,2888996919.9178643,0.16804309678442672,4178000000.0,False,0.0707757971378358,1.037159676232524,True,True,ABBNY,0001091587,ticker:ABBNY,0
