year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,62810000000.0,2.06,5970000000.0,,,,,,,,1760000000.0,2.66,5.9,
2025,61160000000.0,2.39,6590000000.0,10.79,5250000000.0,67489999999.99999,133960000000.00002,,95.5,137180000000.0,1760000000.0,2.87,6.63,-126.0
2024,56330000000.0,2.42,3710000000.0,6.6,5550000000.0,67140000000.0,135160000000.0,3360000000.0,71.4,131789999999.99998,1760000000.0,3.59,5.58,93.5
2023,54310000000.0,2.75,6250000000.0,11.51,12810000000.0,59380000000.0,134710000000.00002,10390000000.0,52.9,124310000000.0,1760000000.0,4.07,5.04,26.3
2022,58050000000.0,6.69,13470000000.0,23.21,9220000000.0,63270000000.0,138800000000.0,17280000000.0,21.8,121510000000.0,1760000000.0,3.87,4.92,16.5
2021,56190000000.0,6.53,12980000000.0,23.11,9830000000.0,76680000000.0,146520000000.0,15430000000.0,18.0,131090000000.0,1760000000.0,4.42,4.26,15.5
2020,45800000000.0,2.95,3390000000.0,7.42,8470000000.000001,86050000000.0,150560000000.0,13090000000.0,30.1,137460000000.0,1760000000.0,5.31,4.13,14.4
2019,33259999999.999996,5.33,8420000000.0,25.33,39920000000.0,66720000000.0,89110000000.0,,13.0,97280000000.0,1470000000.0,6.16,3.94,-16.0
2018,32750000000.0,3.66,5190000000.0,15.87,8060000000.000001,40310000000.0,59350000000.0,,18.7,67790000000.00001,1470000000.0,5.24,4.16,-16.1
2017,28210000000.0,3.33,7720000000.0,27.39,9780000000.0,37360000000.0,70780000000.0,5090000000.0,20.8,65680000000.00001,1590000000.0,3.7,5.47,30.3
2016,25630000000.0,3.68,7880000000.0,30.75,6420000000.0,36840000000.0,66090000000.0,4630000000.0,11.7,61460000000.0,1590000000.0,5.27,3.97,22.0
2015,22850000000.0,3.17,6640000000.0,29.07,8400000000.0,31670000000.0,53050000000.0,3940000000.0,12.4,49100000000.0,1600000000.0,5.13,4.17,24.2
2014,19960000000.0,1.11,2360000000.0,11.87,8369999999.999999,14970000000.0,27510000000.0,1740000000.0,37.8,25770000000.0,1590000000.0,3.94,5.22,59.8
2013,18790000000.0,2.6,5330000000.0,28.38,9890000000.0,14720000000.0,29190000000.0,4490000000.0,12.7,24700000000.0,1580000000.0,4.86,4.46,18.7
2012,18370000000.0,,5720000000.0,31.15,7970000000.0,15670000000.0,27000000000.0,3360000000.0,,23640000000.0,1580000000.0,,2.94,16.0
2011,17440000000.0,,3660000000.0,21.03,650000000.0,48000000.0,19520000000.0,11930000000.0,,7580000000.0,1610000000.0,,,
2010,,,,30.92,10770000.0,,21130000000.0,15700000000.0,,5430000000.0,,,,
2009,,,,41.86,,,,,,,,,,
