Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,62810000000.0,5970000000.0,,,,
2025,61160000000.0,6590000000.0,95.5,5250000000.0,133960000000.00002,
2024,56330000000.0,3710000000.0,71.4,5550000000.0,135160000000.0,
2023,54310000000.0,6250000000.0,52.9,12810000000.0,134710000000.00002,
2022,58050000000.0,13470000000.0,21.8,9220000000.0,138800000000.0,
2021,56190000000.0,12980000000.0,18.0,9830000000.0,146520000000.0,
2020,45800000000.0,3390000000.0,30.1,8470000000.000001,150560000000.0,
2019,33259999999.999996,8420000000.0,13.0,39920000000.0,89110000000.0,
2018,32750000000.0,5190000000.0,18.7,8060000000.000001,59350000000.0,
2017,28210000000.0,7720000000.0,20.8,9780000000.0,70780000000.0,
2016,25630000000.0,7880000000.0,11.7,6420000000.0,66090000000.0,
2015,22850000000.0,6640000000.0,12.4,8400000000.0,53050000000.0,
2014,19960000000.0,2360000000.0,37.8,8369999999.999999,27510000000.0,
2013,18790000000.0,5330000000.0,12.7,9890000000.0,29190000000.0,
2012,18370000000.0,5720000000.0,,7970000000.0,27000000000.0,
2011,17440000000.0,3660000000.0,,650000000.0,19520000000.0,
2010,,,,10770000.0,21130000000.0,
