year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,61160000000.0,Revenues,0001551152-26-000008,USD,True,4226000000.0,NetIncomeLoss,0001551152-26-000008,USD,True,19030000000.0,NetCashProvidedByUsedInOperatingActivities,0001551152-26-000008,USD,True,1214000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001551152-26-000008,USD,True,15075000000.0,OperatingIncomeLoss,0001551152-26-000008,USD,True,2893000000.0,InterestExpense,0001551152-26-000008,USD,True,2364000000.0,IncomeTaxExpenseBenefit,0001551152-26-000008,USD,True,0.358,EffectiveIncomeTaxRateContinuingOperations,0001551152-26-000008,pure,True,6597000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001551152-26-000008,USD,True,5229000000.0,CashAndCashEquivalentsAtCarryingValue,0001551152-26-000008,USD,True,28000000.0,ShortTermInvestments,0001551152-26-000008,USD,True,64997000000.0,DebtAndCapitalLeaseObligations,0001551152-26-000008,USD,True,6056000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001551152-26-000008,USD,True,22000000.0,FinanceLeaseLiabilityNoncurrent,0001551152-26-000008,USD,True,-3270000000.0,StockholdersEquity,0001551152-26-000008,USD,True,5257000000.0,64997000000.0,17816000000.0,0.35834470213733516,56470000000.0,9672953615.279673,0.1712936712463197,15075000000.0,False,0.29130150425114454,4.215806909607194,True,True,ABBV,0001551152,ticker:ABBV,14
2024,56334000000.0,Revenues,0001551152-25-000020,USD,True,4278000000.0,NetIncomeLoss,0001551152-25-000020,USD,True,18806000000.0,NetCashProvidedByUsedInOperatingActivities,0001551152-25-000020,USD,True,974000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001551152-25-000020,USD,True,9137000000.0,OperatingIncomeLoss,0001551152-25-000020,USD,True,2808000000.0,InterestExpense,0001551152-25-000020,USD,True,-570000000.0,IncomeTaxExpenseBenefit,0001551152-25-000020,USD,True,-0.153,EffectiveIncomeTaxRateContinuingOperations,0001551152-25-000020,pure,True,3716000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001551152-25-000020,USD,True,5524000000.0,CashAndCashEquivalentsAtCarryingValue,0001551152-25-000020,USD,True,31000000.0,ShortTermInvestments,0001551152-25-000020,USD,True,67144000000.0,DebtAndCapitalLeaseObligations,0001551152-25-000020,USD,True,6804000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001551152-25-000020,USD,True,23000000.0,FinanceLeaseLiabilityNoncurrent,0001551152-25-000020,USD,True,3325000000.0,StockholdersEquity,0001551152-25-000020,USD,True,5555000000.0,67144000000.0,17832000000.0,-0.1533907427341227,64914000000.0,10538531216.36168,0.16234604578922388,9137000000.0,False,0.31654063265523485,4.1683029453015426,True,True,ABBV,0001551152,ticker:ABBV,14
2023,54318000000.0,Revenues,0001551152-24-000011,USD,True,4863000000.0,NetIncomeLoss,0001551152-24-000011,USD,True,22839000000.0,NetCashProvidedByUsedInOperatingActivities,0001551152-24-000011,USD,True,777000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001551152-24-000011,USD,True,12757000000.0,OperatingIncomeLoss,0001551152-24-000011,USD,True,2224000000.0,InterestExpense,0001551152-24-000011,USD,True,1377000000.0,IncomeTaxExpenseBenefit,0001551152-24-000011,USD,True,0.22,EffectiveIncomeTaxRateContinuingOperations,0001551152-24-000011,pure,True,6250000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001551152-24-000011,USD,True,12814000000.0,CashAndCashEquivalentsAtCarryingValue,0001551152-24-000011,USD,True,2000000.0,ShortTermInvestments,0001551152-24-000011,USD,True,59385000000.0,DebtAndCapitalLeaseObligations,0001551152-24-000011,USD,True,7191000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001551152-24-000011,USD,True,27000000.0,FinanceLeaseLiabilityNoncurrent,0001551152-24-000011,USD,True,10360000000.0,StockholdersEquity,0001551152-24-000011,USD,True,12816000000.0,59385000000.0,22062000000.0,0.22032,56929000000.0,9946377760.0,0.17471548349698748,12757000000.0,False,0.40616370264000884,4.536705737199259,True,True,ABBV,0001551152,ticker:ABBV,14
2022,58054000000.0,Revenues,0001551152-23-000011,USD,True,11836000000.0,NetIncomeLoss,0001551152-23-000011,USD,True,24943000000.0,NetCashProvidedByUsedInOperatingActivities,0001551152-23-000011,USD,True,695000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001551152-23-000011,USD,True,18117000000.0,OperatingIncomeLoss,0001551152-23-000011,USD,True,2230000000.0,InterestExpense,0001551152-23-000011,USD,True,1632000000.0,IncomeTaxExpenseBenefit,0001551152-23-000011,USD,True,0.121,EffectiveIncomeTaxRateContinuingOperations,0001551152-23-000011,pure,True,13477000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001551152-23-000011,USD,True,9201000000.0,CashAndCashEquivalentsAtCarryingValue,0001551152-23-000011,USD,True,28000000.0,ShortTermInvestments,0001551152-23-000011,USD,True,63270000000.0,DebtAndCapitalLeaseObligations,0001551152-23-000011,USD,True,4135000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001551152-23-000011,USD,True,17000000.0,FinanceLeaseLiabilityNoncurrent,0001551152-23-000011,USD,True,17254000000.0,StockholdersEquity,0001551152-23-000011,USD,True,9229000000.0,63270000000.0,24248000000.0,0.12109519922831491,71295000000.0,15923118275.580618,0.22334130409678965,18117000000.0,False,0.41768009094980535,2.0486650895572827,True,True,ABBV,0001551152,ticker:ABBV,14
2021,56197000000.0,Revenues,0001551152-22-000007,USD,True,11542000000.0,NetIncomeLoss,0001551152-22-000007,USD,True,22777000000.0,NetCashProvidedByUsedInOperatingActivities,0001551152-22-000007,USD,True,787000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001551152-22-000007,USD,True,17924000000.0,OperatingIncomeLoss,0001551152-22-000007,USD,True,2423000000.0,InterestExpense,0001551152-22-000007,USD,True,1440000000.0,IncomeTaxExpenseBenefit,0001551152-22-000007,USD,True,0.111,EffectiveIncomeTaxRateContinuingOperations,0001551152-22-000007,pure,True,12989000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001551152-22-000007,USD,True,9746000000.0,CashAndCashEquivalentsAtCarryingValue,0001551152-22-000007,USD,True,84000000.0,ShortTermInvestments,0001551152-22-000007,USD,True,76670000000.0,DebtAndCapitalLeaseObligations,0001551152-22-000007,USD,True,12481000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001551152-22-000007,USD,True,25000000.0,FinanceLeaseLiabilityNoncurrent,0001551152-22-000007,USD,True,15408000000.0,StockholdersEquity,0001551152-22-000007,USD,True,9830000000.0,76670000000.0,21990000000.0,0.11086303795519285,82248000000.0,15936890907.691124,0.19376630322550242,17924000000.0,False,0.39130202679858356,1.9052157338416218,True,True,ABBV,0001551152,ticker:ABBV,14
2020,45804000000.0,Revenues,0001551152-21-000008,USD,True,4616000000.0,NetIncomeLoss,0001551152-21-000008,USD,True,17588000000.0,NetCashProvidedByUsedInOperatingActivities,0001551152-21-000008,USD,True,798000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001551152-21-000008,USD,True,11363000000.0,OperatingIncomeLoss,0001551152-21-000008,USD,True,2454000000.0,InterestExpense,0001551152-21-000008,USD,True,-1224000000.0,IncomeTaxExpenseBenefit,0001551152-21-000008,USD,True,-0.36,EffectiveIncomeTaxRateContinuingOperations,0001551152-21-000008,pure,True,3398000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001551152-21-000008,USD,True,8449000000.0,CashAndCashEquivalentsAtCarryingValue,0001551152-21-000008,USD,True,30000000.0,ShortTermInvestments,0001551152-21-000008,USD,True,86022000000.0,DebtAndCapitalLeaseObligations,0001551152-21-000008,USD,True,8468000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001551152-21-000008,USD,True,,,,,False,13076000000.0,StockholdersEquity,0001551152-21-000008,USD,True,8479000000.0,86022000000.0,16790000000.0,-0.36021188934667453,90619000000.0,15456087698.646265,0.17056122555585765,11363000000.0,False,0.3665618723255611,3.6373483535528597,True,True,ABBV,0001551152,ticker:ABBV,14
2019,33266000000.0,Revenues,0001551152-20-000007,USD,True,7882000000.0,NetIncomeLoss,0001551152-20-000007,USD,True,13324000000.0,NetCashProvidedByUsedInOperatingActivities,0001551152-20-000007,USD,True,552000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001551152-20-000007,USD,True,12983000000.0,OperatingIncomeLoss,0001551152-20-000007,USD,True,1784000000.0,InterestExpense,0001551152-20-000007,USD,True,544000000.0,IncomeTaxExpenseBenefit,0001551152-20-000007,USD,True,0.065,EffectiveIncomeTaxRateContinuingOperations,0001551152-20-000007,pure,True,8426000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001551152-20-000007,USD,True,39924000000.0,CashAndCashEquivalentsAtCarryingValue,0001551152-20-000007,USD,True,0.0,ShortTermInvestments,0001551152-20-000007,USD,True,66728000000.0,DebtAndCapitalLeaseObligations,0001551152-20-000007,USD,True,3753000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001551152-20-000007,USD,True,,,,,False,-8172000000.0,StockholdersEquity,0001551152-20-000007,USD,True,39924000000.0,66728000000.0,12772000000.0,0.0645620697840019,18632000000.0,12144790647.994303,0.6518243155857827,12983000000.0,False,0.38393554981061745,1.6204009134737376,True,True,ABBV,0001551152,ticker:ABBV,14
2018,32753000000.0,Revenues,0001551152-19-000008,USD,True,5687000000.0,NetIncomeLoss,0001551152-19-000008,USD,True,,,,,False,638000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001551152-19-000008,USD,True,6383000000.0,OperatingIncomeLoss,0001551152-19-000008,USD,True,1348000000.0,InterestExpense,0001551152-19-000008,USD,True,-490000000.0,IncomeTaxExpenseBenefit,0001551152-19-000008,USD,True,-0.094,EffectiveIncomeTaxRateContinuingOperations,0001551152-19-000008,pure,True,5197000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001551152-19-000008,USD,True,7289000000.0,CashAndCashEquivalentsAtCarryingValue,0001551152-19-000008,USD,True,772000000.0,ShortTermInvestments,0001551152-19-000008,USD,True,36611000000.0,DebtAndCapitalLeaseObligations,0001551152-19-000008,USD,True,1609000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001551152-19-000008,USD,True,,,,,False,-8446000000.0,StockholdersEquity,0001551152-19-000008,USD,True,8061000000.0,36611000000.0,,-0.09428516451799115,20104000000.0,6984822205.118338,0.34743445111014415,6383000000.0,False,,,True,False,ABBV,0001551152,ticker:ABBV,14
2017,28216000000.0,Revenues,0001551152-18-000014,USD,True,5309000000.0,NetIncomeLoss,0001551152-18-000014,USD,True,,,,,False,529000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001551152-18-000014,USD,True,9592000000.0,OperatingIncomeLoss,0001551152-18-000014,USD,True,1150000000.0,InterestExpense,0001551152-18-000014,USD,True,2418000000.0,IncomeTaxExpenseBenefit,0001551152-18-000014,USD,True,0.313,EffectiveIncomeTaxRateContinuingOperations,0001551152-18-000014,pure,True,7727000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001551152-18-000014,USD,True,9303000000.0,CashAndCashEquivalentsAtCarryingValue,0001551152-18-000014,USD,True,486000000.0,ShortTermInvestments,0001551152-18-000014,USD,True,36968000000.0,DebtAndCapitalLeaseObligations,0001551152-18-000014,USD,True,6015000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001551152-18-000014,USD,True,,,,,False,5097000000.0,StockholdersEquity,0001551152-18-000014,USD,True,9789000000.0,36968000000.0,,0.31292869160088005,32276000000.0,6590387990.164359,0.20418849888971244,9592000000.0,False,,,True,False,ABBV,0001551152,ticker:ABBV,14
2016,25638000000.0,Revenues,0001551152-17-000004,USD,True,5953000000.0,NetIncomeLoss,0001551152-17-000004,USD,True,,,,,False,479000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001551152-17-000004,USD,True,9384000000.0,OperatingIncomeLoss,0001551152-17-000004,USD,True,1047000000.0,InterestExpense,0001551152-17-000004,USD,True,1931000000.0,IncomeTaxExpenseBenefit,0001551152-17-000004,USD,True,0.245,EffectiveIncomeTaxRateContinuingOperations,0001551152-17-000004,pure,True,7884000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001551152-17-000004,USD,True,5100000000.0,CashAndCashEquivalentsAtCarryingValue,0001551152-17-000004,USD,True,1323000000.0,ShortTermInvestments,0001551152-17-000004,USD,True,36465000000.0,DebtAndCapitalLeaseObligations,0001551152-17-000004,USD,True,25000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001551152-17-000004,USD,True,,,,,False,4636000000.0,StockholdersEquity,0001551152-17-000004,USD,True,6423000000.0,36465000000.0,,0.24492643328259767,34678000000.0,7085610350.076103,0.2043258074305353,9384000000.0,False,,,True,False,ABBV,0001551152,ticker:ABBV,14
