year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,45130000000.0,3.61,8130000000.000001,,,,,,,,1740000000.0,2.37,4.0,
2025,44320000000.0,3.75,8460000000.000001,20.21,8930000000.0,13860000000.0,86710000000.0,52770000000.0,33.4,33939999999.999996,1730000000.0,1.88,4.88,4.1
2024,41950000000.0,7.73,7010000000.0,18.05,7960000000.0,15020000000.0,81410000000.0,47900000000.0,14.4,33509999999.999996,1730000000.0,1.97,4.75,4.16
2023,40100000000.0,3.3,6660000000.0,18.2,7270000000.0,15620000000.0,73210000000.0,38820000000.0,32.3,34380000000.0,1730000000.0,1.92,4.76,4.92
2022,43650000000.0,4.29,8300000000.000001,20.31,10170000000.0,17710000000.0,74430000000.0,36900000000.0,24.2,37530000000.0,1730000000.0,1.81,4.39,5.19
2021,43070000000.0,3.99,8210000000.000001,20.3,10240000000.0,19000000000.0,75190000000.0,36020000000.0,32.8,39170000000.0,1760000000.0,1.37,5.78,6.91
2020,34600000000.0,2.54,4960000000.0,15.93,7140000000.0,19640000000.0,72540000000.0,33000000000.0,39.6,39540000000.0,1770000000.0,1.43,5.61,5.88
2019,31900000000.0,2.09,4070000000.0000005,14.88,4139999999.9999995,18890000000.0,67879999999.99999,31300000000.0,37.6,36580000000.0,1760000000.0,1.63,4.8,4.89
2018,30570000000.0,1.35,2870000000.0,12.1,4080000000.0,19560000000.0,67170000000.0,30720000000.0,47.6,36450000000.0,1750000000.0,1.74,4.15,4.13
2017,27390000000.0,0.28,2230000000.0,11.45,9610000000.0,27920000000.0,76250000000.0,31090000000.0,181.0,45150000000.0,1740000000.0,2.13,3.63,3.19
2016,20850000000.0,0.95,1410000000.0,8.84,18770000000.0,22000000000.0,52660000000.0,20710000000.0,34.4,31940000000.0,1470000000.0,3.17,2.71,2.73
2015,20400000000.0,2.98,3180000000.0,16.4,6120000000.0,9000000000.0,41240000000.0,21320000000.0,12.6,19920000000.0,1470000000.0,2.57,3.24,3.1
2014,20180000000.0,1.52,2510000000.0,13.18,4460000000.0,7830000000.0,41200000000.0,21630000000.0,24.2,19560000000.0,1500000000.0,2.4,3.36,3.14
2013,21300000000.0,1.66,2370000000.0,11.12,8090000000.0,6560000000.0,42950000000.0,25260000000.0,18.4,17680000000.0,1540000000.0,1.83,2.79,2.35
2012,26690000000.0,,2089999999.9999998,0.52,15170000000.0,20470000000.0,67230000000.00001,26810000000.0,,40420000000.0,,3.91,3.87,3.85
2011,38850000000.0,,5190000000.0,7.45,8090000000.0,15410000000.0,60270000000.0,24520000000.0,,35750000000.0,,4.4,2.25,3.57
2010,35160000000.0,,5710000000.0,17.82,5450000000.0,18910000000.0,60570000000.0,22760000000.0,,37800000000.0,,4.91,2.11,3.26
2009,30760000000.0,,7190000000.0,25.07,9930000000.0,16450000000.0,52410000000.0,22890000000.0,,29510000000.0,,4.08,2.72,3.66
2008,29520000000.0,,5850000000.0,21.62,5070000000.0,11440000000.0,42410000000.0,17510000000.0,,24900000000.0,,3.84,2.8,4.73
2007,25910000000.0,,4460000000.0,17.67,2820000000.0,12210000000.0,39710000000.0,17770000000.0,,21930000000.0,,3.39,3.36,4.9
2006,21870000000.0,,2250000000.0,18.05,1370000000.0,12410000000.0,36170000000.0,14050000000.0,,22120000000.0,,3.65,3.42,5.33
2005,22330000000.0,,4610000000.0,19.61,2950000000.0,6630000000.0,29140000000.0,14410000000.0,,14720000000.0,,4.34,2.72,4.21
2004,19680000000.0,,4120000000.0,21.23,2049999999.9999998,6780000000.0,28760000000.0,14320000000.0,,14440000000.0,,13.27,3.7,5.08
2003,18480000000.0,,3540000000.0,17.79,1280000000.0,5980000000.0,26030000000.0,13070000000.0,,12960000000.0,,3.7,3.96,5.6
2002,17680000000.0,,3670000000.0,21.33,960000000.0,6420000000.0,24250000000.0,10660000000.0,,13590000000.0,,4.16,3.55,5.89
2001,16280000000.000002,,1880000000.0,19.8,710000000.0,7280000000.0,23290000000.0,9050000000.0,,14230000000.0,,2.73,5.35,
2000,13740000000.0,,3810000000.0,,1150000000.0,1550000000.0,,,,,,2.88,,
1999,13220000000.0,,3400000000.0,,720000000.0,2230000000.0,,,,,,3.5,,
1998,12470000000.0,,3240000000.0,,410000000.0,3090000000.0,,,,,,2.33,,
1997,11880000000.0,,2940000000.0,,230000000.0,2710000000.0,,,,,,3.99,,
1996,11010000000.0,,2660000000.0,,110000000.0,2310000000.0,,,,,,3.71,,
1995,,,,,,,,,,,,4.08,,
1994,,,,,,,,,,,,4.8,,
1993,,,,,,,,,,,,4.83,,
1992,,,,,,,,,,,,4.21,,
1991,,,,,,,,,,,,3.16,,
1990,,,,,,,,,,,,4.14,,
1989,,,,,,,,,,,,4.69,,
1988,,,,,,,,,,,,5.78,,
1987,,,,,,,,,,,,3.65,,
1986,,,,,,,,,,,,4.43,,
1985,,,,,,,,,,,,5.05,,
1984,,,,,,,,,,,,7.24,,
1983,,,,,,,,,,,,5.73,,
1982,,,,,,,,,,,,0.0,,
1981,,,,,,,,,,,,0.0,,
1980,,,,,,,,,,,,0.0,,
