Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,45130000000.0,8130000000.000001,,,,
2025,44320000000.0,8460000000.000001,33.4,8930000000.0,86710000000.0,
2024,41950000000.0,7010000000.0,14.4,7960000000.0,81410000000.0,
2023,40100000000.0,6660000000.0,32.3,7270000000.0,73210000000.0,
2022,43650000000.0,8300000000.000001,24.2,10170000000.0,74430000000.0,
2021,43070000000.0,8210000000.000001,32.8,10240000000.0,75190000000.0,
2020,34600000000.0,4960000000.0,39.6,7140000000.0,72540000000.0,
2019,31900000000.0,4070000000.0000005,37.6,4139999999.9999995,67879999999.99999,
2018,30570000000.0,2870000000.0,47.6,4080000000.0,67170000000.0,
2017,27390000000.0,2230000000.0,181.0,9610000000.0,76250000000.0,
2016,20850000000.0,1410000000.0,34.4,18770000000.0,52660000000.0,
2015,20400000000.0,3180000000.0,12.6,6120000000.0,41240000000.0,
2014,20180000000.0,2510000000.0,24.2,4460000000.0,41200000000.0,
2013,21300000000.0,2370000000.0,18.4,8090000000.0,42950000000.0,
2012,26690000000.0,2089999999.9999998,,15170000000.0,67230000000.00001,
2011,38850000000.0,5190000000.0,,8090000000.0,60270000000.0,
2010,35160000000.0,5710000000.0,,5450000000.0,60570000000.0,
2009,30760000000.0,7190000000.0,,9930000000.0,52410000000.0,
2008,29520000000.0,5850000000.0,,5070000000.0,42410000000.0,
2007,25910000000.0,4460000000.0,,2820000000.0,39710000000.0,
2006,21870000000.0,2250000000.0,,1370000000.0,36170000000.0,
2005,22330000000.0,4610000000.0,,2950000000.0,29140000000.0,
2004,19680000000.0,4120000000.0,,2049999999.9999998,28760000000.0,
2003,18480000000.0,3540000000.0,,1280000000.0,26030000000.0,
2002,17680000000.0,3670000000.0,,960000000.0,24250000000.0,
2001,16280000000.000002,1880000000.0,,710000000.0,23290000000.0,
2000,13740000000.0,3810000000.0,,1150000000.0,,
1999,13220000000.0,3400000000.0,,720000000.0,,
1998,12470000000.0,3240000000.0,,410000000.0,,
1997,11880000000.0,2940000000.0,,230000000.0,,
1996,11010000000.0,2660000000.0,,110000000.0,,
