year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,44328000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001628280-26-010185,USD,True,6524000000.0,NetIncomeLoss,0001628280-26-010185,USD,True,9566000000.0,NetCashProvidedByUsedInOperatingActivities,0001628280-26-010185,USD,True,2171000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001628280-26-010185,USD,True,8053000000.0,OperatingIncomeLoss,0001628280-26-010185,USD,True,,,,,False,1942000000.0,IncomeTaxExpenseBenefit,0001628280-26-010185,USD,True,0.229,EffectiveIncomeTaxRateContinuingOperations,0001628280-26-010185,pure,True,8466000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001628280-26-010185,USD,True,8522000000.0,CashAndCashEquivalentsAtCarryingValue,0001628280-26-010185,USD,True,417000000.0,ShortTermInvestments,0001628280-26-010185,USD,True,12929000000.0,LongTermDebt,0001628280-26-010185,USD,True,3033000000.0,LongTermDebtCurrent,0001628280-26-010185,USD,True,9896000000.0,LongTermDebtNoncurrent,0001628280-26-010185,USD,True,52130000000.0,StockholdersEquity,0001628280-26-010185,USD,True,8939000000.0,12929000000.0,7395000000.0,0.22938814079848807,56120000000.0,6205737302.1497755,0.11057978086510648,8053000000.0,False,0.1668245804006497,1.133507050889025,True,True,ABT,0000001800,ticker:ABT,25
2024,41950000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001628280-25-007110,USD,True,13402000000.0,NetIncomeLoss,0001628280-25-007110,USD,True,8558000000.0,NetCashProvidedByUsedInOperatingActivities,0001628280-25-007110,USD,True,2207000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001628280-25-007110,USD,True,6825000000.0,OperatingIncomeLoss,0001628280-25-007110,USD,True,,,,,False,-6389000000.0,IncomeTaxExpenseBenefit,0001628280-25-007110,USD,True,-0.911,EffectiveIncomeTaxRateContinuingOperations,0001628280-25-007110,pure,True,7013000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001628280-25-007110,USD,True,7616000000.0,CashAndCashEquivalentsAtCarryingValue,0001628280-25-007110,USD,True,351000000.0,ShortTermInvestments,0001628280-25-007110,USD,True,14125000000.0,LongTermDebt,0001628280-25-007110,USD,True,1500000000.0,LongTermDebtCurrent,0001628280-25-007110,USD,True,12625000000.0,LongTermDebtNoncurrent,0001628280-25-007110,USD,True,47664000000.0,StockholdersEquity,0001628280-25-007110,USD,True,7967000000.0,14125000000.0,6351000000.0,-0.9110223869955797,53822000000.0,13042727791.244831,0.24233079022044574,6825000000.0,False,0.15139451728247913,0.4738844948515147,True,True,ABT,0000001800,ticker:ABT,25
2023,40109000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001628280-24-005348,USD,True,5723000000.0,NetIncomeLoss,0001628280-24-005348,USD,True,7261000000.0,NetCashProvidedByUsedInOperatingActivities,0001628280-24-005348,USD,True,2202000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001628280-24-005348,USD,True,6478000000.0,OperatingIncomeLoss,0001628280-24-005348,USD,True,637000000.0,InterestExpense,0001628280-24-005348,USD,True,941000000.0,IncomeTaxExpenseBenefit,0001628280-24-005348,USD,True,0.141,EffectiveIncomeTaxRateContinuingOperations,0001628280-24-005348,pure,True,6664000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001628280-24-005348,USD,True,6896000000.0,CashAndCashEquivalentsAtCarryingValue,0001628280-24-005348,USD,True,383000000.0,ShortTermInvestments,0001628280-24-005348,USD,True,14679000000.0,LongTermDebt,0001628280-24-005348,USD,True,1080000000.0,LongTermDebtCurrent,0001628280-24-005348,USD,True,13599000000.0,LongTermDebtNoncurrent,0001628280-24-005348,USD,True,38603000000.0,StockholdersEquity,0001628280-24-005348,USD,True,7279000000.0,14679000000.0,5059000000.0,0.14120648259303722,46003000000.0,5563264405.762304,0.1209326436485078,6478000000.0,False,0.12613129222867686,0.8839769351738599,True,True,ABT,0000001800,ticker:ABT,25
2022,43653000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001628280-23-004026,USD,True,6933000000.0,NetIncomeLoss,0001628280-23-004026,USD,True,9581000000.0,NetCashProvidedByUsedInOperatingActivities,0001628280-23-004026,USD,True,1777000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001628280-23-004026,USD,True,8362000000.0,OperatingIncomeLoss,0001628280-23-004026,USD,True,558000000.0,InterestExpense,0001628280-23-004026,USD,True,1373000000.0,IncomeTaxExpenseBenefit,0001628280-23-004026,USD,True,0.165,EffectiveIncomeTaxRateContinuingOperations,0001628280-23-004026,pure,True,8306000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001628280-23-004026,USD,True,9882000000.0,CashAndCashEquivalentsAtCarryingValue,0001628280-23-004026,USD,True,288000000.0,ShortTermInvestments,0001628280-23-004026,USD,True,16773000000.0,LongTermDebt,0001628280-23-004026,USD,True,2251000000.0,LongTermDebtCurrent,0001628280-23-004026,USD,True,14522000000.0,LongTermDebtNoncurrent,0001628280-23-004026,USD,True,36686000000.0,StockholdersEquity,0001628280-23-004026,USD,True,10170000000.0,16773000000.0,7804000000.0,0.16530219118709366,43289000000.0,6979743077.293522,0.16123595087189638,8362000000.0,False,0.1787735092662589,1.1256310399538438,True,True,ABT,0000001800,ticker:ABT,25
2021,43075000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001104659-22-025141,USD,True,7071000000.0,NetIncomeLoss,0001104659-22-025141,USD,True,10533000000.0,NetCashProvidedByUsedInOperatingActivities,0001104659-22-025141,USD,True,1885000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001104659-22-025141,USD,True,8425000000.0,OperatingIncomeLoss,0001104659-22-025141,USD,True,533000000.0,InterestExpense,0001104659-22-025141,USD,True,1140000000.0,IncomeTaxExpenseBenefit,0001104659-22-025141,USD,True,0.139,EffectiveIncomeTaxRateContinuingOperations,0001104659-22-025141,pure,True,8211000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001104659-22-025141,USD,True,9799000000.0,CashAndCashEquivalentsAtCarryingValue,0001104659-22-025141,USD,True,450000000.0,ShortTermInvestments,0001104659-22-025141,USD,True,18050000000.0,LongTermDebt,0001104659-22-025141,USD,True,754000000.0,LongTermDebtCurrent,0001104659-22-025141,USD,True,17296000000.0,LongTermDebtNoncurrent,0001104659-22-025141,USD,True,35802000000.0,StockholdersEquity,0001104659-22-025141,USD,True,10249000000.0,18050000000.0,8648000000.0,0.13883814395323346,43603000000.0,7255288637.194008,0.16639425354205004,8425000000.0,False,0.2007661056297156,1.2230236175929854,True,True,ABT,0000001800,ticker:ABT,25
2020,34608000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001104659-21-025751,USD,True,4495000000.0,NetIncomeLoss,0001104659-21-025751,USD,True,7901000000.0,NetCashProvidedByUsedInOperatingActivities,0001104659-21-025751,USD,True,2177000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001104659-21-025751,USD,True,5357000000.0,OperatingIncomeLoss,0001104659-21-025751,USD,True,546000000.0,InterestExpense,0001104659-21-025751,USD,True,497000000.0,IncomeTaxExpenseBenefit,0001104659-21-025751,USD,True,0.1,EffectiveIncomeTaxRateContinuingOperations,0001104659-21-025751,pure,True,4968000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001104659-21-025751,USD,True,6838000000.0,CashAndCashEquivalentsAtCarryingValue,0001104659-21-025751,USD,True,310000000.0,ShortTermInvestments,0001104659-21-025751,USD,True,18534000000.0,LongTermDebt,0001104659-21-025751,USD,True,7000000.0,LongTermDebtCurrent,0001104659-21-025751,USD,True,18527000000.0,LongTermDebtNoncurrent,0001104659-21-025751,USD,True,32784000000.0,StockholdersEquity,0001104659-21-025751,USD,True,7148000000.0,18534000000.0,5724000000.0,0.1000402576489533,44170000000.0,4821084339.774557,0.10914838894667324,5357000000.0,False,0.16539528432732317,1.2734149054505006,True,True,ABT,0000001800,ticker:ABT,25
2019,31904000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001104659-20-023904,USD,True,3687000000.0,NetIncomeLoss,0001104659-20-023904,USD,True,6136000000.0,NetCashProvidedByUsedInOperatingActivities,0001104659-20-023904,USD,True,1638000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001104659-20-023904,USD,True,4532000000.0,OperatingIncomeLoss,0001104659-20-023904,USD,True,670000000.0,InterestExpense,0001104659-20-023904,USD,True,390000000.0,IncomeTaxExpenseBenefit,0001104659-20-023904,USD,True,0.096,EffectiveIncomeTaxRateContinuingOperations,0001104659-20-023904,pure,True,4077000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001104659-20-023904,USD,True,3860000000.0,CashAndCashEquivalentsAtCarryingValue,0001104659-20-023904,USD,True,280000000.0,ShortTermInvestments,0001104659-20-023904,USD,True,17938000000.0,LongTermDebt,0001104659-20-023904,USD,True,1277000000.0,LongTermDebtCurrent,0001104659-20-023904,USD,True,16661000000.0,LongTermDebtNoncurrent,0001104659-20-023904,USD,True,31088000000.0,StockholdersEquity,0001104659-20-023904,USD,True,4140000000.0,17938000000.0,4498000000.0,0.09565857247976453,44886000000.0,4098475349.521707,0.09130854496996184,4532000000.0,False,0.1409854563691073,1.2199620287496609,True,True,ABT,0000001800,ticker:ABT,25
2018,30578000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001047469-19-000624,USD,True,2368000000.0,NetIncomeLoss,0001047469-19-000624,USD,True,6300000000.0,NetCashProvidedByUsedInOperatingActivities,0001047469-19-000624,USD,True,1394000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001047469-19-000624,USD,True,3650000000.0,OperatingIncomeLoss,0001047469-19-000624,USD,True,826000000.0,InterestExpense,0001047469-19-000624,USD,True,539000000.0,IncomeTaxExpenseBenefit,0001047469-19-000624,USD,True,0.188,EffectiveIncomeTaxRateContinuingOperations,0001047469-19-000624,pure,True,2873000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001047469-19-000624,USD,True,3844000000.0,CashAndCashEquivalentsAtCarryingValue,0001047469-19-000624,USD,True,242000000.0,ShortTermInvestments,0001047469-19-000624,USD,True,19366000000.0,LongTermDebt,0001047469-19-000624,USD,True,7000000.0,LongTermDebtCurrent,0001047469-19-000624,USD,True,19359000000.0,LongTermDebtNoncurrent,0001047469-19-000624,USD,True,30524000000.0,StockholdersEquity,0001047469-19-000624,USD,True,4086000000.0,19366000000.0,4906000000.0,0.18760877131917855,45804000000.0,2965227984.6849985,0.06473731518393587,3650000000.0,False,0.16044214794950618,2.0717905405405403,True,True,ABT,0000001800,ticker:ABT,25
2017,27390000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001047469-18-000856,USD,True,477000000.0,NetIncomeLoss,0001047469-18-000856,USD,True,5570000000.0,NetCashProvidedByUsedInOperatingActivities,0001047469-18-000856,USD,True,1135000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001047469-18-000856,USD,True,1726000000.0,OperatingIncomeLoss,0001047469-18-000856,USD,True,904000000.0,InterestExpense,0001047469-18-000856,USD,True,1878000000.0,IncomeTaxExpenseBenefit,0001047469-18-000856,USD,True,0.842,EffectiveIncomeTaxRateContinuingOperations,0001047469-18-000856,pure,True,2231000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001047469-18-000856,USD,True,9407000000.0,CashAndCashEquivalentsAtCarryingValue,0001047469-18-000856,USD,True,203000000.0,ShortTermInvestments,0001047469-18-000856,USD,True,27718000000.0,LongTermDebt,0001047469-18-000856,USD,True,508000000.0,LongTermDebtCurrent,0001047469-18-000856,USD,True,27210000000.0,LongTermDebtNoncurrent,0001047469-18-000856,USD,True,30897000000.0,StockholdersEquity,0001047469-18-000856,USD,True,9610000000.0,27718000000.0,4435000000.0,0.8417749887942627,49005000000.0,273096369.34110254,0.005572826636896287,1726000000.0,False,0.1619204089083607,9.29769392033543,True,True,ABT,0000001800,ticker:ABT,25
2016,20853000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001047469-17-000744,USD,True,1400000000.0,NetIncomeLoss,0001047469-17-000744,USD,True,3203000000.0,NetCashProvidedByUsedInOperatingActivities,0001047469-17-000744,USD,True,1121000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001047469-17-000744,USD,True,3185000000.0,OperatingIncomeLoss,0001047469-17-000744,USD,True,431000000.0,InterestExpense,0001047469-17-000744,USD,True,350000000.0,IncomeTaxExpenseBenefit,0001047469-17-000744,USD,True,0.248,EffectiveIncomeTaxRateContinuingOperations,0001047469-17-000744,pure,True,1413000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001047469-17-000744,USD,True,18620000000.0,CashAndCashEquivalentsAtCarryingValue,0001047469-17-000744,USD,True,155000000.0,ShortTermInvestments,0001047469-17-000744,USD,True,20684000000.0,LongTermDebt,0001047469-17-000744,USD,True,3000000.0,LongTermDebtCurrent,0001047469-17-000744,USD,True,20681000000.0,LongTermDebtNoncurrent,0001047469-17-000744,USD,True,20538000000.0,StockholdersEquity,0001047469-17-000744,USD,True,18775000000.0,20684000000.0,2082000000.0,0.24769992922859166,22447000000.0,2396075725.4069357,0.10674369516670093,3185000000.0,False,0.09984174938857718,1.487142857142857,True,True,ABT,0000001800,ticker:ABT,25
