year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,price_to_sales,price_to_book
2026,25190000000.0,17.49,9370000000.0,,,,,,,,400000000.0,4.16,
2025,23760000000.0,16.73,8990000000.0,36.75,6590000000.0,6640000000.0,29490000000.0,11620000000.0,20.9,17870000000.0,410000000.0,5.71,12.2
2024,21500000000.0,12.46,7100000000.0,32.23,7880000000.0,6050000000.0,30230000000.0,14100000000.0,35.7,16120000000.000002,440000000.0,10.6,13.9
2023,19400000000.0,11.88,6910000000.0,35.03,7840000000.0,4080000000.0,29770000000.0,16510000000.000002,50.2,13260000000.0,450000000.0,14.4,16.4
2022,17600000000.0,10.13,6120000000.0,34.12,6090000000.0,4630000000.0,27160000000.0,14050000000.0,33.2,13110000000.0,460000000.0,9.02,11.1
2021,15780000000.0,10.1,5810000000.0,36.14,5790000000.0,4670000000.0,27240000000.0,14790000000.0,56.1,12440000000.0,470000000.0,20.2,18.2
2020,12860000000.0,10.94,4290000000.0,32.45,5990000000.0,4700000000.0,24280000000.0,13260000000.0,45.7,11020000000.0,470000000.0,17.8,18.1
2019,11170000000.0,6.07,3360000000.0,28.69,4170000000.0,4130000000.0,20760000000.0,10530000000.0,54.3,10230000000.0,480000000.0,13.4,15.1
2018,9030000000.0,5.28,2880000000.0,30.94,3220000000.0,4120000000.0,18760000000.0,9360000000.0,42.8,9400000000.0,480000000.0,13.5,11.8
2017,7300000000.0,3.44,2210000000.0,29.28,5810000000.0,1880000000.0,14530000000.0,8449999999.999999,50.9,6070000000.0,490000000.0,12.3,10.2
2016,5850000000.0,2.35,1500000000.0,24.51,4760000000.0,1890000000.0,12690000000.0,7420000000.0,43.8,5270000000.0,490000000.0,8.73,6.85
2015,4790000000.0,1.27,930000000.0,18.22,3980000000.0,1900000000.0,11720000000.0,7000000000.0,74.0,4720000000.0,490000000.0,9.49,6.68
2014,4139999999.9999995,0.51,420000000.0,8.71,3730000000.0,1510000000.0,10780000000.0,6770000000.0,143.0,4000000000.0,490000000.0,8.84,5.34
2013,4050000000.0,0.57,420000000.0,8.78,3170000000.0,1510000000.0,10380000000.0,6720000000.0,105.0,3650000000.0,490000000.0,6.95,4.42
2012,4400000000.0,1.68,1180000000.0,25.41,3530000000.0,1500000000.0,10040000000.0,6660000000.0,22.4,3370000000.0,490000000.0,3.88,2.79
2011,4210000000.0,1.67,1100000000.0,24.55,2910000000.0,1510000000.0,8990000000.0,5780000000.0,16.9,3200000000.0,490000000.0,3.19,2.4
2010,3800000000.0,,1000000000.0,24.82,2460000000.0,1520000000.0,8140000000.000001,5190000000.0,,2940000000.0,510000000.0,3.72,2.98
2009,2940000000.0,,700000000.0,23.81,1900000000.0,1000000000.0,7280000000.0,4890000000.0,,2390000000.0,520000000.0,6.22,3.93
2008,3570000000.0,,1060000000.0,30.13,2009999999.9999998,350000000.0,5820000000.0,4410000000.0,,1410000000.0,530000000.0,3.4,2.54
2007,3150000000.0,,850000000.0,29.99,1990000000.0,,5710000000.0,4640000000.0,,1060000000.0,580000000.0,7.63,5.23
2006,2570000000.0,,570000000.0,26.39,2280000000.0,,5960000000.0,5150000000.0,,810000000.0,580000000.0,9.16,4.7
2005,1960000000.0,,720000000.0,38.94,1700000000.0,,2440000000.0,1860000000.0,,570000000.0,490000000.0,9.81,11.7
2004,1660000000.0,,590000000.0,36.52,1310000000.0,,1950000000.0,1420000000.0,,530000000.0,,8.67,10.5
2003,1290000000.0,,370000000.0,29.39,1090000000.0,,1550000000.0,1100000000.0,,450000000.0,,7.47,8.31
2002,1160000000.0,,300000000.0,24.44,610000000.0,,1050000000.0,670000000.0,,370000000.0,,5.88,8.64
2001,1220000000.0,,390000000.0,24.96,580000000.0,,930000000.0,610000000.0,,310000000.0,,6.14,
2000,1260000000.0,,410000000.0,,670000000.0,,,,,,,,
1999,1010000000.0,,280000000.0,,490000000.0,,,,,,,,
1998,890000000.0,,150000000.0,,270000000.0,,,,,,,,
1997,910000000.0,,230000000.0,,500000000.0,,,,,,,,
1996,780000000.0,,170000000.0,,560000000.0,,,,,,,,
