year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,23769000000.0,Revenues,0000796343-26-000003,USD,True,7130000000.0,NetIncomeLoss,0000796343-26-000003,USD,True,10031000000.0,NetCashProvidedByUsedInOperatingActivities,0000796343-26-000003,USD,True,179000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000796343-26-000003,USD,True,8706000000.0,OperatingIncomeLoss,0000796343-26-000003,USD,True,,,,,False,1604000000.0,IncomeTaxExpenseBenefit,0000796343-26-000003,USD,True,,,,,False,8734000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000796343-26-000003,USD,True,5431000000.0,CashAndCashEquivalentsAtCarryingValue,0000796343-26-000003,USD,True,1164000000.0,ShortTermInvestments,0000796343-26-000003,USD,True,6210000000.0,DebtAndCapitalLeaseObligations,0000796343-26-000003,USD,True,0.0,DebtCurrent,0000796343-26-000003,USD,True,,,,,False,11623000000.0,StockholdersEquity,0000796343-26-000003,USD,True,6595000000.0,6210000000.0,9852000000.0,0.18365010304556903,11238000000.0,7107142202.885276,0.6324205555156857,8706000000.0,False,0.41448946106272877,1.3817671809256662,True,True,ADBE,0000796343,ticker:ADBE,26
2024,21505000000.0,Revenues,0000796343-25-000004,USD,True,5560000000.0,NetIncomeLoss,0000796343-25-000004,USD,True,8056000000.0,NetCashProvidedByUsedInOperatingActivities,0000796343-25-000004,USD,True,183000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000796343-25-000004,USD,True,6741000000.0,OperatingIncomeLoss,0000796343-25-000004,USD,True,,,,,False,1371000000.0,IncomeTaxExpenseBenefit,0000796343-25-000004,USD,True,,,,,False,6931000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000796343-25-000004,USD,True,7613000000.0,CashAndCashEquivalentsAtCarryingValue,0000796343-25-000004,USD,True,273000000.0,ShortTermInvestments,0000796343-25-000004,USD,True,4129000000.0,DebtAndCapitalLeaseObligations,0000796343-25-000004,USD,True,1499000000.0,DebtCurrent,0000796343-25-000004,USD,True,,,,,False,14105000000.0,StockholdersEquity,0000796343-25-000004,USD,True,7886000000.0,4129000000.0,7873000000.0,0.19780695426345404,10348000000.0,5407583321.310056,0.5225727987350266,6741000000.0,False,0.36610090676586843,1.4160071942446044,True,True,ADBE,0000796343,ticker:ADBE,26
2023,19409000000.0,Revenues,0000796343-24-000006,USD,True,5428000000.0,NetIncomeLoss,0000796343-24-000006,USD,True,7302000000.0,NetCashProvidedByUsedInOperatingActivities,0000796343-24-000006,USD,True,360000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000796343-24-000006,USD,True,6650000000.0,OperatingIncomeLoss,0000796343-24-000006,USD,True,113000000.0,InterestExpense,0000796343-24-000006,USD,True,1371000000.0,IncomeTaxExpenseBenefit,0000796343-24-000006,USD,True,,,,,False,6799000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000796343-24-000006,USD,True,7141000000.0,CashAndCashEquivalentsAtCarryingValue,0000796343-24-000006,USD,True,701000000.0,ShortTermInvestments,0000796343-24-000006,USD,True,3634000000.0,DebtAndCapitalLeaseObligations,0000796343-24-000006,USD,True,0.0,DebtCurrent,0000796343-24-000006,USD,True,,,,,False,16518000000.0,StockholdersEquity,0000796343-24-000006,USD,True,7842000000.0,3634000000.0,6942000000.0,0.2016473010736873,12310000000.0,5309045447.85998,0.4312790778115337,6650000000.0,False,0.3576691225720027,1.2789240972733973,True,True,ADBE,0000796343,ticker:ADBE,26
2022,17606000000.0,Revenues,0000796343-23-000007,USD,True,4756000000.0,NetIncomeLoss,0000796343-23-000007,USD,True,7838000000.0,NetCashProvidedByUsedInOperatingActivities,0000796343-23-000007,USD,True,442000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000796343-23-000007,USD,True,6098000000.0,OperatingIncomeLoss,0000796343-23-000007,USD,True,112000000.0,InterestExpense,0000796343-23-000007,USD,True,1252000000.0,IncomeTaxExpenseBenefit,0000796343-23-000007,USD,True,,,,,False,6008000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000796343-23-000007,USD,True,4236000000.0,CashAndCashEquivalentsAtCarryingValue,0000796343-23-000007,USD,True,1860000000.0,ShortTermInvestments,0000796343-23-000007,USD,True,3629000000.0,DebtAndCapitalLeaseObligations,0000796343-23-000007,USD,True,500000000.0,DebtCurrent,0000796343-23-000007,USD,True,,,,,False,14051000000.0,StockholdersEquity,0000796343-23-000007,USD,True,6096000000.0,3629000000.0,7396000000.0,0.20838881491344874,11584000000.0,4827245006.657789,0.4167165924255688,6098000000.0,False,0.4200840622515052,1.5550883095037846,True,True,ADBE,0000796343,ticker:ADBE,26
2021,15785000000.0,Revenues,0000796343-22-000032,USD,True,4822000000.0,NetIncomeLoss,0000796343-22-000032,USD,True,7230000000.0,NetCashProvidedByUsedInOperatingActivities,0000796343-22-000032,USD,True,348000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000796343-22-000032,USD,True,5802000000.0,OperatingIncomeLoss,0000796343-22-000032,USD,True,113000000.0,InterestExpense,0000796343-22-000032,USD,True,883000000.0,IncomeTaxExpenseBenefit,0000796343-22-000032,USD,True,,,,,False,5705000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000796343-22-000032,USD,True,3844000000.0,CashAndCashEquivalentsAtCarryingValue,0000796343-22-000032,USD,True,1954000000.0,ShortTermInvestments,0000796343-22-000032,USD,True,4123000000.0,DebtAndCapitalLeaseObligations,0000796343-22-000032,USD,True,,,,,False,,,,,False,14797000000.0,StockholdersEquity,0000796343-22-000032,USD,True,5798000000.0,4123000000.0,6882000000.0,0.15477651183172655,13122000000.0,4903986678.352323,0.3737225025417103,5802000000.0,False,0.4359835286664555,1.427208627125674,True,True,ADBE,0000796343,ticker:ADBE,26
2020,12868000000.0,Revenues,0000796343-21-000004,USD,True,5260000000.0,NetIncomeLoss,0000796343-21-000004,USD,True,5727000000.0,NetCashProvidedByUsedInOperatingActivities,0000796343-21-000004,USD,True,419000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000796343-21-000004,USD,True,4237000000.0,OperatingIncomeLoss,0000796343-21-000004,USD,True,116000000.0,InterestExpense,0000796343-21-000004,USD,True,-1084000000.0,IncomeTaxExpenseBenefit,0000796343-21-000004,USD,True,,,,,False,4176000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000796343-21-000004,USD,True,4478000000.0,CashAndCashEquivalentsAtCarryingValue,0000796343-21-000004,USD,True,1514000000.0,ShortTermInvestments,0000796343-21-000004,USD,True,4117000000.0,DebtAndCapitalLeaseObligations,0000796343-21-000004,USD,True,0.0,DebtCurrent,0000796343-21-000004,USD,True,,,,,False,13264000000.0,StockholdersEquity,0000796343-21-000004,USD,True,5992000000.0,4117000000.0,5308000000.0,-0.2595785440613027,11389000000.0,5336834291.187739,0.4685955124407533,4237000000.0,False,0.41249611439229095,1.009125475285171,True,True,ADBE,0000796343,ticker:ADBE,26
2019,11171297000.0,Revenues,0000796343-20-000013,USD,True,2951458000.0,NetIncomeLoss,0000796343-20-000013,USD,True,4421813000.0,NetCashProvidedByUsedInOperatingActivities,0000796343-20-000013,USD,True,394479000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000796343-20-000013,USD,True,3268121000.0,OperatingIncomeLoss,0000796343-20-000013,USD,True,157214000.0,InterestExpense,0000796343-20-000013,USD,True,253283000.0,IncomeTaxExpenseBenefit,0000796343-20-000013,USD,True,0.222,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0000796343-20-000013,pure,True,3204741000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000796343-20-000013,USD,True,2650221000.0,CashAndCashEquivalentsAtCarryingValue,0000796343-20-000013,USD,True,1526755000.0,ShortTermInvestments,0000796343-20-000013,USD,True,,,,,False,3149343000.0,DebtCurrent,0000796343-20-000013,USD,True,,,,,False,10530155000.0,StockholdersEquity,0000796343-20-000013,USD,True,4176976000.0,3149343000.0,4027334000.0,0.07903384392061637,9502522000.0,3009828834.972311,0.31674000175661904,3268121000.0,False,0.36050728935055615,1.3645235676740106,True,True,ADBE,0000796343,ticker:ADBE,26
2018,9030008000.0,Revenues,0000796343-19-000019,USD,True,2590774000.0,NetIncomeLoss,0000796343-19-000019,USD,True,4029304000.0,NetCashProvidedByUsedInOperatingActivities,0000796343-19-000019,USD,True,266579000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000796343-19-000019,USD,True,2840369000.0,OperatingIncomeLoss,0000796343-19-000019,USD,True,89242000.0,InterestExpense,0000796343-19-000019,USD,True,203102000.0,IncomeTaxExpenseBenefit,0000796343-19-000019,USD,True,0.222,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0000796343-19-000019,pure,True,2793876000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000796343-19-000019,USD,True,1642775000.0,CashAndCashEquivalentsAtCarryingValue,0000796343-19-000019,USD,True,1586187000.0,ShortTermInvestments,0000796343-19-000019,USD,True,,,,,False,,,,,False,,,,,False,9362114000.0,StockholdersEquity,0000796343-19-000019,USD,True,3228962000.0,,3762725000.0,0.07269542384844567,,,,2840369000.0,False,0.41669121444853646,1.4523555508894253,False,True,ADBE,0000796343,ticker:ADBE,26
2017,7301505000.0,Revenues,0000796343-18-000015,USD,True,1693954000.0,NetIncomeLoss,0000796343-18-000015,USD,True,2912853000.0,NetCashProvidedByUsedInOperatingActivities,0000796343-18-000015,USD,True,178122000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000796343-18-000015,USD,True,2168095000.0,OperatingIncomeLoss,0000796343-18-000015,USD,True,74402000.0,InterestExpense,0000796343-18-000015,USD,True,443687000.0,IncomeTaxExpenseBenefit,0000796343-18-000015,USD,True,0.35,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0000796343-18-000015,pure,True,2137641000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000796343-18-000015,USD,True,2306072000.0,CashAndCashEquivalentsAtCarryingValue,0000796343-18-000015,USD,True,3513702000.0,ShortTermInvestments,0000796343-18-000015,USD,True,,,,,False,,,,,False,,,,,False,8459869000.0,StockholdersEquity,0000796343-18-000015,USD,True,5819774000.0,,2734731000.0,0.20755917387437833,,,,2168095000.0,False,0.37454346740843153,1.6144068847206003,False,True,ADBE,0000796343,ticker:ADBE,26
2016,5854430000.0,Revenues,0000796343-17-000031,USD,True,1168782000.0,NetIncomeLoss,0000796343-17-000031,USD,True,2199728000.0,NetCashProvidedByUsedInOperatingActivities,0000796343-17-000031,USD,True,203805000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000796343-17-000031,USD,True,1493602000.0,OperatingIncomeLoss,0000796343-17-000031,USD,True,70442000.0,InterestExpense,0000796343-17-000031,USD,True,266356000.0,IncomeTaxExpenseBenefit,0000796343-17-000031,USD,True,0.35,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0000796343-17-000031,pure,True,1435138000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000796343-17-000031,USD,True,1011315000.0,CashAndCashEquivalentsAtCarryingValue,0000796343-17-000031,USD,True,3749985000.0,ShortTermInvestments,0000796343-17-000031,USD,True,,,,,False,,,,,False,,,,,False,7424835000.0,StockholdersEquity,0000796343-17-000031,USD,True,4761300000.0,,1995923000.0,0.18559608901722344,,,,1493602000.0,False,0.3409252480600161,1.7076948481410563,False,True,ADBE,0000796343,ticker:ADBE,26
