year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,11019707000.0,Revenues,0000006281-25-000153,USD,True,2267342000.0,NetIncomeLoss,0000006281-25-000153,USD,True,4812202000.0,NetCashProvidedByUsedInOperatingActivities,0000006281-25-000153,USD,True,533552000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000006281-25-000153,USD,True,2932496000.0,OperatingIncomeLoss,0000006281-25-000153,USD,True,,,,,False,444770000.0,IncomeTaxExpenseBenefit,0000006281-25-000153,USD,True,0.21,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0000006281-25-000153,pure,True,2712112000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000006281-25-000153,USD,True,2499406000.0,CashAndCashEquivalentsAtCarryingValue,0000006281-25-000153,USD,True,1152915000.0,ShortTermInvestments,0000006281-25-000153,USD,True,,,,,False,0.0,DebtCurrent,0000006281-25-000153,USD,True,8145066000.0,LongTermDebtNoncurrent,0000006281-25-000153,USD,True,33815755000.0,StockholdersEquity,0000006281-25-000153,USD,True,3652321000.0,8145066000.0,4278650000.0,0.16399396485100912,38308500000.0,2451584354.0502753,0.06399583262331533,2932496000.0,False,0.38827257385337016,1.887077467801505,True,True,ADI,0000006281,ticker:ADI,25
2024,9427157000.0,Revenues,0000006281-24-000204,USD,True,1635273000.0,NetIncomeLoss,0000006281-24-000204,USD,True,3852529000.0,NetCashProvidedByUsedInOperatingActivities,0000006281-24-000204,USD,True,730463000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000006281-24-000204,USD,True,2032798000.0,OperatingIncomeLoss,0000006281-24-000204,USD,True,,,,,False,142067000.0,IncomeTaxExpenseBenefit,0000006281-24-000204,USD,True,0.21,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0000006281-24-000204,pure,True,1777340000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000006281-24-000204,USD,True,1991342000.0,CashAndCashEquivalentsAtCarryingValue,0000006281-24-000204,USD,True,371822000.0,ShortTermInvestments,0000006281-24-000204,USD,True,,,,,False,399636000.0,DebtCurrent,0000006281-24-000204,USD,True,6634313000.0,LongTermDebtNoncurrent,0000006281-24-000204,USD,True,35176317000.0,StockholdersEquity,0000006281-24-000204,USD,True,2363164000.0,7033949000.0,3122066000.0,0.0799323708463209,39847102000.0,1870311636.4083407,0.04693720603341093,2032798000.0,False,0.33117789382313245,1.9092017051587105,True,True,ADI,0000006281,ticker:ADI,25
2023,12305539000.0,Revenues,0000006281-23-000203,USD,True,3314579000.0,NetIncomeLoss,0000006281-23-000203,USD,True,4817634000.0,NetCashProvidedByUsedInOperatingActivities,0000006281-23-000203,USD,True,1261463000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000006281-23-000203,USD,True,3823112000.0,OperatingIncomeLoss,0000006281-23-000203,USD,True,264641000.0,InterestExpense,0000006281-23-000203,USD,True,293424000.0,IncomeTaxExpenseBenefit,0000006281-23-000203,USD,True,0.21,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0000006281-23-000203,pure,True,3608003000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000006281-23-000203,USD,True,958061000.0,CashAndCashEquivalentsAtCarryingValue,0000006281-23-000203,USD,True,,,,,False,,,,,False,499052000.0,DebtCurrent,0000006281-23-000203,USD,True,5902457000.0,LongTermDebtNoncurrent,0000006281-23-000203,USD,True,35565122000.0,StockholdersEquity,0000006281-23-000203,USD,True,958061000.0,6401509000.0,3556171000.0,0.08132587472903986,41008570000.0,3512194072.4129114,0.08564536808800968,3823112000.0,False,0.2889894542612071,1.0728876879989888,True,True,ADI,0000006281,ticker:ADI,25
2022,12013953000.0,Revenues,0000006281-22-000250,USD,True,2748561000.0,NetIncomeLoss,0000006281-22-000250,USD,True,4475402000.0,NetCashProvidedByUsedInOperatingActivities,0000006281-22-000250,USD,True,699308000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000006281-22-000250,USD,True,3278700000.0,OperatingIncomeLoss,0000006281-22-000250,USD,True,200408000.0,InterestExpense,0000006281-22-000250,USD,True,350188000.0,IncomeTaxExpenseBenefit,0000006281-22-000250,USD,True,0.21,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0000006281-22-000250,pure,True,3098749000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000006281-22-000250,USD,True,1470572000.0,CashAndCashEquivalentsAtCarryingValue,0000006281-22-000250,USD,True,,,,,False,,,,,False,0.0,DebtCurrent,0000006281-22-000250,USD,True,,,,,False,36465323000.0,StockholdersEquity,0000006281-22-000250,USD,True,1470572000.0,0.0,3776094000.0,0.1130094757594113,34994751000.0,2908175831.827618,0.08310320115801419,3278700000.0,False,0.314309037167034,1.3738439859984917,True,True,ADI,0000006281,ticker:ADI,25
2021,7318286000.0,Revenues,0000006281-21-000294,USD,True,1390422000.0,NetIncomeLoss,0000006281-21-000294,USD,True,2735069000.0,NetCashProvidedByUsedInOperatingActivities,0000006281-21-000294,USD,True,343676000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000006281-21-000294,USD,True,1692201000.0,OperatingIncomeLoss,0000006281-21-000294,USD,True,184825000.0,InterestExpense,0000006281-21-000294,USD,True,-61708000.0,IncomeTaxExpenseBenefit,0000006281-21-000294,USD,True,0.21,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0000006281-21-000294,pure,True,1328714000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000006281-21-000294,USD,True,1977964000.0,CashAndCashEquivalentsAtCarryingValue,0000006281-21-000294,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,37992542000.0,StockholdersEquity,0000006281-21-000294,USD,True,1977964000.0,,2391393000.0,-0.046441897955466716,,,,1692201000.0,False,0.3267695468583764,1.7199044606601448,False,True,ADI,0000006281,ticker:ADI,25
2020,5603056000.0,Revenues,0000006281-20-000156,USD,True,1220761000.0,NetIncomeLoss,0000006281-20-000156,USD,True,2008487000.0,NetCashProvidedByUsedInOperatingActivities,0000006281-20-000156,USD,True,165692000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000006281-20-000156,USD,True,1498244000.0,OperatingIncomeLoss,0000006281-20-000156,USD,True,193305000.0,InterestExpense,0000006281-20-000156,USD,True,90856000.0,IncomeTaxExpenseBenefit,0000006281-20-000156,USD,True,0.21,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0000006281-20-000156,pure,True,1311617000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000006281-20-000156,USD,True,1055860000.0,CashAndCashEquivalentsAtCarryingValue,0000006281-20-000156,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,11997945000.0,StockholdersEquity,0000006281-20-000156,USD,True,1055860000.0,,1842795000.0,0.06927022141372062,,,,1498244000.0,False,0.3288910551670374,1.5095460946081993,False,True,ADI,0000006281,ticker:ADI,25
2019,5991065000.0,Revenues,0000006281-19-000144,USD,True,1363011000.0,NetIncomeLoss,0000006281-19-000144,USD,True,2253100000.0,NetCashProvidedByUsedInOperatingActivities,0000006281-19-000144,USD,True,275372000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000006281-19-000144,USD,True,1710608000.0,OperatingIncomeLoss,0000006281-19-000144,USD,True,229075000.0,InterestExpense,0000006281-19-000144,USD,True,122717000.0,IncomeTaxExpenseBenefit,0000006281-19-000144,USD,True,0.21,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0000006281-19-000144,pure,True,1485728000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000006281-19-000144,USD,True,648322000.0,CashAndCashEquivalentsAtCarryingValue,0000006281-19-000144,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,11709188000.0,StockholdersEquity,0000006281-19-000144,USD,True,648322000.0,,1977728000.0,0.08259721833336924,,,,1710608000.0,False,0.33011292649971247,1.4509992949433277,False,True,ADI,0000006281,ticker:ADI,25
2018,6200942000.0,Revenues,0000006281-18-000126,USD,True,1495432000.0,NetIncomeLoss,0000006281-18-000126,USD,True,2442361000.0,NetCashProvidedByUsedInOperatingActivities,0000006281-18-000126,USD,True,254876000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000006281-18-000126,USD,True,1881735000.0,OperatingIncomeLoss,0000006281-18-000126,USD,True,253589000.0,InterestExpense,0000006281-18-000126,USD,True,143085000.0,IncomeTaxExpenseBenefit,0000006281-18-000126,USD,True,0.234,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0000006281-18-000126,pure,True,1638517000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000006281-18-000126,USD,True,816591000.0,CashAndCashEquivalentsAtCarryingValue,0000006281-18-000126,USD,True,,,,,False,,,,,False,67000000.0,DebtCurrent,0000006281-18-000126,USD,True,,,,,False,10988540000.0,StockholdersEquity,0000006281-18-000126,USD,True,816591000.0,67000000.0,2187485000.0,0.08732591727763582,10238949000.0,1717410765.051568,0.16773311060066498,1881735000.0,False,0.35276656353179886,1.4627779798747118,True,True,ADI,0000006281,ticker:ADI,25
2017,5107503000.0,Revenues,0000006281-17-000144,USD,True,727259000.0,NetIncomeLoss,0000006281-17-000144,USD,True,1112592000.0,NetCashProvidedByUsedInOperatingActivities,0000006281-17-000144,USD,True,204098000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000006281-17-000144,USD,True,1055134000.0,OperatingIncomeLoss,0000006281-17-000144,USD,True,250840000.0,InterestExpense,0000006281-17-000144,USD,True,101226000.0,IncomeTaxExpenseBenefit,0000006281-17-000144,USD,True,0.35,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0000006281-17-000144,pure,True,828485000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000006281-17-000144,USD,True,1047838000.0,CashAndCashEquivalentsAtCarryingValue,0000006281-17-000144,USD,True,0.0,ShortTermInvestments,0000006281-17-000144,USD,True,,,,,False,,,,,False,,,,,False,10161540000.0,StockholdersEquity,0000006281-17-000144,USD,True,1047838000.0,,908494000.0,0.12218205519713694,,,,1055134000.0,False,0.17787439380848136,1.2492028287033918,False,True,ADI,0000006281,ticker:ADI,25
2016,3421409000.0,Revenues,0000006281-16-000097,USD,True,861664000.0,NetIncomeLoss,0000006281-16-000097,USD,True,1280895000.0,NetCashProvidedByUsedInOperatingActivities,0000006281-16-000097,USD,True,127397000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000006281-16-000097,USD,True,1028112000.0,OperatingIncomeLoss,0000006281-16-000097,USD,True,88757000.0,InterestExpense,0000006281-16-000097,USD,True,95257000.0,IncomeTaxExpenseBenefit,0000006281-16-000097,USD,True,0.35,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0000006281-16-000097,pure,True,956921000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000006281-16-000097,USD,True,921132000.0,CashAndCashEquivalentsAtCarryingValue,0000006281-16-000097,USD,True,3110011000.0,ShortTermInvestments,0000006281-16-000097,USD,True,,,,,False,374594000.0,DebtCurrent,0000006281-16-000097,USD,True,,,,,False,5165618000.0,StockholdersEquity,0000006281-16-000097,USD,True,4031143000.0,374594000.0,1153498000.0,0.09954531251796125,1509069000.0,925768269.6565337,0.6134698079786503,1028112000.0,False,0.33714121872012376,1.3386865413896831,True,True,ADI,0000006281,ticker:ADI,25
