year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,21600000000.0,10.76,5660000000.0,,,,,,,,400000000.0,2.6,3.77,
2025,21210000000.0,10.44,5500000000.0,25.83,7840000000.0,9060000000.0,53360000000.0,6180000000.0,24.6,47180000000.0,400000000.0,2.46,4.83,16.0
2024,19900000000.0,9.62,5130000000.0,25.37,3290000000.0,3310000000.0,54360000000.0,4540000000.0,30.1,49810000000.0,400000000.0,1.98,6.06,23.8
2023,18580000000.0,8.63,4600000000.0,24.64,2080000000.0,3330000000.0,50970000000.0,3500000000.0,26.1,47460000000.0,410000000.0,2.28,5.16,22.2
2022,17240000000.0,7.56,4059999999.9999995,23.06,1430000000.0,3350000000.0,63060000000.0,3220000000.0,29.9,59840000000.0,410000000.0,1.93,5.75,33.2
2021,15690000000.0,6.48,3570000000.0,22.4,2570000000.0,3320000000.0,48770000000.0,5670000000.0,35.4,43100000000.0,410000000.0,1.67,6.6,20.5
2020,14590000000.0,5.78,3200000000.0,21.81,1900000000.0,2340000000.0,39160000000.0,5750000000.0,27.8,33409999999.999996,420000000.0,2.28,5.18,12.8
2019,14490000000.0,5.7,3190000000.0,21.3,1950000000.0,2000000000.0,41880000000.0,5390000000.0,26.6,36480000000.0,430000000.0,2.16,5.08,13.7
2018,13810000000.0,4.15,2460000000.0,17.2,2170000000.0,2000000000.0,38840000000.0,4730000000.0,27.6,34110000000.0,430000000.0,2.45,4.14,12.0
2017,12790000000.0,3.91,2360000000.0,21.15,2780000000.0,2000000000.0,37180000000.0,3970000000.0,25.6,33200000000.000004,440000000.0,2.34,4.06,13.2
2016,12050000000.0,3.75,2530000000.0,19.15,3190000000.0,2000000000.0,43670000000.0,4480000000.0,22.9,39180000000.0,440000000.0,2.51,3.85,12.2
2015,11210000000.0,3.24,2120000000.0,18.93,1660000000.0,9200000.0,33110000000.0,4800000000.0,21.3,28300000000.0,450000000.0,2.89,3.46,9.24
2014,11110000000.0,3.01,2049999999.9999998,18.38,3610000000.0,2180000000.0,32049999999.999996,6670000000.0,22.1,25380000000.0,470000000.0,2.64,3.58,7.24
2013,10770000000.0,2.94,1950000000.0,18.11,1720000000.0,14700000.0,32259999999.999996,6180000000.0,18.8,26070000000.0,,2.84,3.61,6.22
2012,11300000000.0,2.9,2069999999.9999998,19.84,1570000000.0,16800000.0,30810000000.0,6110000000.0,13.1,24700000000.0,,3.75,2.44,4.31
2011,10040000000.0,,2040000000.0,19.51,1420000000.0,34200000.0,34229999999.999996,6010000000.0,,28220000000.0,,3.71,2.63,4.27
2010,9120000000.0,,1850000000.0,20.87,1670000000.0,39800000.0,26860000000.0,5470000000.0,,21380000000.0,,4.17,2.51,3.96
2009,8640000000.0,,1910000000.0,21.5,2290000000.0,770000000.0,25350000000.0,5320000000.0,,20020000000.0,,4.49,2.49,3.75
2008,9010000000.0,,1900000000.0,20.65,1580000000.0,52100000.0,23730000000.0,5080000000.0,,18640000000.0,,4.56,2.22,4.13
2007,8270000000.0,,1680000000.0,20.81,1810000000.0,43500000.0,26640000000.0,5140000000.0,,21500000000.0,,3.31,2.81,4.48
2006,8020000000.0,,1670000000.0,19.91,2120000000.0,74300000.0,27490000000.0,6010000000.0,,21470000000.0,,2.51,3.36,4.57
2005,8460000000.000001,,1660000000.0,20.19,1540000000.0,75700000.0,27610000000.0,5780000000.0,,21830000000.0,,2.26,3.13,4.52
2004,8050000000.000001,,1540000000.0,19.71,1120000000.0,76200000.0,21120000000.0,5410000000.0,,15700000000.0,,2.1,3.21,4.57
2003,7360000000.0,,1550000000.0,23.02,2000000000.0,84670000.0,19830000000.0,5370000000.0,,14460000000.0,,2.08,3.17,4.35
2002,7040000000.0,,1800000000.0,25.51,1470000000.0,90640000.0,18270000000.0,5110000000.0,,13160000000.0,,1.98,3.34,4.73
2001,6990000000.0,,1640000000.0,21.73,1790000000.0,110000000.0,17880000000.0,4700000000.0,,13180000000.0,,1.51,5.22,
2000,6270000000.0,,1390000000.0,,1820000000.0,150000000.0,,,,,,0.99,,
1999,5820000000.0,,1160000000.0,,1090000000.0,270000000.0,,,,,,1.0,,
1998,5190000000.0,,950000000.0,,900000000.0,430000000.0,,,,,,1.18,,
1997,4390000000.0,,770000000.0,,590000000.0,530000000.0,,,,,,1.35,,
1996,3900000000.0,,680000000.0,,310000000.0,490000000.0,,,,,,1.7,,
1995,,,,,,,,,,,,1.67,,
1994,,,,,,,,,,,,1.78,,
1993,,,,,,,,,,,,1.66,,
1992,,,,,,,,,,,,1.53,,
1991,,,,,,,,,,,,1.57,,
1990,,,,,,,,,,,,2.35,,
1989,,,,,,,,,,,,2.24,,
1988,,,,,,,,,,,,2.47,,
1987,,,,,,,,,,,,1.84,,
1986,,,,,,,,,,,,2.06,,
1985,,,,,,,,,,,,2.23,,
1984,,,,,,,,,,,,3.12,,
1983,,,,,,,,,,,,2.42,,
1982,,,,,,,,,,,,0.0,,
1981,,,,,,,,,,,,0.0,,
1980,,,,,,,,,,,,0.0,,
