Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,29020000000.0,10650000000.0,,,,
2025,28210000000.0,9750000000.0,29.5,8570000000.0,36290000000.0,
2024,27630000000.0,8220000000.000001,18.6,9470000000.0,34400000000.0,
2023,26480000000.0,8359999999.999999,19.6,6860000000.0,30720000000.0,
2022,26250000000.0,7870000000.0,12.7,2580000000.0,26720000000.0,
2021,24170000000.0,7680000000.0,23.5,5450000000.0,25820000000.0,
2020,18200000000.0,4650000000.0,21.0,5730000000.0,22350000000.0,
2019,15010000000.0,3620000000.0,20.0,3610000000.0,19020000000.0,
2018,16500000000.0,4450000000.0,9.2,4030000000.0000005,17630000000.0,
2017,15460000000.0,4360000000.0,14.7,7270000000.0,19410000000.0,
2016,11840000000.0,2620000000.0,18.6,3740000000.0,14570000000.0,
2015,9550000000.0,1600000000.0,14.7,4960000000.0,15300000000.0,
2014,9240000000.0,1660000000.0,23.7,3160000000.0,13170000000.0,
2013,8119999999.999999,740000000.0,72.2,1890000000.0,12040000000.0,
2012,8100000000.0,260000000.0,159.0,1930000000.0,12100000000.0,
2011,10010000000.0,1930000000.0,,6240000000.0,13860000000.0,
2010,10380000000.0,1960000000.0,,2580000000.0,10940000000.0,
2009,5520000000.0,,,2210000000.0,9570000000.0,
2008,7370000000.0,750000000.0,,2100000000.0,11000000000.0,
2007,9540000000.0,2270000000.0,,2360000000.0,10660000000.0,
2006,9580000000.0,1840000000.0,,1890000000.0,9480000000.0,
2005,7060000000.0,1420000000.0,,3330000000.0,11260000000.0,
2004,8230000000.0,2040000000.0,,6570000000.0,12090000000.0,
2003,4970000000.0,340000000.0,,5490000000.0,10310000000.0,
2002,5110000000.0,290000000.0,,4920000000.0,10220000000.0,
2001,6080000000.0,330000000.0,,4840000000.0,9820000000.0,
2000,10200000000.0,3060000000.0,,4219999999.9999995,,
1999,5890000000.0,1330000000.0,,2810000000.0,,
1998,3470000000.0,140000000.0,,570000000.0,,
1997,4540000000.0,910000000.0,,1540000000.0,,
1996,3940000000.0,790000000.0,,400000000.0,,
