year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,28368000000.0,Revenues,0001628280-25-056742,USD,True,6998000000.0,NetIncomeLoss,0001628280-25-056742,USD,True,7958000000.0,NetCashProvidedByUsedInOperatingActivities,0001628280-25-056742,USD,True,2260000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001628280-25-056742,USD,True,8289000000.0,OperatingIncomeLoss,0001628280-25-056742,USD,True,,,,,False,2273000000.0,IncomeTaxExpenseBenefit,0001628280-25-056742,USD,True,0.245,EffectiveIncomeTaxRateContinuingOperations,0001628280-25-056742,pure,True,9271000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001628280-25-056742,USD,True,7241000000.0,CashAndCashEquivalentsAtCarryingValue,0001628280-25-056742,USD,True,1332000000.0,ShortTermInvestments,0001628280-25-056742,USD,True,,,,,False,0.0,FinanceLeaseLiabilityCurrent,0001628280-25-056742,USD,True,6455000000.0,LongTermDebtNoncurrent,0001628280-25-056742,USD,True,20415000000.0,StockholdersEquity,0001628280-25-056742,USD,True,8573000000.0,6455000000.0,5698000000.0,0.24517312048322726,18297000000.0,6256760004.314529,0.3419555120683461,8289000000.0,False,0.20086012408347434,0.8142326378965419,True,True,AMAT,0000006951,ticker:AMAT,25
2024,27176000000.0,Revenues,0000006951-24-000044,USD,True,7177000000.0,NetIncomeLoss,0000006951-24-000044,USD,True,8677000000.0,NetCashProvidedByUsedInOperatingActivities,0000006951-24-000044,USD,True,1190000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000006951-24-000044,USD,True,7867000000.0,OperatingIncomeLoss,0000006951-24-000044,USD,True,,,,,False,975000000.0,IncomeTaxExpenseBenefit,0000006951-24-000044,USD,True,0.12,EffectiveIncomeTaxRateContinuingOperations,0000006951-24-000044,pure,True,8152000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000006951-24-000044,USD,True,8022000000.0,CashAndCashEquivalentsAtCarryingValue,0000006951-24-000044,USD,True,1449000000.0,ShortTermInvestments,0000006951-24-000044,USD,True,,,,,False,0.0,FinanceLeaseLiabilityCurrent,0000006951-24-000044,USD,True,5460000000.0,LongTermDebtNoncurrent,0000006951-24-000044,USD,True,19001000000.0,StockholdersEquity,0000006951-24-000044,USD,True,9471000000.0,5460000000.0,7487000000.0,0.11960255152109912,14990000000.0,6926086727.183514,0.46204714657661866,7867000000.0,False,0.2755004415660877,1.043193534903163,True,True,AMAT,0000006951,ticker:AMAT,25
2023,26517000000.0,Revenues,0000006951-23-000041,USD,True,6856000000.0,NetIncomeLoss,0000006951-23-000041,USD,True,8700000000.0,NetCashProvidedByUsedInOperatingActivities,0000006951-23-000041,USD,True,1106000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000006951-23-000041,USD,True,7654000000.0,OperatingIncomeLoss,0000006951-23-000041,USD,True,238000000.0,InterestExpense,0000006951-23-000041,USD,True,860000000.0,IncomeTaxExpenseBenefit,0000006951-23-000041,USD,True,0.111,EffectiveIncomeTaxRateContinuingOperations,0000006951-23-000041,pure,True,7716000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000006951-23-000041,USD,True,6132000000.0,CashAndCashEquivalentsAtCarryingValue,0000006951-23-000041,USD,True,737000000.0,ShortTermInvestments,0000006951-23-000041,USD,True,,,,,False,102000000.0,FinanceLeaseLiabilityCurrent,0000006951-23-000041,USD,True,5461000000.0,LongTermDebtNoncurrent,0000006951-23-000041,USD,True,16349000000.0,StockholdersEquity,0000006951-23-000041,USD,True,6869000000.0,5563000000.0,7594000000.0,0.11145671332296526,15043000000.0,6800910316.226024,0.45209800679558754,7654000000.0,False,0.28638232077535164,1.1076429404900816,True,True,AMAT,0000006951,ticker:AMAT,25
2022,25785000000.0,Revenues,0000006951-22-000043,USD,True,6525000000.0,NetIncomeLoss,0000006951-22-000043,USD,True,5399000000.0,NetCashProvidedByUsedInOperatingActivities,0000006951-22-000043,USD,True,787000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000006951-22-000043,USD,True,7788000000.0,OperatingIncomeLoss,0000006951-22-000043,USD,True,228000000.0,InterestExpense,0000006951-22-000043,USD,True,1074000000.0,IncomeTaxExpenseBenefit,0000006951-22-000043,USD,True,0.141,EffectiveIncomeTaxRateContinuingOperations,0000006951-22-000043,pure,True,7599000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000006951-22-000043,USD,True,1995000000.0,CashAndCashEquivalentsAtCarryingValue,0000006951-22-000043,USD,True,586000000.0,ShortTermInvestments,0000006951-22-000043,USD,True,,,,,False,,,,,False,5457000000.0,LongTermDebtNoncurrent,0000006951-22-000043,USD,True,12194000000.0,StockholdersEquity,0000006951-22-000043,USD,True,2581000000.0,5457000000.0,4612000000.0,0.14133438610343466,15070000000.0,6687287801.026451,0.4437483610501958,7788000000.0,False,0.17886368043436107,0.7068199233716476,True,True,AMAT,0000006951,ticker:AMAT,25
2021,23063000000.0,Revenues,0000006951-21-000043,USD,True,5888000000.0,NetIncomeLoss,0000006951-21-000043,USD,True,5442000000.0,NetCashProvidedByUsedInOperatingActivities,0000006951-21-000043,USD,True,668000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000006951-21-000043,USD,True,6889000000.0,OperatingIncomeLoss,0000006951-21-000043,USD,True,236000000.0,InterestExpense,0000006951-21-000043,USD,True,883000000.0,IncomeTaxExpenseBenefit,0000006951-21-000043,USD,True,0.13,EffectiveIncomeTaxRateContinuingOperations,0000006951-21-000043,pure,True,6771000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000006951-21-000043,USD,True,4995000000.0,CashAndCashEquivalentsAtCarryingValue,0000006951-21-000043,USD,True,464000000.0,ShortTermInvestments,0000006951-21-000043,USD,True,,,,,False,,,,,False,5452000000.0,LongTermDebtNoncurrent,0000006951-21-000043,USD,True,12247000000.0,StockholdersEquity,0000006951-21-000043,USD,True,5459000000.0,5452000000.0,4774000000.0,0.13040909762221237,12240000000.0,5990611726.480579,0.48942906262096236,6889000000.0,False,0.206998222260764,0.8108016304347826,True,True,AMAT,0000006951,ticker:AMAT,25
2020,17202000000.0,Revenues,0000006951-20-000048,USD,True,3619000000.0,NetIncomeLoss,0000006951-20-000048,USD,True,3804000000.0,NetCashProvidedByUsedInOperatingActivities,0000006951-20-000048,USD,True,422000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000006951-20-000048,USD,True,4365000000.0,OperatingIncomeLoss,0000006951-20-000048,USD,True,240000000.0,InterestExpense,0000006951-20-000048,USD,True,547000000.0,IncomeTaxExpenseBenefit,0000006951-20-000048,USD,True,0.131,EffectiveIncomeTaxRateContinuingOperations,0000006951-20-000048,pure,True,4166000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000006951-20-000048,USD,True,5351000000.0,CashAndCashEquivalentsAtCarryingValue,0000006951-20-000048,USD,True,387000000.0,ShortTermInvestments,0000006951-20-000048,USD,True,5448000000.0,LongTermDebt,0000006951-20-000048,USD,True,0.0,FinanceLeaseLiabilityCurrent,0000006951-20-000048,USD,True,5448000000.0,LongTermDebtNoncurrent,0000006951-20-000048,USD,True,10578000000.0,StockholdersEquity,0000006951-20-000048,USD,True,5738000000.0,5448000000.0,3382000000.0,0.1313010081613058,10288000000.0,3791871099.3759003,0.36857222972160775,4365000000.0,False,0.19660504592489245,0.9345122962144239,True,True,AMAT,0000006951,ticker:AMAT,25
2019,14608000000.0,Revenues,0000006951-19-000046,USD,True,2706000000.0,NetIncomeLoss,0000006951-19-000046,USD,True,3247000000.0,NetCashProvidedByUsedInOperatingActivities,0000006951-19-000046,USD,True,441000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000006951-19-000046,USD,True,3350000000.0,OperatingIncomeLoss,0000006951-19-000046,USD,True,237000000.0,InterestExpense,0000006951-19-000046,USD,True,563000000.0,IncomeTaxExpenseBenefit,0000006951-19-000046,USD,True,0.172,EffectiveIncomeTaxRateContinuingOperations,0000006951-19-000046,pure,True,3269000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000006951-19-000046,USD,True,3129000000.0,CashAndCashEquivalentsAtCarryingValue,0000006951-19-000046,USD,True,489000000.0,ShortTermInvestments,0000006951-19-000046,USD,True,5313000000.0,LongTermDebt,0000006951-19-000046,USD,True,600000000.0,FinanceLeaseLiabilityCurrent,0000006951-19-000046,USD,True,4713000000.0,LongTermDebtNoncurrent,0000006951-19-000046,USD,True,8214000000.0,StockholdersEquity,0000006951-19-000046,USD,True,3618000000.0,5313000000.0,2806000000.0,0.17222392168858977,9909000000.0,2773049862.343224,0.2798516361230421,3350000000.0,False,0.1920865279299014,1.0369549150036954,True,True,AMAT,0000006951,ticker:AMAT,25
2018,17253000000.0,Revenues,0000006951-18-000041,USD,True,3313000000.0,NetIncomeLoss,0000006951-18-000041,USD,True,3787000000.0,NetCashProvidedByUsedInOperatingActivities,0000006951-18-000041,USD,True,622000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000006951-18-000041,USD,True,4796000000.0,OperatingIncomeLoss,0000006951-18-000041,USD,True,234000000.0,InterestExpense,0000006951-18-000041,USD,True,1381000000.0,IncomeTaxExpenseBenefit,0000006951-18-000041,USD,True,0.294,EffectiveIncomeTaxRateContinuingOperations,0000006951-18-000041,pure,True,4694000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000006951-18-000041,USD,True,3440000000.0,CashAndCashEquivalentsAtCarryingValue,0000006951-18-000041,USD,True,590000000.0,ShortTermInvestments,0000006951-18-000041,USD,True,5309000000.0,LongTermDebt,0000006951-18-000041,USD,True,,,,,False,5309000000.0,LongTermDebtNoncurrent,0000006951-18-000041,USD,True,6839000000.0,StockholdersEquity,0000006951-18-000041,USD,True,4030000000.0,5309000000.0,3165000000.0,0.2942053685556029,8118000000.0,3384991052.407328,0.4169735220999419,4796000000.0,False,0.18344635715527735,0.9553274977361907,True,True,AMAT,0000006951,ticker:AMAT,25
2017,14537000000.0,Revenues,0000006951-17-000038,USD,True,3434000000.0,NetIncomeLoss,0000006951-17-000038,USD,True,3609000000.0,NetCashProvidedByUsedInOperatingActivities,0000006951-17-000038,USD,True,345000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000006951-17-000038,USD,True,3868000000.0,OperatingIncomeLoss,0000006951-17-000038,USD,True,198000000.0,InterestExpense,0000006951-17-000038,USD,True,297000000.0,IncomeTaxExpenseBenefit,0000006951-17-000038,USD,True,0.08,EffectiveIncomeTaxRateContinuingOperations,0000006951-17-000038,pure,True,3731000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000006951-17-000038,USD,True,5010000000.0,CashAndCashEquivalentsAtCarryingValue,0000006951-17-000038,USD,True,2266000000.0,ShortTermInvestments,0000006951-17-000038,USD,True,5304000000.0,LongTermDebt,0000006951-17-000038,USD,True,0.0,FinanceLeaseLiabilityCurrent,0000006951-17-000038,USD,True,5304000000.0,LongTermDebtNoncurrent,0000006951-17-000038,USD,True,9349000000.0,StockholdersEquity,0000006951-17-000038,USD,True,7276000000.0,5304000000.0,3264000000.0,0.07960332350576253,7377000000.0,3560094344.679711,0.48259378401514313,3868000000.0,False,0.22453050835798308,0.9504950495049505,True,True,AMAT,0000006951,ticker:AMAT,25
2016,10825000000.0,Revenues,0000006951-16-000068,USD,True,1721000000.0,NetIncomeLoss,0000006951-16-000068,USD,True,2466000000.0,NetCashProvidedByUsedInOperatingActivities,0000006951-16-000068,USD,True,253000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000006951-16-000068,USD,True,2152000000.0,OperatingIncomeLoss,0000006951-16-000068,USD,True,155000000.0,InterestExpense,0000006951-16-000068,USD,True,292000000.0,IncomeTaxExpenseBenefit,0000006951-16-000068,USD,True,0.145,EffectiveIncomeTaxRateContinuingOperations,0000006951-16-000068,pure,True,2013000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000006951-16-000068,USD,True,3406000000.0,CashAndCashEquivalentsAtCarryingValue,0000006951-16-000068,USD,True,343000000.0,ShortTermInvestments,0000006951-16-000068,USD,True,3143000000.0,LongTermDebt,0000006951-16-000068,USD,True,200000000.0,FinanceLeaseLiabilityCurrent,0000006951-16-000068,USD,True,3143000000.0,LongTermDebtNoncurrent,0000006951-16-000068,USD,True,7217000000.0,StockholdersEquity,0000006951-16-000068,USD,True,3749000000.0,3143000000.0,2213000000.0,0.14505712866368603,6611000000.0,1839837059.1157477,0.2782993585109284,2152000000.0,False,0.20443418013856812,1.2858803021499128,True,True,AMAT,0000006951,ticker:AMAT,25
