year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,7590000000.0,6.64,1940000000.0,,,,,,,,220000000.0,0.53,6.31,
2025,7400000000.0,6.42,1870000000.0,24.3,450000000.0,2340000000.0,16059999999.999998,10620000000.0,32.0,5430000000.0,220000000.0,0.6,6.53,4.54
2024,6940000000.0,5.96,1770000000.0,23.94,370000000.0,2130000000.0,14630000000.0,9650000000.0,30.1,4970000000.0,230000000.0,0.62,6.08,4.37
2023,6590000000.0,5.71,1680000000.0,24.35,400000000.0,3370000000.0,15020000000.0,8730000000.0,28.6,6290000000.0,230000000.0,0.61,5.77,4.36
2022,6150000000.0,5.05,1510000000.0,23.23,340000000.0,2430000000.0,12430000000.0,7470000000.0,27.2,4950000000.0,230000000.0,0.64,5.22,4.29
2021,5540000000.0,4.28,1300000000.0,22.05,340000000.0,2720000000.0,11890000000.0,6870000000.0,33.6,5020000000.0,230000000.0,0.56,6.13,4.95
2020,4540000000.0,3.81,1160000000.0,23.84,1210000000.0,2450000000.0,10350000000.0,5940000000.0,30.8,4400000000.0,220000000.0,0.61,6.13,4.68
2019,5150000000.0,3.79,1150000000.0,20.74,390000000.0,2810000000.0,9840000000.0,5110000000.0,25.4,4720000000.0,220000000.0,0.58,4.43,4.47
2018,4840000000.0,3.38,1060000000.0,20.38,350000000.0,2630000000.0,8660000000.0,4240000000.0,19.2,4420000000.0,220000000.0,0.86,3.17,3.62
2017,4300000000.0,2.96,890000000.0,18.53,640000000.0,2170000000.0,7790000000.0,4019999999.9999995,23.3,3760000000.0,230000000.0,0.52,3.89,4.16
2016,3840000000.0,2.19,780000000.0,18.05,710000000.0,2340000000.0,7100000000.0,3250000000.0,21.0,3840000000.0,230000000.0,0.78,2.93,3.45
2015,3970000000.0,2.46,890000000.0,20.29,380000000.0,1930000000.0,6660000000.0,3250000000.0,20.4,3400000000.0,230000000.0,0.72,3.18,3.88
2014,4019999999.9999995,2.38,880000000.0,20.01,370000000.0,1710000000.0,6420000000.0,3230000000.0,20.6,3180000000.0,240000000.0,0.67,3.16,3.92
2013,3590000000.0,2.11,790000000.0,20.17,290000000.0,1410000000.0,5870000000.0,3130000000.0,23.1,2740000000.0,240000000.0,0.49,3.59,4.11
2012,3330000000.0,1.9,730000000.0,19.87,150000000.0,1450000000.0,5190000000.0,2530000000.0,18.2,2650000000.0,240000000.0,0.64,2.74,3.61
2011,2980000000.0,,620000000.0,18.62,170000000.0,1260000000.0,4310000000.0,2049999999.9999998,,2260000000.0,,0.62,2.25,3.28
2010,2470000000.0,,470000000.0,16.44,160000000.0,1160000000.0,3810000000.0,1770000000.0,,2040000000.0,,0.5,2.55,3.55
2009,2089999999.9999998,,360000000.0,14.04,250000000.0,1040000000.0,3240000000.0,1560000000.0,,1670000000.0,,0.69,1.97,2.63
2008,2530000000.0,,420000000.0,14.47,91210000.0,1110000000.0,3050000000.0,1280000000.0,,1760000000.0,,0.88,1.27,2.5
2007,2130000000.0,,380000000.0,15.74,180000000.0,900000000.0,2760000000.0,1240000000.0,,1520000000.0,,0.57,2.35,4.05
2006,1810000000.0,,300000000.0,14.49,58220000.0,680000000.0,2130000000.0,960000000.0,,1160000000.0,,0.64,1.86,3.49
2005,1430000000.0,,230000000.0,13.82,43780000.0,630000000.0,1780000000.0,800000000.0,,970000000.0,,0.64,2.09,3.7
2004,1220000000.0,,190000000.0,13.04,48970000.0,450000000.0,1420000000.0,650000000.0,,760000000.0,,0.77,1.99,3.71
2003,1090000000.0,,150000000.0,11.92,22880000.0,420000000.0,1210000000.0,520000000.0,,680000000.0,,0.57,1.48,3.05
2002,1040000000.0,,140000000.0,11.81,21800000.0,390000000.0,1030000000.0,420000000.0,,600000000.0,,0.72,1.22,3.03
2001,1010000000.0,,100000000.0,8.28,22350000.0,470000000.0,1020000000.0,330000000.0,,690000000.0,,2.36,1.03,
2000,1020000000.0,,130000000.0,,15290000.0,320000000.0,,,,,,1.1,,
1999,920000000.0,,110000000.0,,15400000.0,330000000.0,,,,,,1.52,,
1998,920000000.0,,96580000.0,,16900000.0,300000000.0,,,,,,1.31,,
1997,840000000.0,,91800000.0,,700000.0,160000000.0,,,,,,1.1,,
1996,850000000.0,,92000000.0,,2400000.0,180000000.0,,,,,,1.34,,
1995,,,,,,,,,,,,1.61,,
1994,,,,,,,,,,,,1.82,,
1993,,,,,,,,,,,,5.8,,
1992,,,,,,,,,,,,5.66,,
1991,,,,,,,,,,,,6.83,,
1990,,,,,,,,,,,,10.01,,
1989,,,,,,,,,,,,7.22,,
1988,,,,,,,,,,,,7.59,,
1987,,,,,,,,,,,,6.36,,
1986,,,,,,,,,,,,6.77,,
1985,,,,,,,,,,,,5.52,,
1984,,,,,,,,,,,,3.1,,
