Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,7590000000.0,1940000000.0,,,,
2025,7400000000.0,1870000000.0,32.0,450000000.0,16059999999.999998,
2024,6940000000.0,1770000000.0,30.1,370000000.0,14630000000.0,
2023,6590000000.0,1680000000.0,28.6,400000000.0,15020000000.0,
2022,6150000000.0,1510000000.0,27.2,340000000.0,12430000000.0,
2021,5540000000.0,1300000000.0,33.6,340000000.0,11890000000.0,
2020,4540000000.0,1160000000.0,30.8,1210000000.0,10350000000.0,
2019,5150000000.0,1150000000.0,25.4,390000000.0,9840000000.0,
2018,4840000000.0,1060000000.0,19.2,350000000.0,8660000000.0,
2017,4300000000.0,890000000.0,23.3,640000000.0,7790000000.0,
2016,3840000000.0,780000000.0,21.0,710000000.0,7100000000.0,
2015,3970000000.0,890000000.0,20.4,380000000.0,6660000000.0,
2014,4019999999.9999995,880000000.0,20.6,370000000.0,6420000000.0,
2013,3590000000.0,790000000.0,23.1,290000000.0,5870000000.0,
2012,3330000000.0,730000000.0,18.2,150000000.0,5190000000.0,
2011,2980000000.0,620000000.0,,170000000.0,4310000000.0,
2010,2470000000.0,470000000.0,,160000000.0,3810000000.0,
2009,2089999999.9999998,360000000.0,,250000000.0,3240000000.0,
2008,2530000000.0,420000000.0,,91210000.0,3050000000.0,
2007,2130000000.0,380000000.0,,180000000.0,2760000000.0,
2006,1810000000.0,300000000.0,,58220000.0,2130000000.0,
2005,1430000000.0,230000000.0,,43780000.0,1780000000.0,
2004,1220000000.0,190000000.0,,48970000.0,1420000000.0,
2003,1090000000.0,150000000.0,,22880000.0,1210000000.0,
2002,1040000000.0,140000000.0,,21800000.0,1030000000.0,
2001,1010000000.0,100000000.0,,22350000.0,1020000000.0,
2000,1020000000.0,130000000.0,,15290000.0,,
1999,920000000.0,110000000.0,,15400000.0,,
1998,920000000.0,96580000.0,,16900000.0,,
1997,840000000.0,91800000.0,,700000.0,,
1996,850000000.0,92000000.0,,2400000.0,,
