year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,716924000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001018724-26-000004,USD,True,77670000000.0,NetIncomeLoss,0001018724-26-000004,USD,True,139514000000.0,NetCashProvidedByUsedInOperatingActivities,0001018724-26-000004,USD,True,27000000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001018724-26-000004,USD,True,79975000000.0,OperatingIncomeLoss,0001018724-26-000004,USD,True,,,,,False,19087000000.0,IncomeTaxExpenseBenefit,0001018724-26-000004,USD,True,0.196,EffectiveIncomeTaxRateContinuingOperations,0001018724-26-000004,pure,True,97311000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001018724-26-000004,USD,True,86810000000.0,CashAndCashEquivalentsAtCarryingValue,0001018724-26-000004,USD,True,,,,,False,68836000000.0,LongTermDebt,0001018724-26-000004,USD,True,1544000000.0,FinanceLeaseLiabilityCurrent,0001018724-26-000004,USD,True,10742000000.0,FinanceLeaseLiabilityNoncurrent,0001018724-26-000004,USD,True,411065000000.0,StockholdersEquity,0001018724-26-000004,USD,True,86810000000.0,68836000000.0,112514000000.0,0.19614432078593375,393091000000.0,64288357945.14494,0.1635457386334079,79975000000.0,False,0.15693992668678966,1.448615939230076,True,True,AMZN,0001018724,ticker:AMZN,24
2024,637959000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001018724-25-000004,USD,True,59248000000.0,NetIncomeLoss,0001018724-25-000004,USD,True,115877000000.0,NetCashProvidedByUsedInOperatingActivities,0001018724-25-000004,USD,True,82999000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001018724-25-000004,USD,True,68593000000.0,OperatingIncomeLoss,0001018724-25-000004,USD,True,,,,,False,9265000000.0,IncomeTaxExpenseBenefit,0001018724-25-000004,USD,True,,,,,False,68614000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001018724-25-000004,USD,True,78779000000.0,CashAndCashEquivalentsAtCarryingValue,0001018724-25-000004,USD,True,,,,,False,58000000000.0,LongTermDebt,0001018724-25-000004,USD,True,1375000000.0,FinanceLeaseLiabilityCurrent,0001018724-25-000004,USD,True,9227000000.0,FinanceLeaseLiabilityNoncurrent,0001018724-25-000004,USD,True,285970000000.0,StockholdersEquity,0001018724-25-000004,USD,True,78779000000.0,58000000000.0,32878000000.0,0.13503075174162707,265191000000.0,59330835645.786575,0.22372869232284118,68593000000.0,False,0.05153622724971354,0.5549216851201728,True,True,AMZN,0001018724,ticker:AMZN,24
2023,574785000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001018724-24-000008,USD,True,30425000000.0,NetIncomeLoss,0001018724-24-000008,USD,True,84946000000.0,NetCashProvidedByUsedInOperatingActivities,0001018724-24-000008,USD,True,52729000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001018724-24-000008,USD,True,36852000000.0,OperatingIncomeLoss,0001018724-24-000008,USD,True,3182000000.0,InterestExpense,0001018724-24-000008,USD,True,7120000000.0,IncomeTaxExpenseBenefit,0001018724-24-000008,USD,True,,,,,False,37557000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001018724-24-000008,USD,True,73387000000.0,CashAndCashEquivalentsAtCarryingValue,0001018724-24-000008,USD,True,,,,,False,67182000000.0,LongTermDebt,0001018724-24-000008,USD,True,2032000000.0,FinanceLeaseLiabilityCurrent,0001018724-24-000008,USD,True,10077000000.0,FinanceLeaseLiabilityNoncurrent,0001018724-24-000008,USD,True,201875000000.0,StockholdersEquity,0001018724-24-000008,USD,True,73387000000.0,67182000000.0,32217000000.0,0.18957850733551668,195670000000.0,29865652847.671535,0.1526327635696404,36852000000.0,False,0.0560505232391242,1.058898931799507,True,True,AMZN,0001018724,ticker:AMZN,24
2022,513983000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001018724-23-000004,USD,True,-2722000000.0,NetIncomeLoss,0001018724-23-000004,USD,True,46752000000.0,NetCashProvidedByUsedInOperatingActivities,0001018724-23-000004,USD,True,63645000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001018724-23-000004,USD,True,12248000000.0,OperatingIncomeLoss,0001018724-23-000004,USD,True,2367000000.0,InterestExpense,0001018724-23-000004,USD,True,-3217000000.0,IncomeTaxExpenseBenefit,0001018724-23-000004,USD,True,,,,,False,-5936000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001018724-23-000004,USD,True,53888000000.0,CashAndCashEquivalentsAtCarryingValue,0001018724-23-000004,USD,True,,,,,False,70542000000.0,LongTermDebt,0001018724-23-000004,USD,True,4397000000.0,FinanceLeaseLiabilityCurrent,0001018724-23-000004,USD,True,11386000000.0,FinanceLeaseLiabilityNoncurrent,0001018724-23-000004,USD,True,146043000000.0,StockholdersEquity,0001018724-23-000004,USD,True,53888000000.0,70542000000.0,-16893000000.0,0.5419474393530997,162697000000.0,5610227762.803234,0.034482674928260716,12248000000.0,False,-0.032866845790619534,6.2060984570169,True,True,AMZN,0001018724,ticker:AMZN,24
2021,469822000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001018724-22-000005,USD,True,33364000000.0,NetIncomeLoss,0001018724-22-000005,USD,True,46327000000.0,NetCashProvidedByUsedInOperatingActivities,0001018724-22-000005,USD,True,61053000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001018724-22-000005,USD,True,24879000000.0,OperatingIncomeLoss,0001018724-22-000005,USD,True,1809000000.0,InterestExpense,0001018724-22-000005,USD,True,4791000000.0,IncomeTaxExpenseBenefit,0001018724-22-000005,USD,True,,,,,False,38151000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001018724-22-000005,USD,True,36220000000.0,CashAndCashEquivalentsAtCarryingValue,0001018724-22-000005,USD,True,,,,,False,50553000000.0,LongTermDebt,0001018724-22-000005,USD,True,8083000000.0,FinanceLeaseLiabilityCurrent,0001018724-22-000005,USD,True,15670000000.0,FinanceLeaseLiabilityNoncurrent,0001018724-22-000005,USD,True,138245000000.0,StockholdersEquity,0001018724-22-000005,USD,True,36220000000.0,50553000000.0,-14726000000.0,0.12557993237398757,152578000000.0,21754696862.467564,0.1425808233327712,24879000000.0,False,-0.03134378551877094,-0.4413739359788994,True,True,AMZN,0001018724,ticker:AMZN,24
2020,386064000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001018724-21-000004,USD,True,21331000000.0,NetIncomeLoss,0001018724-21-000004,USD,True,66064000000.0,NetCashProvidedByUsedInOperatingActivities,0001018724-21-000004,USD,True,40140000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001018724-21-000004,USD,True,22899000000.0,OperatingIncomeLoss,0001018724-21-000004,USD,True,1647000000.0,InterestExpense,0001018724-21-000004,USD,True,2863000000.0,IncomeTaxExpenseBenefit,0001018724-21-000004,USD,True,,,,,False,24178000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001018724-21-000004,USD,True,42122000000.0,CashAndCashEquivalentsAtCarryingValue,0001018724-21-000004,USD,True,,,,,False,33174000000.0,LongTermDebt,0001018724-21-000004,USD,True,10374000000.0,FinanceLeaseLiabilityCurrent,0001018724-21-000004,USD,True,18060000000.0,FinanceLeaseLiabilityNoncurrent,0001018724-21-000004,USD,True,93404000000.0,StockholdersEquity,0001018724-21-000004,USD,True,42122000000.0,33174000000.0,25924000000.0,0.1184134337000579,84456000000.0,20187450781.702374,0.23902920789171134,22899000000.0,False,0.06714948816776493,1.2153204256715577,True,True,AMZN,0001018724,ticker:AMZN,24
2019,280522000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001018724-20-000004,USD,True,11588000000.0,NetIncomeLoss,0001018724-20-000004,USD,True,38514000000.0,NetCashProvidedByUsedInOperatingActivities,0001018724-20-000004,USD,True,16861000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001018724-20-000004,USD,True,14541000000.0,OperatingIncomeLoss,0001018724-20-000004,USD,True,1600000000.0,InterestExpense,0001018724-20-000004,USD,True,2374000000.0,IncomeTaxExpenseBenefit,0001018724-20-000004,USD,True,,,,,False,13976000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001018724-20-000004,USD,True,36092000000.0,CashAndCashEquivalentsAtCarryingValue,0001018724-20-000004,USD,True,,,,,False,24820000000.0,LongTermDebt,0001018724-20-000004,USD,True,9884000000.0,FinanceLeaseLiabilityCurrent,0001018724-20-000004,USD,True,17095000000.0,FinanceLeaseLiabilityNoncurrent,0001018724-20-000004,USD,True,62060000000.0,StockholdersEquity,0001018724-20-000004,USD,True,36092000000.0,24820000000.0,21653000000.0,0.16986262163709215,50788000000.0,12071027618.775042,0.23767479756586282,14541000000.0,False,0.07718824192041979,1.868570935450466,True,True,AMZN,0001018724,ticker:AMZN,24
2018,232887000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001018724-19-000004,USD,True,10073000000.0,NetIncomeLoss,0001018724-19-000004,USD,True,30723000000.0,NetCashProvidedByUsedInOperatingActivities,0001018724-19-000004,USD,True,13427000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001018724-19-000004,USD,True,12421000000.0,OperatingIncomeLoss,0001018724-19-000004,USD,True,1417000000.0,InterestExpense,0001018724-19-000004,USD,True,1197000000.0,IncomeTaxExpenseBenefit,0001018724-19-000004,USD,True,,,,,False,11261000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001018724-19-000004,USD,True,31750000000.0,CashAndCashEquivalentsAtCarryingValue,0001018724-19-000004,USD,True,,,,,False,24965000000.0,LongTermDebt,0001018724-19-000004,USD,True,1371000000.0,FinanceLeaseLiabilityCurrent,0001018724-19-000004,USD,True,23495000000.0,FinanceLeaseLiabilityNoncurrent,0001018724-19-000004,USD,True,43549000000.0,StockholdersEquity,0001018724-19-000004,USD,True,31750000000.0,24965000000.0,17296000000.0,0.10629606606873279,36764000000.0,11100696563.36027,0.3019447438624815,12421000000.0,False,0.0742677779352218,1.7170654224163606,True,True,AMZN,0001018724,ticker:AMZN,24
2017,177866000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001018724-18-000005,USD,True,3033000000.0,NetIncomeLoss,0001018724-18-000005,USD,True,18434000000.0,NetCashProvidedByUsedInOperatingActivities,0001018724-18-000005,USD,True,,,,,False,4106000000.0,OperatingIncomeLoss,0001018724-18-000005,USD,True,848000000.0,InterestExpense,0001018724-18-000005,USD,True,769000000.0,IncomeTaxExpenseBenefit,0001018724-18-000005,USD,True,,,,,False,3806000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001018724-18-000005,USD,True,20522000000.0,CashAndCashEquivalentsAtCarryingValue,0001018724-18-000005,USD,True,,,,,False,24942000000.0,LongTermDebt,0001018724-18-000005,USD,True,100000000.0,FinanceLeaseLiabilityCurrent,0001018724-18-000005,USD,True,24743000000.0,FinanceLeaseLiabilityNoncurrent,0001018724-18-000005,USD,True,27709000000.0,StockholdersEquity,0001018724-18-000005,USD,True,20522000000.0,24942000000.0,,0.20204939569101418,32129000000.0,3276385181.2926955,0.10197594638154613,4106000000.0,False,,,True,False,AMZN,0001018724,ticker:AMZN,24
2016,135987000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001018724-17-000011,USD,True,2371000000.0,NetIncomeLoss,0001018724-17-000011,USD,True,16443000000.0,NetCashProvidedByUsedInOperatingActivities,0001018724-17-000011,USD,True,6737000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001018724-17-000011,USD,True,4186000000.0,OperatingIncomeLoss,0001018724-17-000011,USD,True,484000000.0,InterestExpense,0001018724-17-000011,USD,True,1425000000.0,IncomeTaxExpenseBenefit,0001018724-17-000011,USD,True,,,,,False,3892000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001018724-17-000011,USD,True,19334000000.0,CashAndCashEquivalentsAtCarryingValue,0001018724-17-000011,USD,True,,,,,False,8838000000.0,LongTermDebt,0001018724-17-000011,USD,True,1056000000.0,FinanceLeaseLiabilityCurrent,0001018724-17-000011,USD,True,7694000000.0,FinanceLeaseLiabilityNoncurrent,0001018724-17-000011,USD,True,19285000000.0,StockholdersEquity,0001018724-17-000011,USD,True,19334000000.0,8838000000.0,9706000000.0,0.36613566289825283,8789000000.0,2653356115.1079135,0.3018951092397216,4186000000.0,False,0.07137446961841941,4.0936313791649095,True,True,AMZN,0001018724,ticker:AMZN,24
