Year,revenue,net_income,pe_ratio,cash,total_assets
2026,9700000000.0,4560000000.0,,,
2025,9000000000.0,4240000000.0,46.8,10740000000.0,19440000000.0
2024,7000000000.0,3260000000.0,48.6,8300000000.000001,14040000000.0
2023,5860000000.0,2420000000.0,34.9,5000000000.0,9950000000.0
2022,4380000000.0,1580000000.0,27.5,3020000000.0,6770000000.0
2021,2940000000.0,930000000.0,52.4,3400000000.0,5730000000.0
2020,2310000000.0,730000000.0,34.8,2870000000.0,4730000000.0
2019,2410000000.0,860000000.0,18.1,2720000000.0,4179999999.9999995
2018,2150000000.0,280000000.0,24.8,1950000000.0,3080000000.0
2017,1640000000.0,470000000.0,40.3,1530000000.0,2460000000.0
2016,1120000000.0,240000000.0,36.2,860000000.0,1720000000.0
2015,830000000.0,140000000.0,43.2,680000000.0,1150000000.0
2014,580000000.0,120000000.0,47.1,440000000.0,810000000.0
2013,360000000.0,58270000.0,,110000000.0,360000000.0
2012,,,,88650000.0,220000000.0
