year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,9005700000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001596532-26-000013,USD,True,3511400000.0,NetIncomeLoss,0001596532-26-000013,USD,True,4371900000.0,NetCashProvidedByUsedInOperatingActivities,0001596532-26-000013,USD,True,119500000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001596532-26-000013,USD,True,3856100000.0,OperatingIncomeLoss,0001596532-26-000013,USD,True,,,,,False,738300000.0,IncomeTaxExpenseBenefit,0001596532-26-000013,USD,True,0.1737,EffectiveIncomeTaxRateContinuingOperations,0001596532-26-000013,pure,True,4249700000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001596532-26-000013,USD,True,1963900000.0,CashAndCashEquivalentsAtCarryingValue,0001596532-26-000013,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,12370500000.0,StockholdersEquity,0001596532-26-000013,USD,True,1963900000.0,,4252400000.0,0.1737299103466127,,,,3856100000.0,False,0.47218983532651543,1.2110269408213248,False,True,ANET,0001596532,ticker:ANET,12
2024,7003146000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001596532-25-000028,USD,True,2852054000.0,NetIncomeLoss,0001596532-25-000028,USD,True,3708235000.0,NetCashProvidedByUsedInOperatingActivities,0001596532-25-000028,USD,True,32032000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001596532-25-000028,USD,True,2944616000.0,OperatingIncomeLoss,0001596532-25-000028,USD,True,,,,,False,412980000.0,IncomeTaxExpenseBenefit,0001596532-25-000028,USD,True,0.1265,EffectiveIncomeTaxRateContinuingOperations,0001596532-25-000028,pure,True,3265034000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001596532-25-000028,USD,True,2762357000.0,CashAndCashEquivalentsAtCarryingValue,0001596532-25-000028,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,9994807000.0,StockholdersEquity,0001596532-25-000028,USD,True,2762357000.0,,3676203000.0,0.1264856659991902,,,,2944616000.0,False,0.5249359359350784,1.2889668288188092,False,True,ANET,0001596532,ticker:ANET,12
2023,5860168000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001596532-24-000043,USD,True,2087321000.0,NetIncomeLoss,0001596532-24-000043,USD,True,2034014000.0,NetCashProvidedByUsedInOperatingActivities,0001596532-24-000043,USD,True,34434000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001596532-24-000043,USD,True,2257249000.0,OperatingIncomeLoss,0001596532-24-000043,USD,True,,,,,False,334705000.0,IncomeTaxExpenseBenefit,0001596532-24-000043,USD,True,0.1381,EffectiveIncomeTaxRateContinuingOperations,0001596532-24-000043,pure,True,2422026000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001596532-24-000043,USD,True,1938606000.0,CashAndCashEquivalentsAtCarryingValue,0001596532-24-000043,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,7219059000.0,StockholdersEquity,0001596532-24-000043,USD,True,1938606000.0,,1999580000.0,0.13819215813537922,,,,2257249000.0,False,0.34121547368607863,0.95796477877624,False,True,ANET,0001596532,ticker:ANET,12
2022,4381310000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001596532-23-000016,USD,True,1352446000.0,NetIncomeLoss,0001596532-23-000016,USD,True,492813000.0,NetCashProvidedByUsedInOperatingActivities,0001596532-23-000016,USD,True,1411000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001596532-23-000016,USD,True,1527106000.0,OperatingIncomeLoss,0001596532-23-000016,USD,True,,,,,False,229350000.0,IncomeTaxExpenseBenefit,0001596532-23-000016,USD,True,0.145,EffectiveIncomeTaxRateContinuingOperations,0001596532-23-000016,pure,True,1581796000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001596532-23-000016,USD,True,671707000.0,CashAndCashEquivalentsAtCarryingValue,0001596532-23-000016,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,4885820000.0,StockholdersEquity,0001596532-23-000016,USD,True,671707000.0,,491402000.0,0.14499341255130244,,,,1527106000.0,False,0.11215869226327285,0.36334315750869167,False,True,ANET,0001596532,ticker:ANET,12
2021,2948037000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001596532-22-000026,USD,True,840854000.0,NetIncomeLoss,0001596532-22-000026,USD,True,1015856000.0,NetCashProvidedByUsedInOperatingActivities,0001596532-22-000026,USD,True,3497000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001596532-22-000026,USD,True,924739000.0,OperatingIncomeLoss,0001596532-22-000026,USD,True,,,,,False,90025000.0,IncomeTaxExpenseBenefit,0001596532-22-000026,USD,True,0.0967,EffectiveIncomeTaxRateContinuingOperations,0001596532-22-000026,pure,True,930879000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001596532-22-000026,USD,True,620813000.0,CashAndCashEquivalentsAtCarryingValue,0001596532-22-000026,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,3978600000.0,StockholdersEquity,0001596532-22-000026,USD,True,620813000.0,,1012359000.0,0.09670966903324707,,,,924739000.0,False,0.34340104957977124,1.2039652543723405,False,True,ANET,0001596532,ticker:ANET,12
2020,2317512000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001596532-21-000049,USD,True,634557000.0,NetIncomeLoss,0001596532-21-000049,USD,True,735114000.0,NetCashProvidedByUsedInOperatingActivities,0001596532-21-000049,USD,True,1565000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001596532-21-000049,USD,True,699684000.0,OperatingIncomeLoss,0001596532-21-000049,USD,True,,,,,False,104306000.0,IncomeTaxExpenseBenefit,0001596532-21-000049,USD,True,0.1412,EffectiveIncomeTaxRateContinuingOperations,0001596532-21-000049,pure,True,738863000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001596532-21-000049,USD,True,893219000.0,CashAndCashEquivalentsAtCarryingValue,0001596532-21-000049,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,3320291000.0,StockholdersEquity,0001596532-21-000049,USD,True,893219000.0,,733549000.0,0.14117096132841947,,,,699684000.0,False,0.3165243588814211,1.1560017461000351,False,True,ANET,0001596532,ticker:ANET,12
2019,2410706000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001596532-20-000024,USD,True,859867000.0,NetIncomeLoss,0001596532-20-000024,USD,True,963034000.0,NetCashProvidedByUsedInOperatingActivities,0001596532-20-000024,USD,True,15751000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001596532-20-000024,USD,True,805774000.0,OperatingIncomeLoss,0001596532-20-000024,USD,True,,,,,False,2403000.0,IncomeTaxExpenseBenefit,0001596532-20-000024,USD,True,0.0028,EffectiveIncomeTaxRateContinuingOperations,0001596532-20-000024,pure,True,862270000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001596532-20-000024,USD,True,1111286000.0,CashAndCashEquivalentsAtCarryingValue,0001596532-20-000024,USD,True,,,,,False,,,,,False,,,,,False,0.0,FinanceLeaseLiabilityNoncurrent,0001596532-20-000024,USD,True,2894686000.0,StockholdersEquity,0001596532-20-000024,USD,True,1111286000.0,0.0,947283000.0,0.002786830111218064,1783400000.0,803528444.7539634,0.4505598546338249,805774000.0,False,0.3929483728003332,1.1016622338105777,True,True,ANET,0001596532,ticker:ANET,12
2018,2151369000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001596532-19-000027,USD,True,328115000.0,NetIncomeLoss,0001596532-19-000027,USD,True,503119000.0,NetCashProvidedByUsedInOperatingActivities,0001596532-19-000027,USD,True,23830000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001596532-19-000027,USD,True,273347000.0,OperatingIncomeLoss,0001596532-19-000027,USD,True,2701000.0,InterestExpense,0001596532-19-000027,USD,True,-39314000.0,IncomeTaxExpenseBenefit,0001596532-19-000027,USD,True,-0.1361,EffectiveIncomeTaxRateContinuingOperations,0001596532-19-000027,pure,True,288801000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001596532-19-000027,USD,True,649950000.0,CashAndCashEquivalentsAtCarryingValue,0001596532-19-000027,USD,True,,,,,False,,,,,False,2312000.0,FinanceLeaseLiabilityCurrent,0001596532-19-000027,USD,True,35431000.0,FinanceLeaseLiabilityNoncurrent,0001596532-19-000027,USD,True,2143389000.0,StockholdersEquity,0001596532-19-000027,USD,True,649950000.0,37743000.0,479289000.0,-0.13612833750575656,1531182000.0,310557272.672186,0.2028219197144337,273347000.0,False,0.22278326033330406,1.4607348033463876,True,True,ANET,0001596532,ticker:ANET,12
2017,1646186000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001596532-18-000018,USD,True,423201000.0,NetIncomeLoss,0001596532-18-000018,USD,True,631627000.0,NetCashProvidedByUsedInOperatingActivities,0001596532-18-000018,USD,True,15279000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001596532-18-000018,USD,True,470272000.0,OperatingIncomeLoss,0001596532-18-000018,USD,True,,,,,False,51559000.0,IncomeTaxExpenseBenefit,0001596532-18-000018,USD,True,0.1086,EffectiveIncomeTaxRateContinuingOperations,0001596532-18-000018,pure,True,474760000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001596532-18-000018,USD,True,859192000.0,CashAndCashEquivalentsAtCarryingValue,0001596532-18-000018,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,1661914000.0,StockholdersEquity,0001596532-18-000018,USD,True,859192000.0,,616348000.0,0.10860013480495408,,,,470272000.0,False,0.3744096961096741,1.4563954243964452,False,True,ANET,0001596532,ticker:ANET,12
2016,1129167000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001596532-17-000019,USD,True,184189000.0,NetIncomeLoss,0001596532-17-000019,USD,True,131440000.0,NetCashProvidedByUsedInOperatingActivities,0001596532-17-000019,USD,True,21419000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001596532-17-000019,USD,True,243409000.0,OperatingIncomeLoss,0001596532-17-000019,USD,True,,,,,False,58036000.0,IncomeTaxExpenseBenefit,0001596532-17-000019,USD,True,0.2396,EffectiveIncomeTaxRateContinuingOperations,0001596532-17-000019,pure,True,242225000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001596532-17-000019,USD,True,567923000.0,CashAndCashEquivalentsAtCarryingValue,0001596532-17-000019,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,1107820000.0,StockholdersEquity,0001596532-17-000019,USD,True,567923000.0,,110021000.0,0.23959541748374447,,,,243409000.0,False,0.09743554319245958,0.5973266590295837,False,True,ANET,0001596532,ticker:ANET,12
