Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,17480000000.0,5850000000.0,,,,
2025,17180000000.0,5570000000.0,20.6,2790000000.0,50780000000.0,
2024,15690000000.0,4250000000.0,28.0,11620000000.0,48960000000.0,
2023,13370000000.0,3650000000.0,22.8,1140000000.0,33950000000.000004,
2022,12470000000.0,3560000000.0,24.1,1140000000.0,32700000000.000004,
2021,12190000000.0,2250000000.0,51.7,830000000.0,31910000000.0,
2020,11060000000.0,2800000000.0,24.0,1190000000.0,32110000000.0,
2019,11010000000.0,2170000000.0,31.1,920000000.0,29400000000.0,
2018,10770000000.0,1520000000.0,29.8,820000000.0,26420000000.0,
2017,9990000000.0,960000000.0,26.8,1280000000.0,26080000000.0,
2016,10080000000.0,1840000000.0,19.5,710000000.0,26610000000.0,
2015,11680000000.0,1960000000.0,17.0,740000000.0,26880000000.0,
2014,12040000000.0,2020000000.0,18.0,760000000.0,29770000000.0,
2013,11810000000.0,1740000000.0,20.9,1000000000.0,30250000000.0,
2012,11510000000.0,1600000000.0,16.2,630000000.0,30480000000.0,
2011,11280000000.0,1620000000.0,,1050000000.0,29550000000.0,
2010,8510000000.0,1240000000.0,,1130000000.0,28980000000.0,
2009,7570000000.0,1070000000.0000001,,630000000.0,22950000000.0,
2008,7620000000.0,1000000000.0,,1500000000.0,22940000000.0,
2007,5600000000.0,910000000.0,,6300000000.0,24920000000.0,
2006,8950000000.0,1270000000.0,,4610000000.0,24380000000.0,
2005,9150000000.0,1030000000.0,,5280000000.0,27810000000.0,
2004,10110000000.0,1180000000.0,,5660000000.0,28320000000.0,
2003,9750000000.0,1220000000.0,,4350000000.0,27020000000.0,
2002,8810000000.0,3200000000.0,,6580000000.0,25330000000.0,
2001,7670000000.0,520000000.0,,6140000000.0,22330000000.0,
2000,7370000000.0,990000000.0,,3440000000.0,,
1999,7070000000.0,740000000.0,,3190000000.0,,
1998,6490000000.0,1010000000.0,,2940000000.0,,
1997,5750000000.0,640000000.0,,5920000000.0,,
1996,3880000000.0,690000000.0,,5120000000.0,,
