Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,41020000000.0,14520000000.0,,,,
2025,37670000000.0,13020000000.0,37.5,15640000000.0,59400000000.0,
2024,30360000000.0,9680000000.0,33.4,13250000000.0,50560000000.0,
2023,29920000000.0,10030000000.0,34.6,7740000000.0,44170000000.0,
2022,22150000000.0,6790000000.0,36.2,7910000000.0,38930000000.0,
2021,21590000000.0,7570000000.0,46.1,8590000000.0,34229999999.999996,
2020,16300000000.0,4760000000.0,46.9,9040000000.0,33530000000.0,
2019,13190000000.0,3110000000.0,41.0,5280000000.0,25350000000.0,
2018,12830000000.0,3480000000.0,20.4,4610000000.0,23030000000.0,
2017,10420000000.0,2760000000.0,28.4,3940000000.0,21820000000.0,
2016,7480000000.0,1710000000.0,27.3,4260000000.0,18090000000.0,
2015,6910000000.0,1620000000.0,22.8,3720000000.0,14530000000.0,
2014,7660000000.0,1570000000.0,,3340000000.0,14840000000.0,
2013,7020000000.0,1320000000.0,26.5,4150000000.0000005,15900000000.0,
2012,6150000000.0,1500000000.0,16.2,3560000000.0,9800000000.0,
2011,7820000000.0,2330000000.0,6.47,3540000000.0,9420000000.0,
2010,5970000000.0,1670000000.0,,2590000000.0,8220000000.000001,
2009,2270000000.0,,,1480000000.0,5390000000.0,
2008,4460000000.0,460000000.0,,1550000000.0,5500000000.0,
2007,5270000000.0,1170000000.0,,1850000000.0,5940000000.0,
2006,4570000000.0,1110000000.0,,2180000000.0,5210000000.0,
2005,3080000000.0,540000000.0,,2250000000.0,4440000000.0,
2004,3120000000.0,480000000.0,,1660000000.0,4390000000.0,
2003,1800000000.0,,,1290000000.0,3600000000.0,
2002,2160000000.0,,,690000000.0,3440000000.0,
2001,1660000000.0,,,800000000.0,3220000000.0,
2000,1930000000.0,,,660000000.0,,
1999,1240000000.0,,,600000000.0,,
1998,940000000.0,,,170000000.0,,
1997,890000000.0,200000000.0,,39290000.0,,
1996,700000000.0,170000000.0,,69640000.0,,
