year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,price_to_sales,price_to_book
2026,19980000000.0,149.14,3130000000.0,,,,,,,,16460000.0,2.4,
2025,19280000000.0,147.29,3070000000.0,16.55,270000000.0,12280000000.0,19350000000.0,,23.0,22760000000.0,16649999.999999998,3.42,-17.0
2024,18570000000.0,,3310000000.0,18.05,290000000.0,12360000000.0,17170000000.000002,,,21920000000.0,16910000.0,2.88,-11.6
2023,17560000000.0,,3280000000.0,18.15,270000000.0,10920000000.0,15980000000.0,,,20330000000.0,17700000.0,2.58,-8.58
2022,16440000000.000002,,3110000000.0,18.95,260000000.0,9290000000.0,15270000000.0,,,18810000000.0,19000000.0,2.86,-12.1
2021,15140000000.0,105.59,2890000000.0,18.79,1170000000.0,8220000000.000001,14510000000.0,,19.9,16309999999.999998,20980000.0,2.48,-20.4
2020,12990000000.0,78.08,2320000000.0,17.55,1750000000.0,8300000000.000001,14420000000.0,,15.2,15300000000.0,23220000.0,2.03,-26.3
2019,12010000000.0,,2029999999.9999998,17.12,170000000.0,5260000000.0,9890000000.0,,,11600000000.0,23870000.0,2.32,-15.8
2018,11270000000.0,,1650000000.0,14.58,210000000.0,5050000000.0,9340000000.0,,,10860000000.0,25620000.0,1.81,-12.7
2017,11000000000.0,,1920000000.0,17.68,290000000.0,5120000000.0,9250000000.0,,,10680000000.0,27630000.0,1.7,-12.8
2016,10710000000.0,42.76,1930000000.0,17.98,180000000.0,4960000000.0,8590000000.0,,18.5,10380000000.0,28950000.0,2.09,-11.9
2015,10310000000.0,37.89,1830000000.0,17.69,170000000.0,4660000000.0,8100000000.0,,19.6,9800000000.0,30490000.0,2.3,-12.6
2014,9640000000.0,33.27,1690000000.0,17.55,120000000.0,4350000000.0,7490000000.0,,18.6,9110000000.0,32130000.000000004,1.91,-11.9
2013,9250000000.0,29.23,1600000000.0,17.36,140000000.0,4210000000.0,6890000000.0,,16.4,8570000000.0,34110000.0,1.68,-9.36
2012,8670000000.0,24.85,1470000000.0,16.89,100000000.0,3790000000.0,6260000000.0,,14.3,7810000000.0,36840000.0,1.61,-8.09
2011,8199999999.999999,20.97,1350000000.0,16.4,97600000.0,3370000000.0,5860000000.0,,15.5,7120000000.0,39860000.0,1.57,-9.5
2010,7560000000.0,16.3,1200000000.0,15.76,98280000.0,2930000000.0,5570000000.0,,16.7,6310000000.0,44660000.0,1.51,-14.6
2009,6920000000.0,,1050000000.0,15.16,92700000.0,2740000000.0,5310000000.0,,,5750000000.0,50110000.0,1.06,-16.2
2008,6540000000.0,,1000000000.0,15.44,240000000.0,2250000000.0,5250000000.0,220000000.0,,5020000000.0,58320000.0,0.9589,134.0
2007,6230000000.0,,940000000.0,15.17,86650000.0,1950000000.0,4800000000.0,400000000.0,,4400000000.0,64849999.99999999,1.13,44.3
2006,6000000000.0,,910000000.0,15.16,91550000.0,1850000000.0,4520000000.0,460000000.0,,4050000000.0,71080000.0,1.34,15.2
2005,5760000000.0,,860000000.0,15.29,74810000.0,1860000000.0,4240000000.0,390000000.0,,3850000000.0,76580000.0,1.19,13.5
2004,5640000000.0,,900000000.0,16.07,76850000.0,1860000000.0,3910000000.0,170000000.0,,3740000000.0,79710000.0,1.21,26.2
2003,5520000000.0,,850000000.0,15.26,93100000.0,1540000000.0,3760000000.0,370000000.0,,3390000000.0,88740000.0,1.51,15.7
2002,5360000000.0,,720000000.0,12.98,6490000.0,1190000000.0,3470000000.0,680000000.0,,2780000000.0,98800000.0,1.48,9.13
2001,4930000000.0,,330000000.0,5.96,7280000.0,1220000000.0,3430000000.0,860000000.0,,2560000000.0,100000000.0,1.46,
2000,4530000000.0,,430000000.0,,6960000.0,1240000000.0,,,,,110000000.0,,
1999,4219999999.9999995,,390000000.0,,5910000.0,880000000.0,,,,,140000000.0,,
1998,3460000000.0,,360000000.0,,6600000.0,540000000.0,,,,,150000000.0,,
1997,2790000000.0,,320000000.0,,4700000.0,190000000.0,,,,,150000000.0,,
1996,2340000000.0,,270000000.0,,3900000.0,110000000.0,,,,,150000000.0,,
