Year,revenue,net_income,pe_ratio,cash,total_assets
2026,19980000000.0,3130000000.0,,,
2025,19280000000.0,3070000000.0,23.0,270000000.0,19350000000.0
2024,18570000000.0,3310000000.0,,290000000.0,17170000000.000002
2023,17560000000.0,3280000000.0,,270000000.0,15980000000.0
2022,16440000000.000002,3110000000.0,,260000000.0,15270000000.0
2021,15140000000.0,2890000000.0,19.9,1170000000.0,14510000000.0
2020,12990000000.0,2320000000.0,15.2,1750000000.0,14420000000.0
2019,12010000000.0,2029999999.9999998,,170000000.0,9890000000.0
2018,11270000000.0,1650000000.0,,210000000.0,9340000000.0
2017,11000000000.0,1920000000.0,,290000000.0,9250000000.0
2016,10710000000.0,1930000000.0,18.5,180000000.0,8590000000.0
2015,10310000000.0,1830000000.0,19.6,170000000.0,8100000000.0
2014,9640000000.0,1690000000.0,18.6,120000000.0,7490000000.0
2013,9250000000.0,1600000000.0,16.4,140000000.0,6890000000.0
2012,8670000000.0,1470000000.0,14.3,100000000.0,6260000000.0
2011,8199999999.999999,1350000000.0,15.5,97600000.0,5860000000.0
2010,7560000000.0,1200000000.0,16.7,98280000.0,5570000000.0
2009,6920000000.0,1050000000.0,,92700000.0,5310000000.0
2008,6540000000.0,1000000000.0,,240000000.0,5250000000.0
2007,6230000000.0,940000000.0,,86650000.0,4800000000.0
2006,6000000000.0,910000000.0,,91550000.0,4520000000.0
2005,5760000000.0,860000000.0,,74810000.0,4240000000.0
2004,5640000000.0,900000000.0,,76850000.0,3910000000.0
2003,5520000000.0,850000000.0,,93100000.0,3760000000.0
2002,5360000000.0,720000000.0,,6490000.0,3470000000.0
2001,4930000000.0,330000000.0,,7280000.0,3430000000.0
2000,4530000000.0,430000000.0,,6960000.0,
1999,4219999999.9999995,390000000.0,,5910000.0,
1998,3460000000.0,360000000.0,,6600000.0,
1997,2790000000.0,320000000.0,,4700000.0,
1996,2340000000.0,270000000.0,,3900000.0,
