year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,18938717000.0,Revenues,0001104659-25-102611,USD,True,2498247000.0,NetIncomeLoss,0001104659-25-102611,USD,True,3117337000.0,NetCashProvidedByUsedInOperatingActivities,0001104659-25-102611,USD,True,1327257000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001104659-25-102611,USD,True,3610156000.0,OperatingIncomeLoss,0001104659-25-102611,USD,True,,,,,False,636085000.0,IncomeTaxExpenseBenefit,0001104659-25-102611,USD,True,0.203,EffectiveIncomeTaxRateContinuingOperations,0001104659-25-102611,pure,True,3134332000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001104659-25-102611,USD,True,271803000.0,CashAndCashEquivalentsAtCarryingValue,0001104659-25-102611,USD,True,,,,,False,,,,,False,111521000.0,FinanceLeaseLiabilityCurrent,0001104659-25-102611,USD,True,288419000.0,FinanceLeaseLiabilityNoncurrent,0001104659-25-102611,USD,True,-3414313000.0,StockholdersEquity,0001104659-25-102611,USD,True,271803000.0,399940000.0,1790080000.0,0.20294116896359415,-3286176000.0,2877506721.2190666,-0.875639868716425,3610156000.0,False,0.0945196023574353,0.7165344339450823,True,True,AZO,0000866787,ticker:AZO,26
2024,18490268000.0,Revenues,0001558370-24-013758,USD,True,2662427000.0,NetIncomeLoss,0001558370-24-013758,USD,True,3004116000.0,NetCashProvidedByUsedInOperatingActivities,0001558370-24-013758,USD,True,1072696000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001558370-24-013758,USD,True,3788708000.0,OperatingIncomeLoss,0001558370-24-013758,USD,True,,,,,False,674703000.0,IncomeTaxExpenseBenefit,0001558370-24-013758,USD,True,0.202,EffectiveIncomeTaxRateContinuingOperations,0001558370-24-013758,pure,True,3337130000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001558370-24-013758,USD,True,298172000.0,CashAndCashEquivalentsAtCarryingValue,0001558370-24-013758,USD,True,,,,,False,,,,,False,115559000.0,FinanceLeaseLiabilityCurrent,0001558370-24-013758,USD,True,283882000.0,FinanceLeaseLiabilityNoncurrent,0001558370-24-013758,USD,True,-4749614000.0,StockholdersEquity,0001558370-24-013758,USD,True,298172000.0,399441000.0,1931420000.0,0.20218061627805928,-4648345000.0,3022704681.6623864,-0.6502754596877784,3788708000.0,False,0.10445603059944832,0.7254358523257164,True,True,AZO,0000866787,ticker:AZO,26
2023,17457209000.0,Revenues,0001558370-23-016668,USD,True,2528426000.0,NetIncomeLoss,0001558370-23-016668,USD,True,2940788000.0,NetCashProvidedByUsedInOperatingActivities,0001558370-23-016668,USD,True,796657000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001558370-23-016668,USD,True,3473986000.0,OperatingIncomeLoss,0001558370-23-016668,USD,True,320121000.0,InterestExpense,0001558370-23-016668,USD,True,639188000.0,IncomeTaxExpenseBenefit,0001558370-23-016668,USD,True,0.202,EffectiveIncomeTaxRateContinuingOperations,0001558370-23-016668,pure,True,3167614000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001558370-23-016668,USD,True,277054000.0,CashAndCashEquivalentsAtCarryingValue,0001558370-23-016668,USD,True,,,,,False,,,,,False,86916000.0,FinanceLeaseLiabilityCurrent,0001558370-23-016668,USD,True,200702000.0,FinanceLeaseLiabilityNoncurrent,0001558370-23-016668,USD,True,-4349894000.0,StockholdersEquity,0001558370-23-016668,USD,True,277054000.0,287618000.0,2144131000.0,0.20178847548975348,-4339330000.0,2772975661.1872535,-0.6390331367255437,3473986000.0,False,0.12282209601775404,0.8480101849925605,True,True,AZO,0000866787,ticker:AZO,26
2022,16252230000.0,Revenues,0001558370-22-015239,USD,True,2429604000.0,NetIncomeLoss,0001558370-22-015239,USD,True,3211135000.0,NetCashProvidedByUsedInOperatingActivities,0001558370-22-015239,USD,True,672391000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001558370-22-015239,USD,True,3270729000.0,OperatingIncomeLoss,0001558370-22-015239,USD,True,198883000.0,InterestExpense,0001558370-22-015239,USD,True,649487000.0,IncomeTaxExpenseBenefit,0001558370-22-015239,USD,True,0.211,EffectiveIncomeTaxRateContinuingOperations,0001558370-22-015239,pure,True,3079091000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001558370-22-015239,USD,True,264380000.0,CashAndCashEquivalentsAtCarryingValue,0001558370-22-015239,USD,True,,,,,False,,,,,False,92877000.0,FinanceLeaseLiabilityCurrent,0001558370-22-015239,USD,True,217428000.0,FinanceLeaseLiabilityNoncurrent,0001558370-22-015239,USD,True,-3538913000.0,StockholdersEquity,0001558370-22-015239,USD,True,264380000.0,310305000.0,2538744000.0,0.21093465571494963,-3492988000.0,2580818904.4480987,-0.7388570772210207,3270729000.0,False,0.15620896332380232,1.0449209006899889,True,True,AZO,0000866787,ticker:AZO,26
2021,14629585000.0,Revenues,0001558370-21-013446,USD,True,2170314000.0,NetIncomeLoss,0001558370-21-013446,USD,True,3518543000.0,NetCashProvidedByUsedInOperatingActivities,0001558370-21-013446,USD,True,621767000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001558370-21-013446,USD,True,2944527000.0,OperatingIncomeLoss,0001558370-21-013446,USD,True,202326000.0,InterestExpense,0001558370-21-013446,USD,True,578876000.0,IncomeTaxExpenseBenefit,0001558370-21-013446,USD,True,0.211,EffectiveIncomeTaxRateContinuingOperations,0001558370-21-013446,pure,True,2749190000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001558370-21-013446,USD,True,1171335000.0,CashAndCashEquivalentsAtCarryingValue,0001558370-21-013446,USD,True,,,,,False,,,,,False,89932000.0,FinanceLeaseLiabilityCurrent,0001558370-21-013446,USD,True,186122000.0,FinanceLeaseLiabilityNoncurrent,0001558370-21-013446,USD,True,-1797536000.0,StockholdersEquity,0001558370-21-013446,USD,True,1171335000.0,276054000.0,2896776000.0,0.21056238382941886,-2692817000.0,2324520375.629913,-0.8632299839275795,2944527000.0,False,0.19800807746767937,1.3347266801025106,True,True,AZO,0000866787,ticker:AZO,26
2020,12631967000.0,Revenues,0001558370-20-011748,USD,True,1732972000.0,NetIncomeLoss,0001558370-20-011748,USD,True,2720108000.0,NetCashProvidedByUsedInOperatingActivities,0001558370-20-011748,USD,True,457736000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001558370-20-011748,USD,True,2417679000.0,OperatingIncomeLoss,0001558370-20-011748,USD,True,208021000.0,InterestExpense,0001558370-20-011748,USD,True,483542000.0,IncomeTaxExpenseBenefit,0001558370-20-011748,USD,True,0.218,EffectiveIncomeTaxRateContinuingOperations,0001558370-20-011748,pure,True,2216514000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001558370-20-011748,USD,True,1750815000.0,CashAndCashEquivalentsAtCarryingValue,0001558370-20-011748,USD,True,,,,,False,,,,,False,67498000.0,FinanceLeaseLiabilityCurrent,0001558370-20-011748,USD,True,5513371000.0,FinanceLeaseLiabilityNoncurrent,0001558370-20-011748,USD,True,-877977000.0,StockholdersEquity,0001558370-20-011748,USD,True,1750815000.0,5580869000.0,2262372000.0,0.2181542728807488,2952077000.0,1890251995.6959438,0.640312564914785,2417679000.0,False,0.17909894793107042,1.3054867591628716,True,True,AZO,0000866787,ticker:AZO,26
2019,11863743000.0,Revenues,0001193125-19-276201,USD,True,1617221000.0,NetIncomeLoss,0001193125-19-276201,USD,True,2128513000.0,NetCashProvidedByUsedInOperatingActivities,0001193125-19-276201,USD,True,496050000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-19-276201,USD,True,2216137000.0,OperatingIncomeLoss,0001193125-19-276201,USD,True,193671000.0,InterestExpense,0001193125-19-276201,USD,True,414112000.0,IncomeTaxExpenseBenefit,0001193125-19-276201,USD,True,0.204,EffectiveIncomeTaxRateContinuingOperations,0001193125-19-276201,pure,True,2031333000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001193125-19-276201,USD,True,176300000.0,CashAndCashEquivalentsAtCarryingValue,0001193125-19-276201,USD,True,,,,,False,,,,,False,,,,,False,5206344000.0,FinanceLeaseLiabilityNoncurrent,0001193125-19-276201,USD,True,-1713851000.0,StockholdersEquity,0001193125-19-276201,USD,True,176300000.0,5206344000.0,1632463000.0,0.20386219295408484,3316193000.0,1764350451.2933133,0.5320409431216196,2216137000.0,False,0.1376010083832733,1.0094248095962148,True,True,AZO,0000866787,ticker:AZO,26
2018,11221077000.0,Revenues,0001193125-18-306452,USD,True,1337536000.0,NetIncomeLoss,0001193125-18-306452,USD,True,2080292000.0,NetCashProvidedByUsedInOperatingActivities,0001193125-18-306452,USD,True,521788000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-18-306452,USD,True,1810856000.0,OperatingIncomeLoss,0001193125-18-306452,USD,True,181668000.0,InterestExpense,0001193125-18-306452,USD,True,298793000.0,IncomeTaxExpenseBenefit,0001193125-18-306452,USD,True,0.183,EffectiveIncomeTaxRateContinuingOperations,0001193125-18-306452,pure,True,1636329000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001193125-18-306452,USD,True,217824000.0,CashAndCashEquivalentsAtCarryingValue,0001193125-18-306452,USD,True,,,,,False,,,,,False,,,,,False,5005930000.0,FinanceLeaseLiabilityNoncurrent,0001193125-18-306452,USD,True,-1520355000.0,StockholdersEquity,0001193125-18-306452,USD,True,217824000.0,5005930000.0,1558504000.0,0.18259958724681893,3267751000.0,1480194441.8365746,0.4529703890647037,1810856000.0,False,0.13889076779350146,1.1652052729795683,True,True,AZO,0000866787,ticker:AZO,26
2017,10888676000.0,Revenues,0001193125-17-319357,USD,True,1280869000.0,NetIncomeLoss,0001193125-17-319357,USD,True,,,,,False,553832000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-17-319357,USD,True,2080069000.0,OperatingIncomeLoss,0001193125-17-319357,USD,True,159329000.0,InterestExpense,0001193125-17-319357,USD,True,644620000.0,IncomeTaxExpenseBenefit,0001193125-17-319357,USD,True,0.335,EffectiveIncomeTaxRateContinuingOperations,0001193125-17-319357,pure,True,1925489000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001193125-17-319357,USD,True,293270000.0,CashAndCashEquivalentsAtCarryingValue,0001193125-17-319357,USD,True,,,,,False,,,,,False,,,,,False,5081238000.0,FinanceLeaseLiabilityNoncurrent,0001193125-17-319357,USD,True,-1428377000.0,StockholdersEquity,0001193125-17-319357,USD,True,293270000.0,5081238000.0,,0.3347824890196724,3359591000.0,1383698322.847339,0.411865111808949,2080069000.0,False,,,True,False,AZO,0000866787,ticker:AZO,26
2016,10635676000.0,Revenues,0001193125-16-745160,USD,True,1241007000.0,NetIncomeLoss,0001193125-16-745160,USD,True,,,,,False,488791000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-16-745160,USD,True,2060395000.0,OperatingIncomeLoss,0001193125-16-745160,USD,True,150961000.0,InterestExpense,0001193125-16-745160,USD,True,671707000.0,IncomeTaxExpenseBenefit,0001193125-16-745160,USD,True,0.351,EffectiveIncomeTaxRateContinuingOperations,0001193125-16-745160,pure,True,1912714000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001193125-16-745160,USD,True,189734000.0,CashAndCashEquivalentsAtCarryingValue,0001193125-16-745160,USD,True,,,,,False,,,,,False,,,,,False,4924119000.0,FinanceLeaseLiabilityNoncurrent,0001193125-16-745160,USD,True,-1787538000.0,StockholdersEquity,0001193125-16-745160,USD,True,189734000.0,4924119000.0,,0.351180050964232,2946847000.0,1336825378.893551,0.4536460083925467,2060395000.0,False,,,True,False,AZO,0000866787,ticker:AZO,26
