year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,,,,,,,,,,,,1.82,,
2025,38160000000.0,0.93,3460000000.0,,4870000000.0,12180000000.0,50740000000.0,16070000000.0,24.6,34660000000.0,2990000000.0,1.99,1.8,4.28
2024,33009999999.999996,0.81,2920000000.0,,4500000000.0,12860000000.0,47860000000.0,14770000000.0,18.7,33080000000.0,3010000000.0,2.69,1.32,2.95
2023,29400000000.0,0.78,2960000000.0,,5180000000.0,8250000000.0,40840000000.0,13660000000.0,18.9,27180000000.0,3030000000.0,2.53,1.45,3.13
2022,25710000000.0,0.62,2400000000.0,,3690000000.0,8230000000.0,38060000000.0,13790000000.0,18.4,24270000000.0,3110000000.0,2.99,1.25,2.34
2021,26350000000.0,0.75,2840000000.0,,3820000000.0,8570000000.0,36620000000.0,10350000000.0,9.79,26270000000.0,3180000000.0,4.41,1.06,2.71
2020,26270000000.0,0.55,2170000000.0,,3620000000.0,9100000000.0,37520000000.0,6700000000.0,11.8,30810000000.0,3190000000.0,4.75,0.9043,3.54
2019,24000000000.0,0.61,2130000000.0,,3020000000.0,6230000000.0,33600000000.0,7220000000.0,12.4,26380000000.0,3180000000.0,4.01,1.16,3.85
2018,21350000000.0,0.4,1550000000.0,,4099999999.9999995,5450000000.0,31410000000.0,7130000000.0,15.5,24280000000.0,3190000000.0,4.8,0.9678,2.9
2017,23270000000.0,0.36,1450000000.0,,4420000000.0,5510000000.0,31130000000.0,6420000000.0,21.0,24700000000.0,3180000000.0,3.76,1.19,4.3
2016,21950000000.0,0.36,1420000000.0,,3410000000.0,5460000000.0,28350000000.0,4269999999.9999995,22.1,24070000000.0,3170000000.0,3.58,1.22,6.28
2015,24870000000.0,0.43,1610000000.0,,3750000000.0,5940000000.0,29760000000.0,4440000000.0,15.6,25310000000.0,3160000000.0,4.16,1.28,7.14
2014,24020000000.0,0.36,1370000000.0,,3590000000.0,5210000000.0,30800000000.0,2920000000.0,17.1,27880000000.0,3160000000.0,4.32,1.23,10.1
2013,27810000000.0,0.08577,690000000.0,,3660000000.0,4800000000.0,32460000000.0,5630000000.0,67.0,26820000000.0,3230000000.0,4.55,0.9883,4.88
2012,26970000000.0,0.53,1940000000.0,,5420000000.0,4820000000.0,36000000000.0,6090000000.0,8.69,29900000000.0,3240000000.0,5.7,0.8849,3.91
2011,27610000000.0,0.57,2270000000.0,,3320000000.0,4970000000.0,35900000000.0,6680000000.0,6.57,29220000000.0,3360000000.0,6.35,0.6171,2.55
2010,32380000000.000004,0.47,2170000000.0,,4740000000.0,4710000000.0,37090000000.0,8340000000.0,9.28,28750000000.0,3450000000.0,5.06,0.6554,2.54
2009,32960000000.0,-0.03075,430000000.0,,6310000000.0,5320000000.0,41240000000.0,7540000000.0,-154.0,33700000000.000004,3530000000.0,4.23,0.6743,2.95
2008,24430000000.0,0.73,3470000000.0,,3840000000.0,4070000000.0000005,37620000000.0,10680000000.0,6.66,26940000000.0,3510000000.0,3.63,0.806,1.84
2007,28420000000.0,0.53,2450000000.0,,6400000000.0,4950000000.0,40240000000.0,11920000000.0,12.2,28320000000.0,3380000000.0,2.41,1.65,3.93
2006,24150000000.0,0.99,1680000000.0,,7050000000.0,6090000000.0,35540000000.0,8090000000.0,5.66,27440000000.0,3220000000.0,2.53,1.7,5.06
2005,19000000000.0,0.3,960000000.0,,5540000000.0,7650000000.0,34890000000.0,4830000000.0,16.8,30050000000.0,3180000000.0,2.59,1.69,6.64
2004,16920000000.000002,-0.01152,1190000000.0,,4630000000.0,5880000000.0,31210000000.0,5110000000.0,-263.0,26100000000.0,3050000000.0,4.02,1.11,3.67
2003,15000000000.0,-0.008944,410000000.0,,2970000000.0,4520000000.0,27470000000.0,10020000000.0,-249.0,17450000000.0,3050000000.0,5.51,0.8757,1.31
2002,12940000000.0,-0.37,,,2730000000.0,4780000000.0,25010000000.0,9130000000.0,-4.35,15880000000.0,3050000000.0,7.49,0.7313,1.04
2001,13100000000.0,-0.07394,100000000.0,,3730000000.0,4890000000.0,24940000000.0,9650000000.0,-55.1,15290000000.0,3030000000.0,2.84,1.69,
2000,14390000000.0,-0.02239,260000000.0,,3930000000.0,5160000000.0,,,,,2990000000.0,2.19,,
1999,11380000000.0,0.26,740000000.0,,3960000000.0,5130000000.0,,,,,1870000000.0,1.76,,
1998,11700000000.0,0.64,1610000000.0,,2280000000.0,1930000000.0,,,,,1740000000.0,1.4,,
1997,11930000000.0,0.13,380000000.0,,3370000000.0,2080000000.0,,,,,,1.0,,
1996,11060000000.0,0.29,720000000.0,,3210000000.0,1930000000.0,,,,,,1.09,,
1995,,,,,,,,,,,,1.4,,
1994,,,,,,,,,,,,2.11,,
1993,,,,,,,,,,,,1.79,,
1992,,,,,,,,,,,,0.0,,
1991,,,,,,,,,,,,0.0,,
1990,,,,,,,,,,,,0.0,,
1989,,,,,,,,,,,,0.0,,
1988,,,,,,,,,,,,0.0,,
