Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2025,38160000000.0,3460000000.0,24.6,4870000000.0,50740000000.0,
2024,33009999999.999996,2920000000.0,18.7,4500000000.0,47860000000.0,
2023,29400000000.0,2960000000.0,18.9,5180000000.0,40840000000.0,
2022,25710000000.0,2400000000.0,18.4,3690000000.0,38060000000.0,
2021,26350000000.0,2840000000.0,9.79,3820000000.0,36620000000.0,
2020,26270000000.0,2170000000.0,11.8,3620000000.0,37520000000.0,
2019,24000000000.0,2130000000.0,12.4,3020000000.0,33600000000.0,
2018,21350000000.0,1550000000.0,15.5,4099999999.9999995,31410000000.0,
2017,23270000000.0,1450000000.0,21.0,4420000000.0,31130000000.0,
2016,21950000000.0,1420000000.0,22.1,3410000000.0,28350000000.0,
2015,24870000000.0,1610000000.0,15.6,3750000000.0,29760000000.0,
2014,24020000000.0,1370000000.0,17.1,3590000000.0,30800000000.0,
2013,27810000000.0,690000000.0,67.0,3660000000.0,32460000000.0,
2012,26970000000.0,1940000000.0,8.69,5420000000.0,36000000000.0,
2011,27610000000.0,2270000000.0,6.57,3320000000.0,35900000000.0,
2010,32380000000.000004,2170000000.0,9.28,4740000000.0,37090000000.0,
2009,32960000000.0,430000000.0,-154.0,6310000000.0,41240000000.0,
2008,24430000000.0,3470000000.0,6.66,3840000000.0,37620000000.0,
2007,28420000000.0,2450000000.0,12.2,6400000000.0,40240000000.0,
2006,24150000000.0,1680000000.0,5.66,7050000000.0,35540000000.0,
2005,19000000000.0,960000000.0,16.8,5540000000.0,34890000000.0,
2004,16920000000.000002,1190000000.0,-263.0,4630000000.0,31210000000.0,
2003,15000000000.0,410000000.0,-249.0,2970000000.0,27470000000.0,
2002,12940000000.0,,-4.35,2730000000.0,25010000000.0,
2001,13100000000.0,100000000.0,-55.1,3730000000.0,24940000000.0,
2000,14390000000.0,260000000.0,,3930000000.0,,
1999,11380000000.0,740000000.0,,3960000000.0,,
1998,11700000000.0,1610000000.0,,2280000000.0,,
1997,11930000000.0,380000000.0,,3370000000.0,,
1996,11060000000.0,720000000.0,,3210000000.0,,
