year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,26917000000.0,Revenues,0001075531-26-000009,USD,True,,,,,False,9409000000.0,NetCashProvidedByUsedInOperatingActivities,0001075531-26-000009,USD,True,322000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001075531-26-000009,USD,True,8825000000.0,OperatingIncomeLoss,0001075531-26-000009,USD,True,,,,,False,1428000000.0,IncomeTaxExpenseBenefit,0001075531-26-000009,USD,True,0.209,EffectiveIncomeTaxRateContinuingOperations,0001075531-26-000009,pure,True,6832000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001075531-26-000009,USD,True,17203000000.0,CashAndCashEquivalentsAtCarryingValue,0001075531-26-000009,USD,True,,,,,False,18736000000.0,LongTermDebt,0001075531-26-000009,USD,True,6000000.0,FinanceLeaseLiabilityCurrent,0001075531-26-000009,USD,True,0.0,FinanceLeaseLiabilityNoncurrent,0001075531-26-000009,USD,True,-5578000000.0,StockholdersEquity,0001075531-26-000009,USD,True,17203000000.0,18736000000.0,9087000000.0,0.20901639344262296,-4045000000.0,6980430327.868852,-1.7256935297574416,8825000000.0,False,0.33759334249730655,,True,False,BKNG,0001075531,ticker:BKNG,23
2024,23739000000.0,Revenues,0001075531-25-000010,USD,True,,,,,False,8323000000.0,NetCashProvidedByUsedInOperatingActivities,0001075531-25-000010,USD,True,429000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001075531-25-000010,USD,True,7555000000.0,OperatingIncomeLoss,0001075531-25-000010,USD,True,,,,,False,1410000000.0,IncomeTaxExpenseBenefit,0001075531-25-000010,USD,True,0.21,EffectiveIncomeTaxRateContinuingOperations,0001075531-25-000010,pure,True,7292000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001075531-25-000010,USD,True,16164000000.0,CashAndCashEquivalentsAtCarryingValue,0001075531-25-000010,USD,True,0.0,ShortTermInvestments,0001075531-25-000010,USD,True,16598000000.0,LongTermDebt,0001075531-25-000010,USD,True,26000000.0,FinanceLeaseLiabilityCurrent,0001075531-25-000010,USD,True,7000000.0,FinanceLeaseLiabilityNoncurrent,0001075531-25-000010,USD,True,-4020000000.0,StockholdersEquity,0001075531-25-000010,USD,True,16164000000.0,16598000000.0,7894000000.0,0.19336258913878224,-3586000000.0,6094145639.0565,-1.6994271163013108,7555000000.0,False,0.33253296263532583,,True,False,BKNG,0001075531,ticker:BKNG,23
2023,21365000000.0,Revenues,0001075531-24-000014,USD,True,,,,,False,7344000000.0,NetCashProvidedByUsedInOperatingActivities,0001075531-24-000014,USD,True,345000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001075531-24-000014,USD,True,5835000000.0,OperatingIncomeLoss,0001075531-24-000014,USD,True,897000000.0,InterestExpense,0001075531-24-000014,USD,True,1192000000.0,IncomeTaxExpenseBenefit,0001075531-24-000014,USD,True,0.21,EffectiveIncomeTaxRateContinuingOperations,0001075531-24-000014,pure,True,5481000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001075531-24-000014,USD,True,12107000000.0,CashAndCashEquivalentsAtCarryingValue,0001075531-24-000014,USD,True,576000000.0,ShortTermInvestments,0001075531-24-000014,USD,True,14184000000.0,LongTermDebt,0001075531-24-000014,USD,True,34000000.0,FinanceLeaseLiabilityCurrent,0001075531-24-000014,USD,True,34000000.0,FinanceLeaseLiabilityNoncurrent,0001075531-24-000014,USD,True,-2744000000.0,StockholdersEquity,0001075531-24-000014,USD,True,12683000000.0,14184000000.0,6999000000.0,0.2174785623061485,-1243000000.0,4566012588.943624,-3.6733810047816764,5835000000.0,False,0.327591855838989,,True,False,BKNG,0001075531,ticker:BKNG,23
2022,17090000000.0,Revenues,0001075531-23-000016,USD,True,,,,,False,6554000000.0,NetCashProvidedByUsedInOperatingActivities,0001075531-23-000016,USD,True,368000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001075531-23-000016,USD,True,5102000000.0,OperatingIncomeLoss,0001075531-23-000016,USD,True,391000000.0,InterestExpense,0001075531-23-000016,USD,True,865000000.0,IncomeTaxExpenseBenefit,0001075531-23-000016,USD,True,0.21,EffectiveIncomeTaxRateContinuingOperations,0001075531-23-000016,pure,True,3923000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001075531-23-000016,USD,True,12221000000.0,CashAndCashEquivalentsAtCarryingValue,0001075531-23-000016,USD,True,175000000.0,ShortTermInvestments,0001075531-23-000016,USD,True,,,,,False,21000000.0,FinanceLeaseLiabilityCurrent,0001075531-23-000016,USD,True,32000000.0,FinanceLeaseLiabilityNoncurrent,0001075531-23-000016,USD,True,2782000000.0,StockholdersEquity,0001075531-23-000016,USD,True,12396000000.0,53000000.0,6186000000.0,0.22049451950038235,-9561000000.0,3977036961.5090494,-0.41596453943196837,5102000000.0,False,0.36196606202457576,,True,False,BKNG,0001075531,ticker:BKNG,23
2021,10958000000.0,Revenues,0001075531-22-000008,USD,True,,,,,False,2820000000.0,NetCashProvidedByUsedInOperatingActivities,0001075531-22-000008,USD,True,304000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001075531-22-000008,USD,True,2496000000.0,OperatingIncomeLoss,0001075531-22-000008,USD,True,334000000.0,InterestExpense,0001075531-22-000008,USD,True,300000000.0,IncomeTaxExpenseBenefit,0001075531-22-000008,USD,True,,,,,False,1465000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001075531-22-000008,USD,True,11127000000.0,CashAndCashEquivalentsAtCarryingValue,0001075531-22-000008,USD,True,,,,,False,,,,,False,1989000000.0,FinanceLeaseLiabilityCurrent,0001075531-22-000008,USD,True,8937000000.0,FinanceLeaseLiabilityNoncurrent,0001075531-22-000008,USD,True,6178000000.0,StockholdersEquity,0001075531-22-000008,USD,True,11127000000.0,10926000000.0,2516000000.0,0.20477815699658702,5977000000.0,1984873720.136519,0.33208528026376427,2496000000.0,False,0.22960394232524184,,True,False,BKNG,0001075531,ticker:BKNG,23
2020,6796000000.0,Revenues,0001075531-21-000019,USD,True,,,,,False,85000000.0,NetCashProvidedByUsedInOperatingActivities,0001075531-21-000019,USD,True,286000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001075531-21-000019,USD,True,-631000000.0,OperatingIncomeLoss,0001075531-21-000019,USD,True,356000000.0,InterestExpense,0001075531-21-000019,USD,True,508000000.0,IncomeTaxExpenseBenefit,0001075531-21-000019,USD,True,0.21,EffectiveIncomeTaxRateContinuingOperations,0001075531-21-000019,pure,True,567000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001075531-21-000019,USD,True,10562000000.0,CashAndCashEquivalentsAtCarryingValue,0001075531-21-000019,USD,True,,,,,False,,,,,False,,,,,False,11029000000.0,FinanceLeaseLiabilityNoncurrent,0001075531-21-000019,USD,True,4893000000.0,StockholdersEquity,0001075531-21-000019,USD,True,10562000000.0,11029000000.0,-201000000.0,0.8959435626102292,5360000000.0,-65659611.99294536,-0.012249927610624134,-631000000.0,False,-0.029576221306650972,,True,False,BKNG,0001075531,ticker:BKNG,23
2019,15066000000.0,Revenues,0001075531-20-000011,USD,True,,,,,False,4865000000.0,NetCashProvidedByUsedInOperatingActivities,0001075531-20-000011,USD,True,368000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001075531-20-000011,USD,True,5345000000.0,OperatingIncomeLoss,0001075531-20-000011,USD,True,266000000.0,InterestExpense,0001075531-20-000011,USD,True,1093000000.0,IncomeTaxExpenseBenefit,0001075531-20-000011,USD,True,0.21,EffectiveIncomeTaxRateContinuingOperations,0001075531-20-000011,pure,True,5958000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001075531-20-000011,USD,True,6312000000.0,CashAndCashEquivalentsAtCarryingValue,0001075531-20-000011,USD,True,,,,,False,7640000000.0,LongTermDebt,0001075531-20-000011,USD,True,,,,,False,7640000000.0,FinanceLeaseLiabilityNoncurrent,0001075531-20-000011,USD,True,5933000000.0,StockholdersEquity,0001075531-20-000011,USD,True,6312000000.0,7640000000.0,4497000000.0,0.1834508224236321,7261000000.0,4364455354.145686,0.6010818556873276,5345000000.0,False,0.2984866587017125,,True,False,BKNG,0001075531,ticker:BKNG,23
2018,14527000000.0,Revenues,0001075531-19-000009,USD,True,,,,,False,5338000000.0,NetCashProvidedByUsedInOperatingActivities,0001075531-19-000009,USD,True,442000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001075531-19-000009,USD,True,5341000000.0,OperatingIncomeLoss,0001075531-19-000009,USD,True,269000000.0,InterestExpense,0001075531-19-000009,USD,True,837000000.0,IncomeTaxExpenseBenefit,0001075531-19-000009,USD,True,,,,,False,4835000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001075531-19-000009,USD,True,2624000000.0,CashAndCashEquivalentsAtCarryingValue,0001075531-19-000009,USD,True,,,,,False,8649000000.0,LongTermDebt,0001075531-19-000009,USD,True,,,,,False,8649000000.0,FinanceLeaseLiabilityNoncurrent,0001075531-19-000009,USD,True,8785000000.0,StockholdersEquity,0001075531-19-000009,USD,True,2624000000.0,8649000000.0,4896000000.0,0.17311271975180972,14810000000.0,4416404963.805584,0.29820425143859447,5341000000.0,False,0.3370276037722861,,True,False,BKNG,0001075531,ticker:BKNG,23
2017,12681082000.0,Revenues,0001075531-18-000015,USD,True,,,,,False,,,,,False,287805000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001075531-18-000015,USD,True,4537992000.0,OperatingIncomeLoss,0001075531-18-000015,USD,True,253976000.0,InterestExpense,0001075531-18-000015,USD,True,2057557000.0,IncomeTaxExpenseBenefit,0001075531-18-000015,USD,True,,,,,False,4398322000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001075531-18-000015,USD,True,2541604000.0,CashAndCashEquivalentsAtCarryingValue,0001075531-18-000015,USD,True,,,,,False,8809788000.0,LongTermDebt,0001075531-18-000015,USD,True,,,,,False,8809788000.0,FinanceLeaseLiabilityNoncurrent,0001075531-18-000015,USD,True,11260598000.0,StockholdersEquity,0001075531-18-000015,USD,True,2541604000.0,8809788000.0,,0.46780499472298753,17528782000.0,2415096676.38704,0.13777892134131398,4537992000.0,False,,,True,False,BKNG,0001075531,ticker:BKNG,23
2016,10743006000.0,Revenues,0001075531-17-000009,USD,True,,,,,False,,,,,False,219889000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001075531-17-000009,USD,True,2906313000.0,OperatingIncomeLoss,0001075531-17-000009,USD,True,207900000.0,InterestExpense,0001075531-17-000009,USD,True,578251000.0,IncomeTaxExpenseBenefit,0001075531-17-000009,USD,True,,,,,False,2713238000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001075531-17-000009,USD,True,2081075000.0,CashAndCashEquivalentsAtCarryingValue,0001075531-17-000009,USD,True,,,,,False,6170522000.0,LongTermDebt,0001075531-17-000009,USD,True,,,,,False,6170522000.0,FinanceLeaseLiabilityNoncurrent,0001075531-17-000009,USD,True,9820142000.0,StockholdersEquity,0001075531-17-000009,USD,True,2081075000.0,6170522000.0,,0.2131221072386573,13909589000.0,2286913449.144896,0.16441272629585935,2906313000.0,False,,,True,False,BKNG,0001075531,ticker:BKNG,23
