year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,6889100000.0,Revenues,0001628280-25-037656,USD,True,839500000.0,NetIncomeLoss,0001628280-25-037656,USD,True,1171300000.0,NetCashProvidedByUsedInOperatingActivities,0001628280-25-037656,USD,True,43800000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001628280-25-037656,USD,True,1188600000.0,OperatingIncomeLoss,0001628280-25-037656,USD,True,135800000.0,InterestExpenseDebt,0001628280-25-037656,USD,True,219200000.0,IncomeTaxExpenseBenefit,0001628280-25-037656,USD,True,0.207,EffectiveIncomeTaxRateContinuingOperations,0001628280-25-037656,pure,True,903600000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001628280-25-037656,USD,True,561500000.0,CashAndCashEquivalentsAtCarryingValue,0001628280-25-037656,USD,True,,,,,False,3252300000.0,LongTermDebt,0001628280-25-037656,USD,True,499300000.0,LongTermDebtCurrent,0001628280-25-037656,USD,True,2753000000.0,LongTermDebtNoncurrent,0001628280-25-037656,USD,True,2655100000.0,StockholdersEquity,0001628280-25-037656,USD,True,561500000.0,3252300000.0,1127500000.0,0.24258521469676847,5345900000.0,900263213.8114209,0.1684025540716102,1188600000.0,False,0.16366433931863378,1.343061346039309,True,True,BR,0001383312,ticker:BR,20
2024,6506800000.0,Revenues,0001383312-24-000039,USD,True,698100000.0,NetIncomeLoss,0001383312-24-000039,USD,True,1056200000.0,NetCashProvidedByUsedInOperatingActivities,0001383312-24-000039,USD,True,57400000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001383312-24-000039,USD,True,1017100000.0,OperatingIncomeLoss,0001383312-24-000039,USD,True,150200000.0,InterestExpenseDebt,0001383312-24-000039,USD,True,179300000.0,IncomeTaxExpenseBenefit,0001383312-24-000039,USD,True,0.204,EffectiveIncomeTaxRateContinuingOperations,0001383312-24-000039,pure,True,716100000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001383312-24-000039,USD,True,304400000.0,CashAndCashEquivalentsAtCarryingValue,0001383312-24-000039,USD,True,,,,,False,3355100000.0,LongTermDebt,0001383312-24-000039,USD,True,0.0,LongTermDebtCurrent,0001383312-24-000039,USD,True,3355100000.0,LongTermDebtNoncurrent,0001383312-24-000039,USD,True,2168200000.0,StockholdersEquity,0001383312-24-000039,USD,True,304400000.0,3355100000.0,998800000.0,0.250384024577573,5218900000.0,762434408.6021504,0.14609101699633073,1017100000.0,False,0.15350095284932685,1.4307405815785703,True,True,BR,0001383312,ticker:BR,20
2023,6060900000.0,Revenues,0001383312-23-000037,USD,True,630600000.0,NetIncomeLoss,0001383312-23-000037,USD,True,823300000.0,NetCashProvidedByUsedInOperatingActivities,0001383312-23-000037,USD,True,38400000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001383312-23-000037,USD,True,936400000.0,OperatingIncomeLoss,0001383312-23-000037,USD,True,143700000.0,InterestExpenseDebt,0001383312-23-000037,USD,True,164300000.0,IncomeTaxExpenseBenefit,0001383312-23-000037,USD,True,0.207,EffectiveIncomeTaxRateContinuingOperations,0001383312-23-000037,pure,True,710600000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001383312-23-000037,USD,True,252300000.0,CashAndCashEquivalentsAtCarryingValue,0001383312-23-000037,USD,True,,,,,False,3413300000.0,LongTermDebt,0001383312-23-000037,USD,True,1178500000.0,LongTermDebtCurrent,0001383312-23-000037,USD,True,2234700000.0,LongTermDebtNoncurrent,0001383312-23-000037,USD,True,2240600000.0,StockholdersEquity,0001383312-23-000037,USD,True,252300000.0,3413300000.0,784900000.0,0.231213059386434,5401600000.0,719892091.1905432,0.13327386166886537,936400000.0,False,0.1295022191423716,1.2446875991119568,True,True,BR,0001383312,ticker:BR,20
2022,5709100000.0,Revenues,0001383312-22-000037,USD,True,539100000.0,NetIncomeLoss,0001383312-22-000037,USD,True,443500000.0,NetCashProvidedByUsedInOperatingActivities,0001383312-22-000037,USD,True,29000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001383312-22-000037,USD,True,759900000.0,OperatingIncomeLoss,0001383312-22-000037,USD,True,87700000.0,InterestExpenseDebt,0001383312-22-000037,USD,True,133100000.0,IncomeTaxExpenseBenefit,0001383312-22-000037,USD,True,0.198,EffectiveIncomeTaxRateContinuingOperations,0001383312-22-000037,pure,True,609900000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001383312-22-000037,USD,True,224700000.0,CashAndCashEquivalentsAtCarryingValue,0001383312-22-000037,USD,True,,,,,False,3793000000.0,LongTermDebt,0001383312-22-000037,USD,True,,,,,False,3793000000.0,LongTermDebtNoncurrent,0001383312-22-000037,USD,True,1919100000.0,StockholdersEquity,0001383312-22-000037,USD,True,224700000.0,3793000000.0,414500000.0,0.21823249713067716,5487400000.0,594065125.4303985,0.10825985447213589,759900000.0,False,0.0726033875742236,0.7688740493414951,True,True,BR,0001383312,ticker:BR,20
2021,4993700000.0,Revenues,0001383312-21-000047,USD,True,547500000.0,NetIncomeLoss,0001383312-21-000047,USD,True,640100000.0,NetCashProvidedByUsedInOperatingActivities,0001383312-21-000047,USD,True,51900000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001383312-21-000047,USD,True,678700000.0,OperatingIncomeLoss,0001383312-21-000047,USD,True,57500000.0,InterestExpenseDebt,0001383312-21-000047,USD,True,148700000.0,IncomeTaxExpenseBenefit,0001383312-21-000047,USD,True,0.214,EffectiveIncomeTaxRateContinuingOperations,0001383312-21-000047,pure,True,604400000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001383312-21-000047,USD,True,274500000.0,CashAndCashEquivalentsAtCarryingValue,0001383312-21-000047,USD,True,,,,,False,3887600000.0,LongTermDebt,0001383312-21-000047,USD,True,0.0,LongTermDebtCurrent,0001383312-21-000047,USD,True,3887600000.0,LongTermDebtNoncurrent,0001383312-21-000047,USD,True,1809100000.0,StockholdersEquity,0001383312-21-000047,USD,True,274500000.0,3887600000.0,588200000.0,0.24602911978821973,5422200000.0,511720036.3997353,0.09437498365972027,678700000.0,False,0.11778841340088511,1.074337899543379,True,True,BR,0001383312,ticker:BR,20
2020,4529000000.0,Revenues,0001383312-20-000055,USD,True,462500000.0,NetIncomeLoss,0001383312-20-000055,USD,True,598200000.0,NetCashProvidedByUsedInOperatingActivities,0001383312-20-000055,USD,True,62700000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001383312-20-000055,USD,True,624900000.0,OperatingIncomeLoss,0001383312-20-000055,USD,True,62500000.0,InterestExpenseDebt,0001383312-20-000055,USD,True,117000000.0,IncomeTaxExpenseBenefit,0001383312-20-000055,USD,True,0.202,EffectiveIncomeTaxRateContinuingOperations,0001383312-20-000055,pure,True,492400000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001383312-20-000055,USD,True,476600000.0,CashAndCashEquivalentsAtCarryingValue,0001383312-20-000055,USD,True,500000.0,AvailableForSaleSecuritiesCurrent,0001383312-20-000055,USD,True,1787500000.0,LongTermDebt,0001383312-20-000055,USD,True,399900000.0,LongTermDebtCurrent,0001383312-20-000055,USD,True,1387600000.0,LongTermDebtNoncurrent,0001383312-20-000055,USD,True,1346500000.0,StockholdersEquity,0001383312-20-000055,USD,True,477100000.0,1787500000.0,535500000.0,0.23761169780666125,2656900000.0,476416450.0406174,0.17931290226979466,624900000.0,False,0.11823802163833076,1.1578378378378378,True,True,BR,0001383312,ticker:BR,20
2019,4362200000.0,Revenues,0001383312-19-000042,USD,True,482100000.0,NetIncomeLoss,0001383312-19-000042,USD,True,617000000.0,NetCashProvidedByUsedInOperatingActivities,0001383312-19-000042,USD,True,50600000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001383312-19-000042,USD,True,652700000.0,OperatingIncomeLoss,0001383312-19-000042,USD,True,45900000.0,InterestExpenseDebt,0001383312-19-000042,USD,True,125200000.0,IncomeTaxExpenseBenefit,0001383312-19-000042,USD,True,0.206,EffectiveIncomeTaxRateContinuingOperations,0001383312-19-000042,pure,True,607300000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001383312-19-000042,USD,True,273200000.0,CashAndCashEquivalentsAtCarryingValue,0001383312-19-000042,USD,True,400000.0,AvailableForSaleSecuritiesCurrent,0001383312-19-000042,USD,True,,,,,False,,,,,False,1470400000.0,LongTermDebtNoncurrent,0001383312-19-000042,USD,True,1127500000.0,StockholdersEquity,0001383312-19-000042,USD,True,273600000.0,1470400000.0,566400000.0,0.2061584060596081,2324300000.0,518140408.3648938,0.22292320628356657,652700000.0,False,0.12984273990188436,1.1748599875544492,True,True,BR,0001383312,ticker:BR,20
2018,4329900000.0,Revenues,0001383312-18-000041,USD,True,427900000.0,NetIncomeLoss,0001383312-18-000041,USD,True,693600000.0,NetCashProvidedByUsedInOperatingActivities,0001383312-18-000041,USD,True,76700000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001383312-18-000041,USD,True,594900000.0,OperatingIncomeLoss,0001383312-18-000041,USD,True,42400000.0,InterestExpenseDebt,0001383312-18-000041,USD,True,133100000.0,IncomeTaxExpenseBenefit,0001383312-18-000041,USD,True,0.237,EffectiveIncomeTaxRateContinuingOperations,0001383312-18-000041,pure,True,561000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001383312-18-000041,USD,True,263900000.0,CashAndCashEquivalentsAtCarryingValue,0001383312-18-000041,USD,True,100000.0,AvailableForSaleSecuritiesCurrent,0001383312-18-000041,USD,True,,,,,False,,,,,False,1053400000.0,LongTermDebtNoncurrent,0001383312-18-000041,USD,True,1094300000.0,StockholdersEquity,0001383312-18-000041,USD,True,264000000.0,1053400000.0,616900000.0,0.2372549019607843,1883700000.0,453757058.82352936,0.2408860534180227,594900000.0,False,0.1424744220420795,1.4416919841084366,True,True,BR,0001383312,ticker:BR,20
2017,4142600000.0,Revenues,0001383312-17-000053,USD,True,326800000.0,NetIncomeLoss,0001383312-17-000053,USD,True,,,,,False,85400000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001383312-17-000053,USD,True,531600000.0,OperatingIncomeLoss,0001383312-17-000053,USD,True,44700000.0,InterestExpenseDebt,0001383312-17-000053,USD,True,161400000.0,IncomeTaxExpenseBenefit,0001383312-17-000053,USD,True,0.331,EffectiveIncomeTaxRateContinuingOperations,0001383312-17-000053,pure,True,488100000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001383312-17-000053,USD,True,271100000.0,CashAndCashEquivalentsAtCarryingValue,0001383312-17-000053,USD,True,100000.0,AvailableForSaleSecuritiesCurrent,0001383312-17-000053,USD,True,1102100000.0,LongTermDebt,0001383312-17-000053,USD,True,0.0,LongTermDebtCurrent,0001383312-17-000053,USD,True,1102100000.0,LongTermDebtNoncurrent,0001383312-17-000053,USD,True,1003800000.0,StockholdersEquity,0001383312-17-000053,USD,True,271200000.0,1102100000.0,,0.3306699446834665,1834700000.0,355815857.40626925,0.19393680569372063,531600000.0,False,,,True,False,BR,0001383312,ticker:BR,20
2016,2897000000.0,Revenues,0001383312-16-000108,USD,True,307500000.0,NetIncomeLoss,0001383312-16-000108,USD,True,,,,,False,57700000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001383312-16-000108,USD,True,468900000.0,OperatingIncomeLoss,0001383312-16-000108,USD,True,,,,,False,161400000.0,IncomeTaxExpenseBenefit,0001383312-16-000108,USD,True,0.344,EffectiveIncomeTaxRateContinuingOperations,0001383312-16-000108,pure,True,468900000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001383312-16-000108,USD,True,727700000.0,CashAndCashEquivalentsAtCarryingValue,0001383312-16-000108,USD,True,100000.0,AvailableForSaleSecuritiesCurrent,0001383312-16-000108,USD,True,1022500000.0,LongTermDebt,0001383312-16-000108,USD,True,124900000.0,LongTermDebtCurrent,0001383312-16-000108,USD,True,897600000.0,LongTermDebtNoncurrent,0001383312-16-000108,USD,True,1045500000.0,StockholdersEquity,0001383312-16-000108,USD,True,727800000.0,1022500000.0,,0.34420985284708894,1340200000.0,307500000.0,0.2294433666616923,468900000.0,False,,,True,False,BR,0001383312,ticker:BR,20
