year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,price_to_sales,price_to_book
2026,20610000000.0,2.4,3740000000.0,,,,,,,,1480000000.0,4.99,
2025,20070000000.0,1.96,3380000000.0,16.86,1960000000.0,11430000000.0,43670000000.0,24470000000.0,48.6,19200000000.0,1480000000.0,6.99,5.74
2024,16739999999.999998,1.26,2280000000.0,13.63,410000000.0,10740000000.0,39390000000.0,22000000000.0,70.9,17390000000.0,1470000000.0,7.98,6.07
2023,14240000000.0,1.07,1980000000.0,13.94,860000000.0,9490000000.0,35130000000.0,19530000000.0,54.0,15600000000.0,1460000000.0,5.95,4.34
2022,12680000000.0,0.45,1140000000.0,9.0,920000000.0,9280000000.0,32460000000.0,17570000000.0,103.0,14890000000.0,1430000000.0,5.23,3.77
2021,11880000000.0,0.69,1070000000.0000001,9.05,1920000000.0,9450000000.0,32220000000.0,16620000000.000002,61.6,15600000000.0,1420000000.0,5.09,3.64
2020,9910000000.0,-0.12,,-0.8,1730000000.0,9530000000.0,30770000000.0,15320000000.0,-300.0,15450000000.0,1420000000.0,5.14,3.32
2019,10730000000.0,3.38,680000000.0,6.4,210000000.0,10270000000.0,30560000000.0,13870000000.0,13.4,16680000000.0,1390000000.0,5.88,4.55
2018,9820000000.0,1.21,1420000000.0,14.48,140000000.0,7050000000.0,20990000000.0,8720000000.0,29.2,12270000000.0,1380000000.0,4.98,5.61
2017,9040000000.0,0.08,930000000.0,10.31,180000000.0,5570000000.0,19040000000.0,7010000000.0,310.0,12030000000.0,1370000000.0,3.76,4.85
2016,8380000000.000001,0.26,170000000.0,2.11,190000000.0,5480000000.0,18090000000.0,6730000000.0,83.2,11360000000.0,1360000000.0,3.51,4.37
2015,7470000000.0,-0.18,,-8.69,310000000.0,5670000000.0,18130000000.0,6320000000.0,-102.0,11810000000.0,1340000000.0,3.32,3.93
2014,7380000000.0,0.2,,-6.9,580000000.0,4240000000.0,17020000000.0,6450000000.0,65.3,10560000000.0,1320000000.0,2.38,2.72
2013,7140000000.0,-0.08373,,-3.12,210000000.0,4240000000.0,16570000000.0,6530000000.0,-144.0,10030000000.0,1320000000.0,2.23,2.43
2012,7250000000.0,-2.79,,-56.66,200000000.0,4250000000.0,17149999999.999998,6870000000.0,-2.05,10280000000.0,1360000000.0,1.07,1.13
2011,7620000000.0,,640000000.0,8.42,260000000.0,4260000000.0,21290000000.0,11350000000.0,,9930000000.0,1510000000.0,1.04,0.6968
2010,7800000000.0,,,-13.62,210000000.0,5430000000.0,22120000000.0,11290000000.0,,10830000000.0,1510000000.0,1.47,1.02
2009,8180000000.0,,,-15.97,860000000.0,5910000000.0,25170000000.0,12300000000.0,,12870000000.0,1500000000.0,1.66,1.11
2008,8050000000.000001,,,-25.23,1640000000.0,6740000000.0,27130000000.0,13170000000.0,,13960000000.0,1500000000.0,1.44,0.8822
2007,8350000000.0,,,-6.81,1450000000.0,8180000000.0,31190000000.0,15090000000.0,,16100000000.000002,1480000000.0,2.08,1.15
2006,7820000000.0,,,-45.2,1660000000.0,8900000000.0,31090000000.0,15290000000.0,,15790000000.0,1520000000.0,3.25,1.66
2005,6280000000.0,,890000000.0,14.18,840000000.0,2020000000.0,8189999999.999999,4280000000.0000005,,3910000000.0,810000000.0,3.2,4.69
2004,5620000000.0,,1490000000.0,26.56,1640000000.0,2360000000.0,8170000000.0,4019999999.9999995,,4139999999.9999995,830000000.0,5.28,7.38
2003,3470000000.0,,640000000.0,18.5,670000000.0,1720000000.0,5690000000.0,2860000000.0,,2830000000.0,820000000.0,8.74,10.6
2002,2910000000.0,,540000000.0,18.81,270000000.0,930000000.0,4450000000.0,2460000000.0,,1980000000.0,,5.99,7.09
2001,2670000000.0,,44000000.0,1.65,180000000.0,1200000000.0,3970000000.0,2009999999.9999998,,1950000000.0,,3.66,
2000,2660000000.0,,520000000.0,,60000000.0,830000000.0,,,,,,,
1999,2840000000.0,,560000000.0,,78000000.0,1280000000.0,,,,,,,
1998,2190000000.0,,,,75000000.0,2390000000.0,,,,,,,
1997,1870000000.0,,250000000.0,,58000000.0,490000000.0,,,,,,,
1996,1500000000.0,,290000000.0,,72200000.0,240000000.0,,,,,,,
