Year,revenue,net_income,pe_ratio,cash,total_assets
2026,20610000000.0,3740000000.0,,,
2025,20070000000.0,3380000000.0,48.6,1960000000.0,43670000000.0
2024,16739999999.999998,2280000000.0,70.9,410000000.0,39390000000.0
2023,14240000000.0,1980000000.0,54.0,860000000.0,35130000000.0
2022,12680000000.0,1140000000.0,103.0,920000000.0,32460000000.0
2021,11880000000.0,1070000000.0000001,61.6,1920000000.0,32220000000.0
2020,9910000000.0,,-300.0,1730000000.0,30770000000.0
2019,10730000000.0,680000000.0,13.4,210000000.0,30560000000.0
2018,9820000000.0,1420000000.0,29.2,140000000.0,20990000000.0
2017,9040000000.0,930000000.0,310.0,180000000.0,19040000000.0
2016,8380000000.000001,170000000.0,83.2,190000000.0,18090000000.0
2015,7470000000.0,,-102.0,310000000.0,18130000000.0
2014,7380000000.0,,65.3,580000000.0,17020000000.0
2013,7140000000.0,,-144.0,210000000.0,16570000000.0
2012,7250000000.0,,-2.05,200000000.0,17149999999.999998
2011,7620000000.0,640000000.0,,260000000.0,21290000000.0
2010,7800000000.0,,,210000000.0,22120000000.0
2009,8180000000.0,,,860000000.0,25170000000.0
2008,8050000000.000001,,,1640000000.0,27130000000.0
2007,8350000000.0,,,1450000000.0,31190000000.0
2006,7820000000.0,,,1660000000.0,31090000000.0
2005,6280000000.0,890000000.0,,840000000.0,8189999999.999999
2004,5620000000.0,1490000000.0,,1640000000.0,8170000000.0
2003,3470000000.0,640000000.0,,670000000.0,5690000000.0
2002,2910000000.0,540000000.0,,270000000.0,4450000000.0
2001,2670000000.0,44000000.0,,180000000.0,3970000000.0
2000,2660000000.0,520000000.0,,60000000.0,
1999,2840000000.0,560000000.0,,78000000.0,
1998,2190000000.0,,,75000000.0,
1997,1870000000.0,250000000.0,,58000000.0,
1996,1500000000.0,290000000.0,,72200000.0,
