year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,20074000000.0,Revenues,0000885725-26-000010,USD,True,2892000000.0,ProfitLoss,0000885725-26-000010,USD,True,4534000000.0,NetCashProvidedByUsedInOperatingActivities,0000885725-26-000010,USD,True,876000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000885725-26-000010,USD,True,3613000000.0,OperatingIncomeLoss,0000885725-26-000010,USD,True,349000000.0,InterestExpense,0000885725-26-000010,USD,True,493000000.0,IncomeTaxExpenseBenefit,0000885725-26-000010,USD,True,0.146,EffectiveIncomeTaxRateContinuingOperations,0000885725-26-000010,pure,True,3385000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000885725-26-000010,USD,True,1965000000.0,CashAndCashEquivalentsAtCarryingValue,0000885725-26-000010,USD,True,,,,,False,,,,,False,299000000.0,DebtCurrent,0000885725-26-000010,USD,True,122000000.0,FinanceLeaseLiabilityNoncurrent,0000885725-26-000010,USD,True,24233000000.0,StockholdersEquity,0000885725-26-000010,USD,True,1965000000.0,421000000.0,3658000000.0,0.14564254062038404,22689000000.0,3086793500.7385526,0.1360480188963177,3613000000.0,False,0.18222576467071835,1.2648686030428768,True,True,BSX,0000885725,ticker:BSX,22
2024,16747000000.0,Revenues,0000885725-25-000011,USD,True,1846000000.0,ProfitLoss,0000885725-25-000011,USD,True,3435000000.0,NetCashProvidedByUsedInOperatingActivities,0000885725-25-000011,USD,True,790000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000885725-25-000011,USD,True,2603000000.0,OperatingIncomeLoss,0000885725-25-000011,USD,True,305000000.0,InterestExpense,0000885725-25-000011,USD,True,436000000.0,IncomeTaxExpenseBenefit,0000885725-25-000011,USD,True,0.191,EffectiveIncomeTaxRateContinuingOperations,0000885725-25-000011,pure,True,2282000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000885725-25-000011,USD,True,414000000.0,CashAndCashEquivalentsAtCarryingValue,0000885725-25-000011,USD,True,,,,,False,10746000000.0,DebtAndCapitalLeaseObligations,0000885725-25-000011,USD,True,1778000000.0,DebtCurrent,0000885725-25-000011,USD,True,,,,,False,21770000000.0,StockholdersEquity,0000885725-25-000011,USD,True,414000000.0,10746000000.0,2645000000.0,0.19106047326906223,32102000000.0,2105669588.0806315,0.06559309663200522,2603000000.0,False,0.15793873529587388,1.432827735644637,True,True,BSX,0000885725,ticker:BSX,22
2023,14240000000.0,Revenues,0000885725-24-000017,USD,True,1592000000.0,ProfitLoss,0000885725-24-000017,USD,True,2503000000.0,NetCashProvidedByUsedInOperatingActivities,0000885725-24-000017,USD,True,711000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000885725-24-000017,USD,True,2343000000.0,OperatingIncomeLoss,0000885725-24-000017,USD,True,265000000.0,InterestExpense,0000885725-24-000017,USD,True,393000000.0,IncomeTaxExpenseBenefit,0000885725-24-000017,USD,True,0.198,EffectiveIncomeTaxRateContinuingOperations,0000885725-24-000017,pure,True,1985000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000885725-24-000017,USD,True,865000000.0,CashAndCashEquivalentsAtCarryingValue,0000885725-24-000017,USD,True,,,,,False,9102000000.0,DebtAndCapitalLeaseObligations,0000885725-24-000017,USD,True,531000000.0,DebtCurrent,0000885725-24-000017,USD,True,,,,,False,19282000000.0,StockholdersEquity,0000885725-24-000017,USD,True,865000000.0,9102000000.0,1792000000.0,0.19798488664987404,27519000000.0,1879121410.5793452,0.06828450926920837,2343000000.0,False,0.1258426966292135,1.1256281407035176,True,True,BSX,0000885725,ticker:BSX,22
2022,12682000000.0,Revenues,0000885725-23-000008,USD,True,698000000.0,ProfitLoss,0000885725-23-000008,USD,True,1526000000.0,NetCashProvidedByUsedInOperatingActivities,0000885725-23-000008,USD,True,588000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000885725-23-000008,USD,True,1649000000.0,OperatingIncomeLoss,0000885725-23-000008,USD,True,470000000.0,InterestExpense,0000885725-23-000008,USD,True,443000000.0,IncomeTaxExpenseBenefit,0000885725-23-000008,USD,True,0.389,EffectiveIncomeTaxRateContinuingOperations,0000885725-23-000008,pure,True,1141000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000885725-23-000008,USD,True,928000000.0,CashAndCashEquivalentsAtCarryingValue,0000885725-23-000008,USD,True,,,,,False,8935000000.0,DebtAndCapitalLeaseObligations,0000885725-23-000008,USD,True,20000000.0,DebtCurrent,0000885725-23-000008,USD,True,,,,,False,17573000000.0,StockholdersEquity,0000885725-23-000008,USD,True,928000000.0,8935000000.0,938000000.0,0.38825591586327785,25580000000.0,1008765994.7414547,0.03943573083430237,1649000000.0,False,0.07396309730326447,1.343839541547278,True,True,BSX,0000885725,ticker:BSX,22
2021,11888000000.0,Revenues,0000885725-22-000006,USD,True,1041000000.0,ProfitLoss,0000885725-22-000006,USD,True,1870000000.0,NetCashProvidedByUsedInOperatingActivities,0000885725-22-000006,USD,True,554000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000885725-22-000006,USD,True,1199000000.0,OperatingIncomeLoss,0000885725-22-000006,USD,True,341000000.0,InterestExpense,0000885725-22-000006,USD,True,36000000.0,IncomeTaxExpenseBenefit,0000885725-22-000006,USD,True,0.033,EffectiveIncomeTaxRateContinuingOperations,0000885725-22-000006,pure,True,1076000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000885725-22-000006,USD,True,1925000000.0,CashAndCashEquivalentsAtCarryingValue,0000885725-22-000006,USD,True,,,,,False,9065000000.0,DebtAndCapitalLeaseObligations,0000885725-22-000006,USD,True,261000000.0,DebtCurrent,0000885725-22-000006,USD,True,,,,,False,16622000000.0,StockholdersEquity,0000885725-22-000006,USD,True,1925000000.0,9065000000.0,1316000000.0,0.03345724907063197,23762000000.0,1158884758.3643122,0.04877050578083967,1199000000.0,False,0.11069986541049798,1.2641690682036504,True,True,BSX,0000885725,ticker:BSX,22
2020,9913000000.0,Revenues,0000885725-21-000008,USD,True,-82000000.0,ProfitLoss,0000885725-21-000008,USD,True,1508000000.0,NetCashProvidedByUsedInOperatingActivities,0000885725-21-000008,USD,True,376000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000885725-21-000008,USD,True,-80000000.0,OperatingIncomeLoss,0000885725-21-000008,USD,True,361000000.0,InterestExpense,0000885725-21-000008,USD,True,2000000.0,IncomeTaxExpenseBenefit,0000885725-21-000008,USD,True,0.029,EffectiveIncomeTaxRateContinuingOperations,0000885725-21-000008,pure,True,-79000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000885725-21-000008,USD,True,1734000000.0,CashAndCashEquivalentsAtCarryingValue,0000885725-21-000008,USD,True,,,,,False,9143000000.0,DebtAndCapitalLeaseObligations,0000885725-21-000008,USD,True,13000000.0,DebtCurrent,0000885725-21-000008,USD,True,,,,,False,15326000000.0,StockholdersEquity,0000885725-21-000008,USD,True,1734000000.0,9143000000.0,1132000000.0,-0.02531645569620253,22735000000.0,-82025316.4556962,-0.0036078872423882208,-80000000.0,False,0.11419348330475133,-13.804878048780488,True,True,BSX,0000885725,ticker:BSX,22
2019,10735000000.0,Revenues,0000885725-20-000012,USD,True,4700000000.0,ProfitLoss,0000885725-20-000012,USD,True,1836000000.0,NetCashProvidedByUsedInOperatingActivities,0000885725-20-000012,USD,True,461000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000885725-20-000012,USD,True,1518000000.0,OperatingIncomeLoss,0000885725-20-000012,USD,True,473000000.0,InterestExpense,0000885725-20-000012,USD,True,-4013000000.0,IncomeTaxExpenseBenefit,0000885725-20-000012,USD,True,-5.84,EffectiveIncomeTaxRateContinuingOperations,0000885725-20-000012,pure,True,687000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000885725-20-000012,USD,True,217000000.0,CashAndCashEquivalentsAtCarryingValue,0000885725-20-000012,USD,True,,,,,False,10008000000.0,DebtAndCapitalLeaseObligations,0000885725-20-000012,USD,True,1416000000.0,DebtCurrent,0000885725-20-000012,USD,True,,,,,False,13877000000.0,StockholdersEquity,0000885725-20-000012,USD,True,217000000.0,10008000000.0,1375000000.0,-5.841339155749636,23668000000.0,10385152838.427948,0.4387845546065552,1518000000.0,False,0.12808570097810898,0.2925531914893617,True,True,BSX,0000885725,ticker:BSX,22
2018,9823000000.0,Revenues,0000885725-19-000011,USD,True,1671000000.0,ProfitLoss,0000885725-19-000011,USD,True,310000000.0,NetCashProvidedByUsedInOperatingActivities,0000885725-19-000011,USD,True,316000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000885725-19-000011,USD,True,1506000000.0,OperatingIncomeLoss,0000885725-19-000011,USD,True,241000000.0,InterestExpense,0000885725-19-000011,USD,True,-249000000.0,IncomeTaxExpenseBenefit,0000885725-19-000011,USD,True,-0.175,EffectiveIncomeTaxRateContinuingOperations,0000885725-19-000011,pure,True,1422000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000885725-19-000011,USD,True,146000000.0,CashAndCashEquivalentsAtCarryingValue,0000885725-19-000011,USD,True,,,,,False,7056000000.0,DebtAndCapitalLeaseObligations,0000885725-19-000011,USD,True,2253000000.0,DebtCurrent,0000885725-19-000011,USD,True,,,,,False,8726000000.0,StockholdersEquity,0000885725-19-000011,USD,True,146000000.0,7056000000.0,-6000000.0,-0.1751054852320675,15636000000.0,1769708860.7594936,0.11318168718083228,1506000000.0,False,-0.0006108113610913163,-0.003590664272890485,True,True,BSX,0000885725,ticker:BSX,22
2017,9048000000.0,Revenues,0000885725-18-000010,USD,True,104000000.0,ProfitLoss,0000885725-18-000010,USD,True,1426000000.0,NetCashProvidedByUsedInOperatingActivities,0000885725-18-000010,USD,True,319000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000885725-18-000010,USD,True,1285000000.0,OperatingIncomeLoss,0000885725-18-000010,USD,True,229000000.0,InterestExpense,0000885725-18-000010,USD,True,828000000.0,IncomeTaxExpenseBenefit,0000885725-18-000010,USD,True,0.888,EffectiveIncomeTaxRateContinuingOperations,0000885725-18-000010,pure,True,933000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000885725-18-000010,USD,True,188000000.0,CashAndCashEquivalentsAtCarryingValue,0000885725-18-000010,USD,True,,,,,False,5616000000.0,DebtAndCapitalLeaseObligations,0000885725-18-000010,USD,True,1801000000.0,DebtCurrent,0000885725-18-000010,USD,True,,,,,False,7012000000.0,StockholdersEquity,0000885725-18-000010,USD,True,188000000.0,5616000000.0,1107000000.0,0.887459807073955,12440000000.0,144614147.90996784,0.011624931504016707,1285000000.0,False,0.12234748010610079,10.64423076923077,True,True,BSX,0000885725,ticker:BSX,22
2016,9076000000.0,Revenues,0000885725-17-000006,USD,True,347000000.0,ProfitLoss,0000885725-17-000006,USD,True,972000000.0,NetCashProvidedByUsedInOperatingActivities,0000885725-17-000006,USD,True,376000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000885725-17-000006,USD,True,447000000.0,OperatingIncomeLoss,0000885725-17-000006,USD,True,233000000.0,InterestExpense,0000885725-17-000006,USD,True,-170000000.0,IncomeTaxExpenseBenefit,0000885725-17-000006,USD,True,-0.959,EffectiveIncomeTaxRateContinuingOperations,0000885725-17-000006,pure,True,177000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000885725-17-000006,USD,True,196000000.0,CashAndCashEquivalentsAtCarryingValue,0000885725-17-000006,USD,True,,,,,False,5484000000.0,DebtAndCapitalLeaseObligations,0000885725-17-000006,USD,True,64000000.0,DebtCurrent,0000885725-17-000006,USD,True,,,,,False,6733000000.0,StockholdersEquity,0000885725-17-000006,USD,True,196000000.0,5484000000.0,596000000.0,-0.96045197740113,12021000000.0,876322033.898305,0.0728992624489065,447000000.0,False,0.06566769501983252,1.717579250720461,True,True,BSX,0000885725,ticker:BSX,22
